"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CHAY","1998","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","334.9","","334.9","U","2","U","107","U","0","U","160","U","66","U","-19.4","U,1221,","42.8","U,0902,+","0.0","U,1003","-2.8","U,1011","-4.4","U,1030","-7.8","U,1206","-15.6","U,1220","-1.1","U,0526","-2.8","U,0417","-5.0","U,0329","","","","","","","","","11.53","U","19.60","U","3.46","U"
"USR0000CHAY","2000","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","298.9","","298.9","U","0","U","101","U","0","U","174","U","83","U","-9.4","U,1112,","42.2","U,0802,","-1.1","U,0924","-2.2","U,1022","-4.4","U,1110","-7.2","U,1111","-9.4","U,1112","0.0","U,0531","-2.2","U,0429","-5.0","U,0320","","","","","2407.2","","2407.2","U","12.09","U","21.16","U","3.03","U"
"USR0000CHAY","2001","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","326.4","","326.4","U","0","U","119","U","0","U","191","U","91","U","-10.0","U,0213,+","40.6","U,0808,+","-1.1","U,1009","-3.3","U,1025","-5.0","U,1108","","","","","-1.1","U,0503","-2.2","U,0502","-5.0","U,0410","-7.2","U,0228","-8.9","U,0214","2681.2","","2681.2","U","12.20","U","21.47","U","2.93","U"
"USR0000CHAY","2002","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","363.5","","363.5","U","0","U","144","U","0","U","199","U","81","U","-10.6","U,1101,","45.0","U,0711,","0.0","U,0907","-2.2","U,1001","-4.4","U,1012","-8.3","U,1030","-9.4","U,1031","-0.6","U,0609","-2.8","U,0509","-5.0","U,0319","-7.2","U,0318","","","2496.9","","2496.9","U","12.34","U","22.44","U","2.24","U"
"USR0000CHAY","2003","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2489.1","","2489.1","U","","","","","",""
"USR0000CHAY","2004","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","300.1","","300.1","U","0","U","108","U","0","U","195","U","85","U","-8.3","U,0103,","40.6","U,0811,","-0.6","U,0920","-2.8","U,1101","-6.7","U,1120","-6.7","U,1120","","","0.0","U,0423","-2.8","U,0402","-6.1","U,0212","-6.7","U,0122","","","","","","","12.35","U","21.74","U","2.95","U"
"USR0000CHAY","2005","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","315.9","","315.9","U","0","U","106","U","0","U","173","U","73","U","-7.2","U,1216,","42.2","U,0717,","-1.1","U,0924","-3.3","U,1118","-4.4","U,1120","-7.2","U,1216","","","0.0","U,0422","-2.8","U,0419","-4.4","U,0315","","","","","2545.8","","2545.8","U","12.19","U","21.13","U","3.25","U"
"USR0000CHAY","2006","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","373.0","","373.0","U","0","U","130","U","0","U","178","U","83","U","-8.9","U,0220,","43.3","U,0626,+","-0.6","U,0916","-2.8","U,1018","-5.6","U,1025","-6.7","U,1129","","","-1.1","U,0419","-3.3","U,0319","-5.6","U,0310","-8.9","U,0220","-8.9","U,0220","2580.4","","2580.4","U","12.11","U","21.26","U","2.96","U"
"USR0000CHAY","2007","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","297.8","","297.8","U","0","U","136","U","0","U","190","U","79","U","-13.3","U,0113,","43.3","U,0705,","0.0","U,0924","-2.8","U,0929","-6.1","U,1121","-7.8","U,1123","-8.9","U,1231","0.0","U,0523","-2.8","U,0420","-4.4","U,0228","-8.9","U,0202","-8.9","U,0202","2541.9","","2541.9","U","11.82","U","21.57","U","2.07","U"
"USR0000CHAY","2008","40.55","-123.165","708.1","HAYFORK CALIFORNIA, CA US","307.9","","307.9","U","0","U","174","U","0","U","180","U","85","U","-9.4","U,1216,","42.2","U,0815,+","0.0","U,0923","-2.2","U,1010","-5.6","U,1011","-6.7","U,1012","-9.4","U,1216","0.0","U,0523","-3.3","U,0430","-5.0","U,0421","-7.2","U,0331","","","2847.2","","2847.2","U","11.68","U","21.43","U","1.93","U"
