"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CJUA","1989","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","94.0","","94.0","U","0","U","118","U","3","U","134","U","0","U","-17.2","U,0205,","31.1","U,0807,+","0.0","U,1024","-2.2","U,1025","-5.0","U,1126","","","","","-1.1","U,0529","-2.2","U,0519","-4.4","U,0326","-8.3","U,0303","-12.8","U,0208","","","","","10.06","U","16.57","U","3.55","U"
"USR0000CJUA","1990","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","216.4","","216.4","U","2","U","136","U","20","U","107","U","17","U","-24.4","U,1220,","35.0","U,0805,","-1.7","U,1006","-2.2","U,1007","-5.6","U,1102","-6.7","U,1212","-16.7","U,1219","-1.7","U,0601","-2.2","U,0511","-8.3","U,0313","-8.3","U,0313","-8.9","U,0312","3316.3","","3316.3","U","9.11","U","15.29","U","2.92","U"
"USR0000CJUA","1991","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","243.8","","243.8","U","0","U","141","U","2","U","124","U","12","U","-8.3","U,1030,+","35.6","U,0703,","0.0","U,1022","-2.8","U,1023","-6.7","U,1029","-6.7","U,1029","","","0.0","U,0613","-5.0","U,0509","-5.0","U,0509","-6.7","U,0411","","","3668.2","","3668.2","U","9.78","U","15.89","U","3.68","U"
"USR0000CJUA","1992","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2808.1","","2808.1","U","","","","","",""
"USR0000CJUA","1995","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","134.6","","134.6","U","0","U","115","U","4","U","108","U","4","U","-11.1","U,0214,","33.9","U,0913,","-0.6","U,1004","-3.9","U,1022","-5.6","U,1216","-7.2","U,1217","","","-2.2","U,0606","-2.2","U,0606","-4.4","U,0421","-6.7","U,0419","-8.9","U,0215","","","","","9.72","U","15.63","U","3.81","U"
"USR0000CJUA","1996","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","275.8","","275.8","U","0","U","130","U","10","U","117","U","22","U","-11.1","U,0226,","35.6","U,0809,+","0.0","U,0922","-3.3","U,1016","-4.4","U,1019","-6.7","U,1201","","","-0.6","U,0618","-3.3","U,0504","-5.0","U,0413","-7.2","U,0328","-8.9","U,0227","3247.2","","3247.2","U","9.67","U","15.79","U","3.55","U"
"USR0000CJUA","1997","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","136.2","","136.2","U","0","U","133","U","5","U","118","U","4","U","-15.0","U,0113,","33.9","U,0805,","0.0","U,1006","-2.2","U,1011","-4.4","U,1201","-7.8","U,1209","-9.4","U,1222","-1.7","U,0525","-3.9","U,0501","-6.7","U,0409","-6.7","U,0409","-8.9","U,0304","3393.2","","3393.2","U","9.27","U","15.42","U","3.11","U"
"USR0000CJUA","1998","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","","","","","","","","","14","U","116","U","27","U","","","38.9","U,0804,","","","","","","","","","","","","","","","","","","","","","3682.5","","3682.5","U","","","14.92","U","",""
"USR0000CJUA","2004","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","204.4","","204.4","U","0","U","139","U","4","U","132","U","18","U","-9.4","U,0103,+","35.0","U,0813,","0.0","U,0920","-2.8","U,1026","-5.0","U,1120","-7.8","U,1128","","","-1.1","U,0529","-2.2","U,0419","-4.4","U,0227","-7.8","U,0131","-9.4","U,0103","3091.4","","3091.4","U","10.04","U","16.44","U","3.63","U"
"USR0000CJUA","2007","41.7861","-122.0056","1645.9","JUANITA LAKE CALIFORNIA, CA US","188.3","","188.3","U","0","U","139","U","12","U","121","U","13","U","-15.0","U,0112,","36.1","U,0705,+","0.0","U,0924","-2.8","U,0929","-6.1","U,1120","-7.8","U,1201","-8.9","U,1225","-1.1","U,0522","-3.3","U,0505","-4.4","U,0412","-6.7","U,0223","-9.4","U,0115","","","","","9.48","U","15.82","U","3.13","U"
