"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CJUL","1994","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","597.3","","597.3","U","0","U","29","U","0","U","171","U","37","U","-6.1","U,1119,","39.4","U,0627,","-1.1","U,1103","-2.2","U,1104","-6.1","U,1119","","","0.0","U,0426","-3.3","U,0128","","","","","","","1896.6","","1896.6","U","14.24","U","20.28","U","8.21","U"
"USR0000CJUL","1995","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","528.1","","528.1","U","0","U","21","U","0","U","189","U","41","U","-2.8","U,0117,","40.0","U,0728,","-0.6","U,1217","","","","","","","0.0","U,0418","-2.2","U,0325","","","","","","","2275.4","","2275.4","U","14.61","U","20.70","U","8.52","U"
"USR0000CJUL","1996","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","649.5","","649.5","U","0","U","15","U","1","U","184","U","51","U","-5.0","U,0123,","36.7","U,0813,+","0.0","U,1026","","","","","","","0.0","U,0329","-3.3","U,0229","-5.0","U,0123","","","","","1538.3","","1538.3","U","15.35","U","21.45","U","9.24","U"
"USR0000CJUL","1997","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","557.1","","557.1","U","0","U","24","U","0","U","193","U","34","U","-3.3","U,1225,","37.8","U,0805,","-1.7","U,1209","-3.3","U,1225","","","","","-0.6","U,0403","-2.8","U,0402","","","","","","","1665.6","","1665.6","U","14.90","U","21.00","U","8.80","U"
"USR0000CJUL","1999","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","479.2","","479.2","U","0","U","31","U","0","U","188","U","34","U","-3.9","U,0402,","36.7","U,0826,","-0.6","U,1123","","","","","","","0.0","U,0428","-2.2","U,0409","","","","","","","2048.4","","2048.4","U","14.54","U","21.00","U","8.08","U"
"USR0000CJUL","2000","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","556.4","","556.4","U","0","U","18","U","0","U","185","U","44","U","-2.8","U,0306,","37.8","U,0614,","0.0","U,1101","-2.2","U,1115","","","","","0.0","U,0310","-2.8","U,0306","","","","","","","1510.1","","1510.1","U","14.93","U","21.25","U","8.62","U"
"USR0000CJUL","2002","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","634.1","","634.1","U","0","U","36","U","1","U","181","U","52","U","-8.9","U,0130,","37.8","U,0708,","0.0","U,1211","-2.2","U,1218","","","","","0.0","U,0421","-3.3","U,0319","-4.4","U,0315","-8.9","U,0130","-8.9","U,0130","1833.7","","1833.7","U","14.68","U","21.17","U","8.19","U"
"USR0000CJUL","2003","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","711.3","","711.3","U","0","U","24","U","0","U","176","U","61","U","-3.3","U,1229,","39.4","U,0710,","0.0","U,1104","-2.8","U,1227","","","","","-2.2","U,0416","-2.2","U,0416","","","","","","","1985.9","","1985.9","U","14.96","U","21.11","U","8.81","U"
"USR0000CJUL","2004","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","533.3","","533.3","U","0","U","26","U","0","U","178","U","32","U","-2.8","U,1201,","37.2","U,0811,+","-0.6","U,1121","-2.2","U,1129","","","","","0.0","U,0229","-2.2","U,0104","","","","","","","1797.0","","1797.0","U","14.42","U","20.39","U","8.46","U"
"USR0000CJUL","2005","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","511.9","","511.9","U","0","U","10","U","0","U","175","U","36","U","-1.7","U,1216,+","36.7","U,0722,","0.0","U,1126","","","","","","","0.0","U,0224","","","","","","","","","2169.5","","2169.5","U","14.43","U","20.22","U","8.64","U"
"USR0000CJUL","2006","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","690.5","","690.5","U","0","U","30","U","1","U","184","U","57","U","-4.4","U,1218,","40.6","U,0722,","-1.1","U,1129","-2.8","U,1217","-4.4","U,1218","","","-1.7","U,0322","-2.2","U,0312","","","","","","","1827.3","","1827.3","U","15.08","U","21.29","U","8.88","U"
"USR0000CJUL","2007","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","710.5","","710.5","U","0","U","35","U","0","U","203","U","52","U","-7.8","U,0114,","41.7","U,0705,","-0.6","U,1202","-3.3","U,1227","","","","","-1.1","U,0419","-2.2","U,0302","-7.8","U,0114","-7.8","U,0114","","","1714.8","","1714.8","U","15.36","U","21.56","U","9.15","U"
"USR0000CJUL","2008","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","649.7","","649.7","U","0","U","31","U","0","U","170","U","26","U","-5.6","U,0214,","35.6","U,0708,","0.0","U,1012","-2.2","U,1219","","","","","-1.1","U,0331","-3.9","U,0215","-5.6","U,0214","","","","","2031.6","","2031.6","U","14.68","U","19.96","U","9.39","U"
"USR0000CJUL","2009","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","609.5","","609.5","U","0","U","35","U","0","U","167","U","23","U","-4.4","U,0210,","37.8","U,0718,","-1.1","U,1028","-2.2","U,1209","","","","","-0.6","U,0416","-2.2","U,0323","-4.4","U,0210","","","","","1839.2","","1839.2","U","14.58","U","19.95","U","9.21","U"
"USR0000CJUL","2010","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","467.3","","467.3","U","0","U","21","U","0","U","147","U","21","U","-3.9","U,1129,","37.8","U,0824,","-1.7","U,1124","-2.8","U,1125","","","","","0.0","U,0430","","","","","","","","","2159.8","","2159.8","U","13.53","U","18.71","U","8.34","U"
"USR0000CJUL","2011","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","491.1","","491.1","U","0","U","38","U","1","U","159","U","20","U","-5.0","U,0202,","36.1","U,0826,+","0.0","U,1104","-3.9","U,1204","","","","","-0.6","U,0410","-2.2","U,0409","-4.4","U,0221","","","","","2223.1","","2223.1","U","13.50","U","18.85","U","8.16","U"
"USR0000CJUL","2012","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","561.2","","561.2","U","0","U","28","U","1","U","183","U","23","U","-4.4","U,1219,","36.1","U,0812,+","-1.7","U,1111","-4.4","U,1219","-4.4","U,1219","","","0.0","U,0414","-2.2","U,0318","","","","","","","1954.2","","1954.2","U","14.84","U","20.41","U","9.26","U"
"USR0000CJUL","2013","33.0758","-116.5908","1292.4","JULIAN CALIFORNIA, CA US","515.2","","515.2","U","0","U","31","U","0","U","176","U","22","U","-6.1","U,0114,+","37.2","U,0630,","-2.2","U,1205","-2.2","U,1205","","","","","0.0","U,0309","-2.2","U,0225","-5.0","U,0115","","","","","1842.7","","1842.7","U","14.35","U","19.78","U","8.91","U"
