"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CMCB","1999","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","926.5","","926.5","U","0","U","6","U","0","U","232","U","89","U","-1.1","U,0402,","39.4","U,0826,+","","","-0.6","U,0409","","","1371.7","","1371.7","U","17.52","U","24.37","U","10.67","U"
"USR0000CMCB","2000","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","922.0","","922.0","U","0","U","1","U","0","U","238","U","88","U","0.0","U,0306,","40.6","U,0916,+","","","0.0","U,0306","","","923.6","","923.6","U","17.95","U","24.64","U","11.27","U"
"USR0000CMCB","2002","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","923.5","","923.5","U","0","U","2","U","0","U","237","U","98","U","-1.7","U,0129,","41.1","U,0901,+","","","0.0","U,0318","","","1107.0","","1107.0","U","17.73","U","24.92","U","10.54","U"
"USR0000CMCB","2003","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","1153.9","","1153.9","U","0","U","1","U","0","U","230","U","121","U","-1.7","U,1227,","40.6","U,0921,+","-1.7","U,1227","","","","","1149.9","","1149.9","U","18.29","U","25.12","U","11.45","U"
"USR0000CMCB","2004","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","937.2","","937.2","U","0","U","1","U","0","U","231","U","85","U","-0.6","U,1129,","39.4","U,0810,","-0.6","U,1129","","","","","1060.0","","1060.0","U","17.73","U","24.52","U","10.95","U"
"USR0000CMCB","2005","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","864.0","","864.0","U","0","U","1","U","0","U","238","U","81","U","0.0","U,1216,","42.8","U,0719,","0.0","U,1216","","","","","1296.6","","1296.6","U","17.59","U","24.47","U","10.71","U"
"USR0000CMCB","2006","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","1005.8","","1005.8","U","0","U","9","U","0","U","236","U","87","U","-1.1","U,0221,","43.3","U,0722,","0.0","U,1129","0.0","U,0313","","","1191.7","","1191.7","U","17.70","U","24.60","U","10.79","U"
"USR0000CMCB","2007","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","968.7","","968.7","U","0","U","8","U","0","U","246","U","95","U","-2.8","U,0114,+","41.1","U,0830,+","","","-0.6","U,0301","-2.2","U,0115","1107.1","","1107.1","U","17.77","U","25.01","U","10.53","U"
"USR0000CMCB","2008","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","1182.4","","1182.4","U","0","U","7","U","0","U","247","U","116","U","-1.1","U,1226,","40.6","U,0620,","0.0","U,1214","0.0","U,0204","","","1259.4","","1259.4","U","18.32","U","25.56","U","11.08","U"
"USR0000CMCB","2009","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","1046.0","","1046.0","U","0","U","6","U","0","U","249","U","106","U","-1.7","U,0210,","42.2","U,0829,","","","0.0","U,0416","","","1079.3","","1079.3","U","18.22","U","25.41","U","11.04","U"
"USR0000CMCB","2010","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","846.1","","846.1","U","0","U","6","U","0","U","227","U","90","U","-0.6","U,1231,+","42.2","U,0824,","0.0","U,1125","0.0","U,0122","","","1115.3","","1115.3","U","17.25","U","24.43","U","10.07","U"
"USR0000CMCB","2011","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","911.1","","911.1","U","0","U","9","U","0","U","239","U","98","U","-2.8","U,0227,","40.6","U,0828,+","","","-1.1","U,0409","-2.8","U,0227","1273.5","","1273.5","U","17.34","U","24.67","U","10.02","U"
"USR0000CMCB","2012","34.0836","-117.0347","899.2","MILL CREEK BDF CALIFORNIA, CA US","1147.3","","1147.3","U","0","U","7","U","0","U","264","U","112","U","-1.1","U,1219,","41.7","U,0807,","-1.1","U,1219","0.0","U,0319","","","1064.7","","1064.7","U","18.71","U","26.31","U","11.11","U"
