"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CMNC","1998","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","","","","","0","U","0","U","","","","","","","0.6","U,1221,+","","","","","","","","","","","12.33","U"
"USR0000CMNC","1999","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","715.8","","715.8","U","0","U","0","U","0","U","233","U","30","U","1.7","U,0409,","38.3","U,0930,","1021.8","","1021.8","U","17.73","U","22.96","U","12.50","U"
"USR0000CMNC","2000","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","640.4","","640.4","U","0","U","0","U","0","U","233","U","22","U","1.1","U,0306,","37.2","U,0916,","727.9","","727.9","U","17.85","U","22.71","U","13.00","U"
"USR0000CMNC","2001","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","666.5","","666.5","U","0","U","0","U","0","U","205","U","16","U","2.8","U,0408,+","36.7","U,0930,","1016.1","","1016.1","U","17.13","U","21.75","U","12.51","U"
"USR0000CMNC","2002","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","635.7","","635.7","U","0","U","0","U","0","U","197","U","28","U","1.7","U,0129,","37.8","U,0923,+","955.0","","955.0","U","17.48","U","22.38","U","12.59","U"
"USR0000CMNC","2003","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","876.7","","876.7","U","0","U","0","U","0","U","211","U","42","U","4.4","U,1226,+","40.6","U,0921,","898.4","","898.4","U","18.30","U","23.06","U","13.54","U"
"USR0000CMNC","2004","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","699.8","","699.8","U","0","U","0","U","0","U","240","U","29","U","4.4","U,0103,","37.8","U,0905,+","848.9","","848.9","U","18.09","U","23.03","U","13.14","U"
"USR0000CMNC","2005","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","652.3","","652.3","U","0","U","0","U","0","U","227","U","25","U","4.4","U,0104,+","38.9","U,0929,","872.9","","872.9","U","17.68","U","22.36","U","13.00","U"
"USR0000CMNC","2006","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","886.8","","886.8","U","0","U","0","U","0","U","221","U","42","U","0.6","U,0311,","42.2","U,0722,","965.9","","965.9","U","18.16","U","23.11","U","13.22","U"
"USR0000CMNC","2007","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","750.8","","750.8","U","0","U","0","U","0","U","229","U","28","U","0.6","U,0113,","40.6","U,0902,","832.0","","832.0","U","17.83","U","22.95","U","12.70","U"
"USR0000CMNC","2008","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","989.4","","989.4","U","0","U","0","U","0","U","241","U","39","U","2.8","U,1226,","39.4","U,0621,","930.3","","930.3","U","18.61","U","23.40","U","13.83","U"
"USR0000CMNC","2009","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","792.4","","792.4","U","0","U","0","U","0","U","222","U","30","U","2.8","U,0415,+","38.3","U,0827,","881.0","","881.0","U","17.97","U","22.81","U","13.12","U"
"USR0000CMNC","2010","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","614.7","","614.7","U","0","U","0","U","0","U","216","U","31","U","2.8","U,0401,","44.4","U,0927,","923.0","","923.0","U","17.14","U","22.16","U","12.11","U"
"USR0000CMNC","2011","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","571.2","","571.2","U","0","U","0","U","0","U","199","U","13","U","1.7","U,0408,","36.7","U,1012,+","1106.6","","1106.6","U","16.99","U","21.36","U","12.62","U"
"USR0000CMNC","2012","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","791.5","","791.5","U","0","U","0","U","0","U","214","U","25","U","2.8","U,0318,+","38.3","U,0914,","929.7","","929.7","U","17.99","U","22.36","U","13.63","U"
"USR0000CMNC","2013","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","732.6","","732.6","U","0","U","0","U","0","U","223","U","16","U","2.2","U,0220,+","35.6","U,0630,+","903.1","","903.1","U","18.07","U","22.51","U","13.62","U"
"USR0000CMNC","2014","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","910.1","","910.1","U","0","U","0","U","0","U","262","U","22","U","3.3","U,1230,","39.4","U,1004,+","603.6","","603.6","U","19.32","U","23.75","U","14.88","U"
"USR0000CMNC","2015","34.4614","-119.6481","457.2","MONTECITO CALIFORNIA, CA US","956.1","","956.1","U","0","U","0","U","0","U","249","U","25","U","4.4","U,1228,+","38.9","U,1009,","548.0","","548.0","U","19.30","U","23.72","U","14.88","U"
