"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CMOU","2000","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","","","","","0","U","33","U","","","","","","","-2.2","U,1116,+","","","0.0","U,1109","-2.2","U,1111","","","","","-1.1","U,0309","-2.2","U,0306","","","","","","","","","","","","","9.68","U"
"USR0000CMOU","2001","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","828.0","","828.0","U","0","U","60","U","4","U","186","U","39","U","-4.4","U,1215,+","38.3","U,0703,","-0.6","U,1124","-2.2","U,1126","-4.4","U,1215","","","-2.2","U,0421","-2.2","U,0421","-4.4","U,0208","","","2163.2","","2163.2","U","14.87","U","19.61","U","10.14","U"
"USR0000CMOU","2002","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","740.9","","740.9","U","0","U","31","U","2","U","158","U","29","U","-5.0","U,0130,","37.8","U,0709,","-2.2","U,1218","-2.2","U,1218","","","","","0.0","U,0418","-3.9","U,0318","-4.4","U,0131","","","1874.5","","1874.5","U","15.02","U","19.69","U","10.34","U"
"USR0000CMOU","2003","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","835.2","","835.2","U","0","U","30","U","0","U","171","U","38","U","-6.1","U,1227,","35.6","U,0717,","0.0","U,1103","-2.8","U,1122","-4.4","U,1226","","","-0.6","U,0509","","","","","","","1966.1","","1966.1","U","15.01","U","19.54","U","10.47","U"
"USR0000CMOU","2004","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","710.0","","710.0","U","0","U","34","U","0","U","170","U","26","U","-5.0","U,0104,","36.1","U,0811,","0.0","U,1103","-2.8","U,1128","","","","","0.0","U,0301","-2.2","U,0228","-5.0","U,0104","","","1899.5","","1899.5","U","14.74","U","19.45","U","10.03","U"
"USR0000CMOU","2006","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","740.5","","740.5","U","0","U","52","U","0","U","164","U","32","U","-6.1","U,0312,","39.4","U,0722,","0.0","U,1126","-2.2","U,1129","-4.4","U,1217","","","-1.7","U,0417","-3.3","U,0321","-4.4","U,0313","","","2112.4","","2112.4","U","14.35","U","19.18","U","9.52","U"
"USR0000CMOU","2007","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","763.1","","763.1","U","0","U","44","U","2","U","179","U","41","U","-8.3","U,0113,","39.4","U,0705,","0.0","U,1130","-2.2","U,1201","-5.0","U,1227","","","-2.2","U,0418","-2.2","U,0418","-5.6","U,0301","-8.3","U,0113","1922.0","","1922.0","U","14.99","U","20.28","U","9.70","U"
"USR0000CMOU","2008","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","838.9","","838.9","U","0","U","45","U","0","U","177","U","43","U","-6.1","U,1218,","38.3","U,0710,","-1.1","U,1208","-2.8","U,1213","-4.4","U,1216","","","0.0","U,0420","-2.8","U,0316","-5.0","U,0129","","","2128.2","","2128.2","U","15.06","U","20.25","U","9.87","U"
"USR0000CMOU","2009","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","770.7","","770.7","U","0","U","36","U","1","U","161","U","45","U","-8.3","U,1208,","37.8","U,0719,","0.0","U,1206","-7.2","U,1207","-7.2","U,1207","-7.2","U,1207","-0.6","U,0416","-3.3","U,0415","-6.1","U,0210","","","1911.6","","1911.6","U","14.76","U","19.71","U","9.82","U"
"USR0000CMOU","2010","37.0544","-119.3711","1249.7","MOUNTAIN REST CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2289.9","","2289.9","U","","","","","",""
