"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000COWV","1993","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","671.6","","671.6","U","0","U","94","U","0","U","209","U","75","U","-11.7","U,0103,","39.4","U,0802,","-0.6","U,1112","-3.9","U,1113","-4.4","U,1114","-6.7","U,1115","","","0.0","U,0413","-3.3","U,0227","-5.0","U,0225","-6.7","U,0119","-10.6","U,0112","","","","","14.31","U","22.22","U","6.40","U"
"USR0000COWV","1994","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","926.2","","926.2","U","0","U","93","U","0","U","202","U","96","U","-11.1","U,1119,","40.0","U,0816,+","-1.1","U,1016","-4.4","U,1103","-4.4","U,1103","-11.1","U,1119","-11.1","U,1119","-0.6","U,0326","-5.0","U,0323","-5.0","U,0323","-7.2","U,0212","","","1935.8","","1935.8","U","14.96","U","22.98","U","6.95","U"
"USR0000COWV","1996","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","902.2","","902.2","U","0","U","62","U","0","U","208","U","99","U","-9.4","U,0122,","40.6","U,0725,","-1.7","U,1020","-3.9","U,1021","-4.4","U,1130","","","","","0.0","U,0421","-3.9","U,0329","-7.8","U,0228","-7.8","U,0228","-9.4","U,0122","1666.4","","1666.4","U","15.49","U","23.42","U","7.55","U"
"USR0000COWV","1997","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1865.6","","1865.6","U","","","","","",""
"USR0000COWV","1998","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","","","","","0","U","96","U","2","U","181","U","75","U","-13.9","U,1221,","41.1","U,0804,+","-2.8","U,1017","-2.8","U,1017","-4.4","U,1109","-7.8","U,1205","-8.9","U,1207","-1.1","U,0417","-2.2","U,0402","-6.1","U,0329","-6.7","U,0307","","","","","","","13.61","U","21.51","U","5.70","U"
"USR0000COWV","1999","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","765.5","","765.5","U","0","U","72","U","0","U","217","U","89","U","-8.9","U,0127,","40.6","U,0701,+","-1.1","U,1118","-2.2","U,1121","-6.7","U,1122","-6.7","U,1122","","","-4.4","U,0410","-4.4","U,0410","-4.4","U,0410","-6.7","U,0401","-8.9","U,0127","2012.2","","2012.2","U","15.49","U","23.78","U","7.19","U"
"USR0000COWV","2000","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","883.3","","883.3","U","0","U","77","U","0","U","209","U","106","U","-7.2","U,1115,+","40.6","U,0731,+","-2.2","U,1101","-2.2","U,1101","-5.0","U,1110","-7.2","U,1111","","","-1.1","U,0418","-2.2","U,0309","-5.0","U,0307","","","","","1680.8","","1680.8","U","15.52","U","23.75","U","7.28","U"
"USR0000COWV","2001","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","1011.0","","1011.0","U","0","U","92","U","1","U","221","U","118","U","-10.0","U,0117,","39.4","U,0818,","-2.2","U,1125","-2.2","U,1125","-5.0","U,1126","-6.7","U,1127","","","-1.1","U,0412","-2.2","U,0409","-5.0","U,0303","-6.7","U,0215","-9.4","U,0208","2076.8","","2076.8","U","15.48","U","23.31","U","7.65","U"
"USR0000COWV","2002","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","","","","","0","U","71","U","0","U","209","U","98","U","-11.1","U,0130,","43.9","U,0710,","-1.1","U,1101","-2.2","U,1126","-5.6","U,1218","-7.2","U,1219","-8.9","U,1224","-1.1","U,0501","-2.8","U,0418","-6.1","U,0318","-7.2","U,0315","-11.1","U,0130","","","","","15.03","U","22.71","U","7.36","U"
"USR0000COWV","2003","37.39","-118.5506","1414.3","OWENS VALLEY CALIFORNIA, CA US","993.5","","993.5","U","0","U","78","U","0","U","200","U","109","U","-8.3","U,1228,+","42.2","U,0722,","-3.9","U,1031","-3.9","U,1031","-4.4","U,1102","-6.7","U,1215","","","-0.6","U,0509","-3.9","U,0405","-4.4","U,0209","-7.2","U,0208","","","1943.7","","1943.7","U","15.47","U","23.51","U","7.44","U"
