"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CPOT","1995","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","603.9","","603.9","U","0","U","27","U","0","U","249","U","102","U","-3.3","U,1217,+","44.4","U,0727,","-1.7","U,1216","-3.3","U,1217","","","0.0","U,0414","-2.8","U,0325","","","","","","","","","","","16.14","U","25.28","U","7.00","U"
"USR0000CPOT","1996","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","651.8","","651.8","U","0","U","32","U","0","U","254","U","103","U","-3.3","U,0229,+","39.4","U,0829,+","0.0","U,1023","-2.8","U,1221","","","0.0","U,0419","-2.2","U,0324","","","","","","","1157.5","","1157.5","U","16.42","U","25.83","U","7.00","U"
"USR0000CPOT","1997","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","594.2","","594.2","U","0","U","47","U","0","U","250","U","92","U","-6.7","U,0303,","42.2","U,0805,","-2.2","U,1209","-2.2","U,1209","","","0.0","U,0407","-6.7","U,0303","-6.7","U,0303","-6.7","U,0303","","","1308.7","","1308.7","U","16.23","U","25.43","U","7.03","U"
"USR0000CPOT","1998","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","532.4","","532.4","U","0","U","36","U","0","U","216","U","78","U","-5.6","U,1223,","43.3","U,0830,","0.0","U,1102","-3.3","U,1206","-5.0","U,1222","-1.7","U,0416","-2.8","U,0330","","","","","","","1707.3","","1707.3","U","14.89","U","23.55","U","6.24","U"
"USR0000CPOT","2000","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","525.2","","525.2","U","0","U","46","U","0","U","244","U","85","U","-4.4","U,1116,","41.1","U,0916,","0.0","U,1105","-2.8","U,1112","-4.4","U,1116","0.0","U,0401","-3.3","U,0321","","","","","","","1328.4","","1328.4","U","15.62","U","24.82","U","6.41","U"
"USR0000CPOT","2001","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700.8","","1700.8","U","","","","","",""
"USR0000CPOT","2006","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","734.3","","734.3","U","0","U","52","U","0","U","255","U","101","U","-5.0","U,0121,","45.0","U,0722,","-1.7","U,1128","-2.2","U,1129","-4.4","U,1220","0.0","U,0424","-4.4","U,0222","-4.4","U,0222","","","","","","","","","16.40","U","25.83","U","6.96","U"
"USR0000CPOT","2007","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","672.6","","672.6","U","0","U","46","U","0","U","262","U","104","U","-8.9","U,0114,","43.3","U,0903,","0.0","U,1202","-2.8","U,1227","","","-1.7","U,0419","-2.2","U,0301","-5.0","U,0122","-6.7","U,0117","-8.9","U,0114","1386.9","","1386.9","U","16.28","U","25.89","U","6.67","U"
"USR0000CPOT","2008","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","786.9","","786.9","U","0","U","38","U","0","U","254","U","120","U","-4.4","U,0215,","41.7","U,0621,","0.0","U,1011","-2.2","U,1219","","","0.0","U,0424","-4.4","U,0215","-4.4","U,0215","","","","","1443.5","","1443.5","U","16.82","U","25.86","U","7.78","U"
"USR0000CPOT","2009","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1247.7","","1247.7","","","","","","",""
"USR0000CPOT","2010","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","421.2","","421.2","U","0","U","27","U","0","U","215","U","39","U","-3.3","U,1129,","40.0","U,0826,","0.0","U,1109","-2.8","U,1127","","","-0.6","U,0524","","","","","","","","","","","","","14.76","U","22.69","U","6.84","U"
"USR0000CPOT","2011","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","479.8","","479.8","U","0","U","36","U","0","U","227","U","66","U","-3.3","U,1205,+","38.3","U,0827,+","-0.6","U,1108","-2.8","U,1204","","","-1.7","U,0410","-2.2","U,0228","","","","","","","1695.6","","1695.6","U","14.98","U","23.23","U","6.73","U"
"USR0000CPOT","2012","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","603.7","","603.7","U","0","U","35","U","0","U","243","U","79","U","-2.8","U,1219,","38.9","U,0813,","-1.1","U,1111","-2.8","U,1219","","","-0.6","U,0415","-2.2","U,0406","","","","","","","1568.8","","1568.8","U","15.97","U","24.50","U","7.44","U"
"USR0000CPOT","2013","32.6058","-116.6089","714.8","POTRERO CALIFORNIA, CA US","550.9","","550.9","U","0","U","38","U","0","U","243","U","62","U","-3.9","U,0212,+","40.0","U,0630,","-0.6","U,1205","-2.2","U,1208","","","0.0","U,0228","-3.3","U,0226","","","","","","","1438.5","","1438.5","U","15.78","U","24.34","U","7.22","U"
