"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CREA","2002","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1333.5","","1333.5","U","","","","","",""
"USR0000CREA","2004","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1275.8","","1275.8","U","0","U","20","U","0","U","228","U","126","U","-3.9","U,0103,","43.9","U,0706,","0.0","U,1129","-2.2","U,1205","","","","","","","-1.1","U,0212","-2.2","U,0123","","","","","1400.9","","1400.9","U","18.20","U","25.80","U","10.59","U"
"USR0000CREA","2005","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","939.9","","939.9","U","0","U","21","U","0","U","220","U","97","U","-4.4","U,1216,+","45.6","U,0717,","0.0","U,1120","-2.2","U,1203","-4.4","U,1205","","","","","-0.6","U,0114","","","","","","","1314.3","","1314.3","U","17.19","U","24.80","U","9.58","U"
"USR0000CREA","2006","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1162.9","","1162.9","U","0","U","32","U","0","U","215","U","121","U","-5.0","U,1219,+","48.3","U,0625,","0.0","U,1110","-3.9","U,1218","-5.0","U,1219","","","","","-1.7","U,0310","-3.9","U,0220","-5.0","U,0216","","","1561.6","","1561.6","U","17.10","U","24.67","U","9.53","U"
"USR0000CREA","2007","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1002.3","","1002.3","U","0","U","42","U","0","U","232","U","109","U","-6.7","U,0114,","45.6","U,0704,","-2.8","U,1124","-2.8","U,1124","-4.4","U,1201","","","","","0.0","U,0327","-2.8","U,0202","-4.4","U,0123","-6.7","U,0114","1420.1","","1420.1","U","17.13","U","25.35","U","8.91","U"
"USR0000CREA","2008","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1572.6","","1572.6","U","","","","","",""
"USR0000CREA","2009","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1128.2","","1128.2","U","0","U","43","U","0","U","230","U","116","U","-9.4","U,1209,","45.6","U,0728,","0.0","U,1115","-2.2","U,1202","-6.1","U,1206","-8.9","U,1208","-8.9","U,1208","-0.6","U,0415","-2.2","U,0210","","","","","","","","","17.16","U","25.16","U","9.16","U"
"USR0000CREA","2010","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1688.2","","1688.2","U","","","","","",""
"USR0000CREA","2011","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","970.5","","970.5","U","0","U","35","U","0","U","203","U","99","U","-4.4","U,1214,","42.8","U,0910,+","-0.6","U,1108","-2.2","U,1119","-4.4","U,1214","","","","","0.0","U,0301","-2.2","U,0110","","","","","","","","","16.58","U","24.21","U","8.94","U"
"USR0000CREA","2012","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1065.3","","1065.3","U","0","U","31","U","0","U","214","U","121","U","-8.3","U,0117,","45.6","U,0813,","-0.6","U,1110","-2.2","U,1215","","","","","","","-1.1","U,0406","-8.3","U,0117","-8.3","U,0117","-8.3","U,0117","1544.2","","1544.2","U","16.98","U","24.74","U","9.22","U"
"USR0000CREA","2013","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1056.2","","1056.2","U","0","U","54","U","0","U","246","U","102","U","-7.2","U,1206,","46.1","U,0702,","0.0","U,1117","-2.2","U,1125","-7.2","U,1206","-7.2","U,1206","","","-1.1","U,0227","-2.8","U,0122","-4.4","U,0121","","","1396.2","","1396.2","U","17.38","U","25.57","U","9.18","U"
"USR0000CREA","2014","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1149.2","","1149.2","U","0","U","27","U","0","U","241","U","124","U","-5.0","U,0205,","43.9","U,0714,+","-0.6","U,1116","-2.8","U,1117","","","","","","","-5.0","U,0205","-5.0","U,0205","-5.0","U,0205","","","1312.7","","1312.7","U","18.11","U","25.72","U","10.50","U"
"USR0000CREA","2015","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1231.3","","1231.3","U","0","U","21","U","0","U","251","U","118","U","-6.1","U,1129,","45.0","U,0730,","-0.6","U,1111","-2.2","U,1128","-6.1","U,1129","","","","","0.0","U,0305","-2.8","U,0103","","","","","1068.2","","1068.2","U","18.39","U","26.19","U","10.58","U"
"USR0000CREA","2016","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1075.9","","1075.9","U","0","U","17","U","0","U","219","U","110","U","-5.6","U,1226,","44.4","U,0728,","-1.7","U,1205","-2.2","U,1206","-5.6","U,1226","","","","","0.0","U,0201","","","","","","","1334.3","","1334.3","U","17.57","U","24.64","U","10.50","U"
"USR0000CREA","2017","40.5158","-122.2906","152.4","REDDING AIRPORT CALIFORNIA, CA US","1272.3","","1272.3","U","0","U","31","U","0","U","210","U","117","U","-3.3","U,1212,","46.1","U,0902,","0.0","U,1107","-2.2","U,1210","","","","","","","0.0","U,0414","-2.2","U,0224","","","","","1542.0","","1542.0","U","17.80","U","25.05","U","10.56","U"
