"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSAC","2002","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","842.0","","842.0","U","0","U","5","U","0","U","215","U","87","U","-1.7","U,0131,","41.7","U,0710,","","","","","","","-1.1","U,0308","","","","","","","17.01","U","23.91","U","10.12","U"
"USR0000CSAC","2003","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","1012.3","","1012.3","U","0","U","3","U","0","U","187","U","105","U","-0.6","U,1227,","43.3","U,0727,","-0.6","U,1227","","","","","0.0","U,0209","","","1315.4","","1315.4","U","17.39","U","23.88","U","10.90","U"
"USR0000CSAC","2004","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","906.3","","906.3","U","0","U","5","U","0","U","215","U","93","U","-0.6","U,0104,+","40.0","U,0811,","0.0","U,1130","","","","","-0.6","U,0104","","","1199.0","","1199.0","U","17.37","U","24.07","U","10.67","U"
"USR0000CSAC","2005","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","800.2","","800.2","U","0","U","2","U","0","U","217","U","77","U","-0.6","U,1206,","41.7","U,0717,","0.0","U,1205","","","","","","","","","1346.5","","1346.5","U","17.10","U","23.62","U","10.57","U"
"USR0000CSAC","2006","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","911.3","","911.3","U","0","U","8","U","0","U","205","U","97","U","-1.1","U,1220,","43.3","U,0723,+","-0.6","U,1130","","","","","-0.6","U,0221","","","1325.7","","1325.7","U","16.99","U","23.74","U","10.23","U"
"USR0000CSAC","2007","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","783.1","","783.1","U","0","U","11","U","0","U","225","U","87","U","-3.9","U,0116,+","40.6","U,0705,","-1.1","U,1201","","","","","0.0","U,0126","-3.9","U,0116","1248.5","","1248.5","U","16.99","U","24.33","U","9.66","U"
"USR0000CSAC","2008","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","863.0","","863.0","U","0","U","8","U","0","U","216","U","97","U","-3.3","U,1218,","42.2","U,0709,","-1.7","U,1214","-2.2","U,1217","","","-0.6","U,0420","","","1414.7","","1414.7","U","16.87","U","23.99","U","9.74","U"
"USR0000CSAC","2009","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","845.9","","845.9","U","0","U","8","U","0","U","226","U","92","U","-5.6","U,1208,","41.1","U,0719,+","-3.3","U,1206","-3.3","U,1206","-5.6","U,1208","-0.6","U,0210","","","1277.2","","1277.2","U","16.99","U","24.22","U","9.75","U"
"USR0000CSAC","2010","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","728.7","","728.7","U","0","U","6","U","0","U","199","U","81","U","-0.6","U,1231,+","42.2","U,0825,","0.0","U,1124","","","","","","","","","1458.7","","1458.7","U","16.44","U","22.96","U","9.93","U"
"USR0000CSAC","2011","39.4172","-122.1825","36.6","SACRAMENTO NWR CALIFORNIA, CA US","756.1","","756.1","U","0","U","11","U","0","U","195","U","83","U","-1.7","U,1225,+","41.7","U,0909,","0.0","U,1206","","","","","0.0","U,0227","","","1472.0","","1472.0","U","16.25","U","23.00","U","9.49","U"
