"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSAD","1999","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","878.4","","878.4","U","0","U","98","U","0","U","244","U","117","U","-7.2","U,1215,+","41.1","U,0630,","0.0","U,1018","-2.8","U,1118","-6.7","U,1123","-6.7","U,1123","","","-6.7","U,0410","-6.7","U,0410","-6.7","U,0410","-6.7","U,0410","","","","","","","16.18","U","26.04","U","6.32","U"
"USR0000CSAD","2000","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","1064.4","","1064.4","U","0","U","73","U","0","U","242","U","127","U","-8.9","U,1113,+","42.2","U,0814,+","0.0","U,1013","-2.2","U,1101","-7.2","U,1112","-7.2","U,1112","-8.9","U,1113","0.0","U,0311","-2.8","U,0203","-5.0","U,0129","-8.9","U,0108","-8.9","U,0108","1395.6","","1395.6","U","17.06","U","26.47","U","7.65","U"
"USR0000CSAD","2001","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1693.8","","1693.8","U","","","","","",""
"USR0000CSAD","2002","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","1150.8","","1150.8","U","0","U","90","U","0","U","254","U","135","U","-10.0","U,0304,","46.7","U,0709,","-0.6","U,1101","-2.8","U,1102","-4.4","U,1212","","","","","0.0","U,0421","-2.8","U,0325","-6.1","U,0319","-10.0","U,0304","-10.0","U,0304","","","","","17.13","U","27.25","U","7.00","U"
"USR0000CSAD","2004","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","1018.6","","1018.6","U","0","U","72","U","0","U","232","U","129","U","-8.3","U,1201,+","42.8","U,0810,","-0.6","U,1103","-4.4","U,1129","-4.4","U,1129","-8.3","U,1130","","","0.0","U,0329","-3.9","U,0214","-6.1","U,0213","-6.7","U,0201","","","1531.0","","1531.0","U","16.75","U","26.14","U","7.35","U"
"USR0000CSAD","2005","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","825.8","","825.8","U","0","U","82","U","0","U","235","U","106","U","-9.4","U,1216,","43.9","U,0719,","0.0","U,1113","-3.3","U,1117","-5.6","U,1119","-6.7","U,1127","-8.9","U,1206","0.0","U,0426","-2.2","U,0423","","","","","","","1784.5","","1784.5","U","16.03","U","25.55","U","6.51","U"
"USR0000CSAD","2006","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","1072.8","","1072.8","U","0","U","105","U","0","U","240","U","125","U","-10.6","U,1220,+","44.4","U,0722,","0.0","U,1022","-2.2","U,1110","-4.4","U,1124","-8.3","U,1129","-10.6","U,1204","0.0","U,0420","-2.2","U,0323","-4.4","U,0225","-7.2","U,0223","-8.9","U,0222","1691.8","","1691.8","U","16.36","U","26.42","U","6.30","U"
"USR0000CSAD","2007","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","1110.5","","1110.5","U","0","U","78","U","0","U","252","U","130","U","-16.1","U,0113,","45.0","U,0705,","-0.6","U,1121","-5.0","U,1122","-5.0","U,1122","","","","","-2.8","U,0419","-2.8","U,0419","-4.4","U,0224","-7.8","U,0203","-8.9","U,0118","1572.4","","1572.4","U","17.06","U","26.74","U","7.37","U"
"USR0000CSAD","2008","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","1107.3","","1107.3","U","0","U","81","U","0","U","252","U","126","U","-11.7","U,1219,","44.4","U,0709,","-2.2","U,1012","-2.2","U,1012","-11.1","U,1218","-11.1","U,1218","-11.1","U,1218","0.0","U,0422","-2.2","U,0310","-5.0","U,0306","","","","","1687.9","","1687.9","U","16.95","U","26.31","U","7.59","U"
"USR0000CSAD","2009","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1580.2","","1580.2","U","","","","","",""
"USR0000CSAD","2010","34.6847","-117.8208","789.4","SADDLEBACK BUTTE CALIFORNIA, CA US","932.1","","932.1","U","0","U","69","U","0","U","214","U","119","U","-9.4","U,1126,","43.9","U,0715,","0.0","U,1028","-4.4","U,1112","-4.4","U,1112","-7.2","U,1125","-9.4","U,1126","0.0","U,0423","-3.9","U,0311","-6.1","U,0105","-7.2","U,0103","","","","","","","16.12","U","25.37","U","6.86","U"
