"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSAW","1989","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","","","","","0","U","104","U","","","","","","","-11.7","U,0208,+","","","0.0","U,1027","-2.2","U,1030","-4.4","U,1212","","","","","0.0","U,0519","-5.0","U,0303","-5.0","U,0303","-11.7","U,0208","-11.7","U,0208","","","","","","","","","4.26","U"
"USR0000CSAW","1992","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890.4","","1890.4","","","","","","",""
"USR0000CSAW","1994","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","614.1","","614.1","U","0","U","93","U","0","U","200","U","98","U","-6.1","U,1119,","43.9","U,0720,","-1.7","U,1029","-3.3","U,1103","-4.4","U,1118","","","","","0.0","U,0407","-2.8","U,0322","-4.4","U,0212","","","","","1993.3","","1993.3","U","13.59","U","22.40","U","4.78","U"
"USR0000CSAW","1995","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","338.1","","338.1","U","0","U","51","U","0","U","173","U","44","U","-4.4","U,0215,","38.9","U,0804,","0.0","U,1103","-2.8","U,1223","","","","","","","-0.6","U,0422","-2.2","U,0421","-4.4","U,0215","","","","","2642.8","","2642.8","U","12.85","U","20.02","U","5.68","U"
"USR0000CSAW","1996","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2293.7","","2293.7","U","","","","","",""
"USR0000CSAW","1998","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","584.1","","584.1","U","0","U","73","U","2","U","163","U","79","U","-13.9","U,1221,","45.6","U,0902,","0.0","U,1016","-2.2","U,1203","-5.0","U,1205","-11.1","U,1220","-11.1","U,1220","-0.6","U,0417","-2.2","U,0330","","","","","","","2551.4","","2551.4","U","12.80","U","20.38","U","5.23","U"
"USR0000CSAW","2001","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","675.9","","675.9","U","0","U","93","U","0","U","202","U","112","U","-5.6","U,0116,","44.4","U,0808,","0.0","U,1024","-3.9","U,1127","","","","","","","0.0","U,0429","-3.3","U,0404","-4.4","U,0212","","","","","2223.2","","2223.2","U","14.23","U","23.25","U","5.21","U"
"USR0000CSAW","2002","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","708.5","","708.5","U","0","U","101","U","0","U","222","U","108","U","-7.8","U,0130,+","47.8","U,0711,","0.0","U,1029","-2.2","U,1030","","","","","","","0.0","U,0509","-5.6","U,0318","-5.6","U,0318","-7.8","U,0130","","","2130.4","","2130.4","U","14.58","U","24.18","U","4.97","U"
"USR0000CSAW","2003","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","623.2","","623.2","U","0","U","77","U","0","U","178","U","80","U","-5.0","U,1227,","43.9","U,0729,","0.0","U,1013","-2.8","U,1101","-5.0","U,1227","","","","","0.0","U,0517","-2.8","U,0304","","","","","","","2123.6","","2123.6","U","13.80","U","21.94","U","5.67","U"
"USR0000CSAW","2004","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","489.3","","489.3","U","0","U","77","U","0","U","188","U","75","U","-4.4","U,1129,","41.1","U,0811,+","0.0","U,1025","-3.9","U,1128","-4.4","U,1129","","","","","0.0","U,0422","-2.2","U,0210","","","","","","","2232.3","","2232.3","U","13.55","U","21.64","U","5.46","U"
"USR0000CSAW","2005","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","483.1","","483.1","U","0","U","86","U","0","U","167","U","71","U","-4.4","U,1216,+","41.7","U,0718,","0.0","U,1027","-2.2","U,1130","-4.4","U,1215","","","","","-0.6","U,0419","-2.2","U,0210","-4.4","U,0113","","","","","2394.8","","2394.8","U","13.04","U","21.07","U","5.00","U"
"USR0000CSAW","2006","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","563.5","","563.5","U","0","U","100","U","0","U","185","U","83","U","-7.2","U,0311,","43.9","U,0625,","0.0","U,1030","-3.3","U,1128","-5.6","U,1129","","","","","0.0","U,0419","-3.3","U,0319","-4.4","U,0312","-7.2","U,0311","","","2429.8","","2429.8","U","13.32","U","21.52","U","5.13","U"
"USR0000CSAW","2007","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2224.4","","2224.4","U","","","","","",""
"USR0000CSAW","2009","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","574.2","","574.2","U","0","U","103","U","0","U","189","U","89","U","-10.0","U,1209,+","42.8","U,0727,","0.0","U,1005","-2.8","U,1128","-4.4","U,1205","-6.7","U,1206","-8.9","U,1207","0.0","U,0425","-3.3","U,0415","-4.4","U,0310","","","","","2265.7","","2265.7","U","13.28","U","21.79","U","4.77","U"
"USR0000CSAW","2010","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","447.3","","447.3","U","0","U","81","U","0","U","163","U","68","U","-6.7","U,1124,","40.0","U,0816,+","-1.1","U,1027","-4.4","U,1123","-4.4","U,1123","-6.7","U,1124","","","-1.7","U,0506","-2.2","U,0310","","","","","","","2628.2","","2628.2","U","12.35","U","19.69","U","5.00","U"
"USR0000CSAW","2011","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","385.0","","385.0","U","0","U","99","U","0","U","147","U","67","U","-7.8","U,0226,","38.3","U,0729,","0.0","U,1104","-2.2","U,1204","","","","","","","0.0","U,0509","-2.8","U,0429","-5.0","U,0227","-7.8","U,0226","","","2679.1","","2679.1","U","11.94","U","19.42","U","4.46","U"
"USR0000CSAW","2013","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","483.0","","483.0","U","0","U","101","U","1","U","170","U","56","U","-12.8","U,1208,","41.1","U,0721,+","-2.8","U,1103","-2.8","U,1103","-5.6","U,1204","-8.9","U,1205","-8.9","U,1205","-1.7","U,0522","-3.3","U,0323","-5.0","U,0209","-7.2","U,0114","-8.9","U,0113","2368.9","","2368.9","U","12.89","U","20.80","U","4.98","U"
"USR0000CSAW","2014","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","611.0","","611.0","U","0","U","49","U","0","U","183","U","80","U","-6.1","U,1231,","40.6","U,0707,","-0.6","U,1116","-2.2","U,1117","-6.1","U,1231","","","","","0.0","U,0428","-4.4","U,0205","-4.4","U,0205","","","","","2296.9","","2296.9","U","14.24","U","21.62","U","6.86","U"
"USR0000CSAW","2015","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","594.0","","594.0","U","0","U","52","U","0","U","192","U","66","U","-6.1","U,1231,+","40.6","U,0731,+","-1.1","U,1104","-4.4","U,1128","-4.4","U,1128","","","","","-1.7","U,0415","-2.2","U,0121","","","","","","","1911.6","","1911.6","U","14.33","U","21.75","U","6.91","U"
"USR0000CSAW","2016","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","562.4","","562.4","U","0","U","66","U","0","U","167","U","75","U","-8.3","U,0102,","41.7","U,0818,","0.0","U,1122","-2.2","U,1202","-5.6","U,1217","","","","","-0.6","U,0426","-3.9","U,0201","-8.3","U,0102","-8.3","U,0102","","","2248.2","","2248.2","U","13.36","U","20.52","U","6.20","U"
"USR0000CSAW","2017","41.3003","-123.1322","668.1","SAWYERS BAR CALIFORNIA, CA US","662.5","","662.5","U","0","U","85","U","1","U","160","U","88","U","-10.0","U,0106,","43.3","U,0801,","-1.1","U,1012","-2.2","U,1118","","","","","","","0.0","U,0428","-2.2","U,0305","-10.0","U,0106","-10.0","U,0106","-10.0","U,0106","2639.6","","2639.6","U","13.13","U","20.25","U","6.01","U"
