"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSRO","1995","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","815.7","","815.7","U","0","U","0","U","0","U","232","U","50","U","1.7","U,0325,","40.0","U,0727,","","","","","","","","","17.81","U","23.51","U","12.11","U"
"USR0000CSRO","1996","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","819.3","","819.3","U","0","U","0","U","0","U","237","U","59","U","1.1","U,0226,+","38.9","U,1007,+","","","","","754.7","","754.7","U","18.11","U","23.92","U","12.30","U"
"USR0000CSRO","1997","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","758.7","","758.7","U","0","U","0","U","0","U","241","U","52","U","2.8","U,1226,+","41.7","U,0805,","","","","","902.0","","902.0","U","17.95","U","23.84","U","12.05","U"
"USR0000CSRO","1998","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","629.7","","629.7","U","0","U","1","U","0","U","199","U","34","U","0.0","U,1223,","41.7","U,0829,","0.0","U,1223","","","1236.0","","1236.0","U","16.56","U","22.20","U","10.92","U"
"USR0000CSRO","1999","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","658.8","","658.8","U","0","U","0","U","0","U","234","U","32","U","0.6","U,0402,+","38.3","U,0930,","","","","","1217.8","","1217.8","U","17.18","U","23.25","U","11.11","U"
"USR0000CSRO","2000","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","682.8","","682.8","U","0","U","0","U","0","U","243","U","42","U","3.3","U,1116,+","39.4","U,0916,+","","","","","765.6","","765.6","U","17.81","U","23.71","U","11.92","U"
"USR0000CSRO","2001","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","722.6","","722.6","U","0","U","0","U","0","U","230","U","42","U","0.6","U,0208,","38.9","U,0930,+","","","","","1136.0","","1136.0","U","17.07","U","22.91","U","11.23","U"
"USR0000CSRO","2002","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","630.7","","630.7","U","0","U","2","U","0","U","223","U","33","U","-1.7","U,0130,","42.8","U,0901,","","","-1.7","U,0130","1047.4","","1047.4","U","17.10","U","23.20","U","10.99","U"
"USR0000CSRO","2004","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","662.4","","662.4","U","0","U","0","U","0","U","213","U","47","U","0.6","U,1121,","38.3","U,0713,","","","","","","","","","17.23","U","23.21","U","11.26","U"
"USR0000CSRO","2005","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","622.1","","622.1","U","0","U","0","U","0","U","227","U","37","U","2.2","U,1216,","37.8","U,0825,","","","","","1153.1","","1153.1","U","17.26","U","23.04","U","11.48","U"
"USR0000CSRO","2006","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","861.4","","861.4","U","0","U","0","U","0","U","233","U","57","U","1.1","U,0220,","44.4","U,0722,","","","","","1002.3","","1002.3","U","17.90","U","24.08","U","11.71","U"
"USR0000CSRO","2008","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","886.1","","886.1","U","0","U","0","U","0","U","229","U","41","U","1.1","U,1217,","39.4","U,0621,","","","","","1205.6","","1205.6","U","17.66","U","23.28","U","12.04","U"
"USR0000CSRO","2009","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","742.7","","742.7","U","0","U","0","U","0","U","229","U","41","U","1.1","U,0210,","39.4","U,0827,","","","","","1031.9","","1031.9","U","17.35","U","23.07","U","11.64","U"
"USR0000CSRO","2010","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","473.9","","473.9","U","0","U","0","U","0","U","196","U","27","U","1.1","U,1231,","40.0","U,0927,","","","","","1206.4","","1206.4","U","16.06","U","21.49","U","10.63","U"
"USR0000CSRO","2011","33.5286","-117.2306","603.5","SANTA ROSA PLATEAU CALIFORNIA, CA US","586.9","","586.9","U","0","U","0","U","0","U","211","U","24","U","0.6","U,0227,+","37.8","U,0907,","","","","","1275.4","","1275.4","U","16.57","U","22.21","U","10.92","U"
