"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CWOL","1997","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","530.0","","530.0","U","0","U","64","U","1","U","188","U","32","U","-8.9","U,0113,","38.3","U,0808,+","0.0","U,1007","-2.2","U,1127","-5.0","U,1208","-6.7","U,1210","","","-0.6","U,0410","-2.8","U,0409","-4.4","U,0228","-6.7","U,0114","-8.9","U,0113","1943.8","","1943.8","U","14.35","U","21.19","U","7.52","U"
"USR0000CWOL","1998","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","458.0","","458.0","U","0","U","100","U","1","U","137","U","30","U","-10.0","U,1221,","37.2","U,0829,+","-0.6","U,1108","-2.8","U,1109","-6.1","U,1204","-7.8","U,1206","-8.9","U,1220","-0.6","U,0527","-3.9","U,0513","-4.4","U,0415","-7.8","U,0329","","","2677.9","","2677.9","U","11.97","U","18.05","U","5.88","U"
"USR0000CWOL","1999","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","574.2","","574.2","U","0","U","68","U","0","U","187","U","29","U","-8.9","U,0210,","36.1","U,0822,","-0.6","U,1121","-2.2","U,1122","-4.4","U,1210","","","","","-1.1","U,0603","-5.0","U,0410","-5.0","U,0410","-8.3","U,0409","-8.9","U,0210","2418.7","","2418.7","U","14.25","U","20.79","U","7.72","U"
"USR0000CWOL","2000","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","610.6","","610.6","U","0","U","60","U","0","U","172","U","40","U","-5.6","U,0306,","36.1","U,0913,","0.0","U,1010","-3.3","U,1109","-4.4","U,1110","","","","","-0.6","U,0516","-2.8","U,0418","-5.6","U,0306","","","","","1819.9","","1819.9","U","14.24","U","20.74","U","7.75","U"
"USR0000CWOL","2001","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","760.8","","760.8","U","0","U","92","U","2","U","202","U","56","U","-8.3","U,0116,","38.3","U,0818,","0.0","U,1112","-2.2","U,1124","-5.0","U,1210","-7.2","U,1211","","","-2.2","U,0422","-2.2","U,0422","-5.0","U,0410","-7.2","U,0408","","","2160.0","","2160.0","U","14.65","U","21.24","U","8.05","U"
"USR0000CWOL","2002","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","655.4","","655.4","U","0","U","62","U","3","U","182","U","40","U","-11.7","U,0130,","39.4","U,0709,","0.0","U,1125","-3.3","U,1217","-5.0","U,1218","","","","","-1.1","U,0521","-2.2","U,0419","-8.3","U,0318","-8.3","U,0318","-11.7","U,0130","2005.1","","2005.1","U","14.49","U","21.10","U","7.88","U"
"USR0000CWOL","2003","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","761.7","","761.7","U","0","U","77","U","0","U","189","U","54","U","-7.2","U,1227,","37.2","U,0716,","0.0","U,1030","-2.2","U,1101","-6.7","U,1226","-6.7","U,1226","","","0.0","U,0510","-2.8","U,0509","-5.0","U,0405","","","","","2090.2","","2090.2","U","14.67","U","21.23","U","8.10","U"
"USR0000CWOL","2004","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","633.8","","633.8","U","0","U","76","U","0","U","195","U","51","U","-7.2","U,0103,","38.3","U,0811,","0.0","U,1021","-2.2","U,1104","-5.0","U,1128","","","","","0.0","U,0419","-3.9","U,0302","-5.0","U,0228","-7.2","U,0103","","","1912.0","","1912.0","U","14.44","U","21.23","U","7.65","U"
"USR0000CWOL","2005","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2342.2","","2342.2","U","","","","","",""
"USR0000CWOL","2006","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","","","","","0","U","76","U","","","","","","","-7.8","U,0312,+","","","0.0","U,1112","-2.8","U,1125","-4.4","U,1128","-6.7","U,1217","","","0.0","U,0418","-2.8","U,0417","-5.6","U,0321","-7.8","U,0312","","","","","","","","","","","7.81","U"
"USR0000CWOL","2008","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","719.4","","719.4","U","0","U","63","U","0","U","187","U","40","U","-7.2","U,1214,","38.3","U,0709,","-0.6","U,1010","-6.1","U,1213","-6.1","U,1213","-7.2","U,1214","","","-1.1","U,0421","-2.8","U,0331","-6.1","U,0316","","","","","","","","","14.68","U","21.09","U","8.26","U"
"USR0000CWOL","2009","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","674.6","","674.6","U","0","U","70","U","1","U","166","U","51","U","-8.9","U,1208,+","37.2","U,0828,","-0.6","U,1004","-2.2","U,1028","-8.9","U,1207","-8.9","U,1207","-8.9","U,1207","-0.6","U,0425","-2.2","U,0416","-4.4","U,0415","-6.7","U,0214","","","1943.0","","1943.0","U","14.30","U","20.61","U","7.98","U"
"USR0000CWOL","2010","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2337.4","","2337.4","U","","","","","",""
"USR0000CWOL","2012","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","731.0","","731.0","U","0","U","65","U","1","U","193","U","58","U","-7.2","U,0319,+","37.8","U,0809,","0.0","U,1023","-4.4","U,1109","-4.4","U,1109","-6.7","U,1218","","","0.0","U,0526","-2.2","U,0414","-5.0","U,0406","-7.2","U,0319","","","","","","","14.83","U","21.41","U","8.24","U"
"USR0000CWOL","2013","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","660.6","","660.6","U","0","U","47","U","0","U","190","U","50","U","-9.4","U,1208,","38.3","U,0630,","0.0","U,1010","-3.3","U,1203","-6.7","U,1204","-6.7","U,1204","-8.9","U,1207","-2.2","U,0417","-2.2","U,0417","-5.6","U,0221","-7.2","U,0220","-8.9","U,0112","2014.7","","2014.7","U","14.78","U","20.97","U","8.59","U"
"USR0000CWOL","2014","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","729.1","","729.1","U","0","U","33","U","1","U","200","U","46","U","-8.3","U,1231,","37.2","U,0713,","0.0","U,1031","-3.3","U,1225","-6.1","U,1230","-8.3","U,1231","","","0.0","U,0506","-2.8","U,0403","-5.0","U,0401","","","","","1665.0","","1665.0","U","15.68","U","21.76","U","9.61","U"
"USR0000CWOL","2015","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","623.0","","623.0","U","0","U","53","U","0","U","194","U","35","U","-7.8","U,1229,+","36.1","U,0816,","0.0","U,1102","-2.8","U,1110","-5.0","U,1116","-7.2","U,1215","","","0.0","U,0514","-2.8","U,0408","-5.0","U,0101","","","","","1664.9","","1664.9","U","14.90","U","20.85","U","8.95","U"
"USR0000CWOL","2016","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","641.8","","641.8","U","0","U","49","U","0","U","184","U","31","U","-7.2","U,1225,+","36.7","U,0729,","-0.6","U,1116","-2.2","U,1117","-6.1","U,1207","-7.2","U,1225","","","-1.1","U,0425","-4.4","U,0329","-4.4","U,0329","-7.2","U,0201","","","2108.7","","2108.7","U","14.71","U","20.55","U","8.87","U"
"USR0000CWOL","2017","36.445","-118.7033","1597.2","WOLVERTON CALIFORNIA, CA US","705.5","","705.5","U","0","U","47","U","0","U","178","U","38","U","-7.2","U,0223,+","36.1","U,0827,+","-0.6","U,1127","-2.8","U,1204","-4.4","U,1220","","","","","-0.6","U,0612","-2.2","U,0409","-6.7","U,0306","-6.7","U,0306","","","2135.4","","2135.4","U","14.75","U","20.45","U","9.05","U"
