"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CYUC","1992","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","","","","","0","U","44","U","0","U","212","U","92","U","-7.8","U,1220,","40.6","U,0818,","0.0","U,1122","-2.2","U,1124","-4.4","U,1201","-7.8","U,1220","-1.1","U,0214","-2.8","U,0123","","","","","","","","","","","16.62","U","23.91","U","9.33","U"
"USR0000CYUC","1993","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","760.1","","760.1","U","0","U","45","U","0","U","232","U","84","U","-9.4","U,0104,","42.2","U,0801,","-1.7","U,1116","-2.8","U,1121","-4.4","U,1126","","","-1.7","U,0225","-2.8","U,0112","-4.4","U,0105","-9.4","U,0104","-9.4","U,0104","1585.3","","1585.3","U","16.10","U","24.23","U","7.98","U"
"USR0000CYUC","1994","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1576.2","","1576.2","U","","","","","",""
"USR0000CYUC","1996","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1329.7","","1329.7","U","0","U","27","U","0","U","265","U","144","U","-5.6","U,0227,+","43.9","U,0730,","-1.7","U,1022","-2.8","U,1202","-4.4","U,1203","","","-1.1","U,0324","-3.3","U,0229","-5.6","U,0227","","","","","","","","","18.77","U","27.90","U","9.65","U"
"USR0000CYUC","1997","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1109.0","","1109.0","U","0","U","45","U","0","U","255","U","127","U","-4.4","U,1213,","40.6","U,0807,+","-1.1","U,1115","-2.8","U,1203","-4.4","U,1213","","","-1.7","U,0306","-2.8","U,0305","","","","","","","1149.1","","1149.1","U","17.74","U","26.40","U","9.09","U"
"USR0000CYUC","1999","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","888.0","","888.0","U","0","U","40","U","0","U","256","U","107","U","-5.0","U,0212,","38.3","U,0630,","-2.8","U,1123","-2.8","U,1123","","","","","-4.4","U,0410","-4.4","U,0410","-4.4","U,0410","","","","","","","","","17.06","U","25.81","U","8.30","U"
"USR0000CYUC","2000","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1008.4","","1008.4","U","0","U","53","U","0","U","219","U","103","U","-5.6","U,1113,","40.0","U,0719,+","-1.1","U,1031","-2.2","U,1112","-5.6","U,1113","","","0.0","U,0419","-2.2","U,0309","-4.4","U,0103","","","","","1349.2","","1349.2","U","16.86","U","24.94","U","8.77","U"
"USR0000CYUC","2001","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1168.8","","1168.8","U","0","U","58","U","0","U","242","U","123","U","-4.4","U,1213,","42.2","U,0703,","-2.2","U,1126","-2.2","U,1126","-4.4","U,1213","","","-2.2","U,0409","-2.2","U,0409","","","","","","","1656.6","","1656.6","U","17.22","U","25.28","U","9.17","U"
"USR0000CYUC","2002","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1469.2","","1469.2","U","","","","","",""
"USR0000CYUC","2003","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1229.7","","1229.7","U","0","U","37","U","0","U","225","U","123","U","-5.6","U,1228,+","42.2","U,0712,+","-1.1","U,1104","-2.8","U,1123","-4.4","U,1216","","","-1.1","U,0406","-2.2","U,0210","-4.4","U,0209","","","","","","","","","17.49","U","25.21","U","9.77","U"
"USR0000CYUC","2004","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","936.7","","936.7","U","0","U","45","U","0","U","224","U","98","U","-6.7","U,1130,","39.4","U,0809,","0.0","U,1103","-2.2","U,1121","-6.7","U,1130","-6.7","U,1130","-1.7","U,0229","-2.2","U,0204","","","","","","","1457.9","","1457.9","U","16.61","U","24.27","U","8.94","U"
"USR0000CYUC","2005","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","915.5","","915.5","U","0","U","26","U","0","U","232","U","93","U","-5.0","U,1216,","44.4","U,0717,","-1.7","U,1127","-2.8","U,1128","-4.4","U,1215","","","0.0","U,0325","-2.2","U,0113","","","","","","","1665.9","","1665.9","U","16.77","U","24.50","U","9.05","U"
"USR0000CYUC","2006","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1110.8","","1110.8","U","0","U","54","U","0","U","233","U","114","U","-6.7","U,1220,+","41.7","U,0715,","0.0","U,1125","-6.7","U,1130","-6.7","U,1130","-6.7","U,1130","-1.1","U,0406","-2.2","U,0319","-5.0","U,0220","","","","","1522.6","","1522.6","U","17.06","U","25.15","U","8.98","U"
"USR0000CYUC","2007","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1098.2","","1098.2","U","0","U","47","U","0","U","247","U","103","U","-10.6","U,0114,","43.9","U,0705,","-1.1","U,1122","-2.8","U,1202","","","","","-2.2","U,0304","-2.2","U,0304","-6.7","U,0301","-6.7","U,0301","-10.6","U,0114","1391.1","","1391.1","U","17.40","U","25.37","U","9.43","U"
"USR0000CYUC","2008","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1112.4","","1112.4","U","0","U","42","U","0","U","240","U","104","U","-8.3","U,1219,","40.6","U,0708,+","-4.4","U,1214","-4.4","U,1214","-4.4","U,1214","-8.3","U,1219","0.0","U,0331","-2.2","U,0206","","","","","","","1566.0","","1566.0","U","17.21","U","24.70","U","9.72","U"
"USR0000CYUC","2009","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1117.9","","1117.9","U","0","U","36","U","0","U","229","U","106","U","-4.4","U,0105,","41.1","U,0717,","0.0","U,1116","-2.2","U,1204","","","","","0.0","U,0416","-2.2","U,0218","-4.4","U,0105","","","","","1412.6","","1412.6","U","17.22","U","24.70","U","9.73","U"
"USR0000CYUC","2010","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","961.8","","961.8","U","0","U","25","U","0","U","203","U","94","U","-6.7","U,1231,","40.0","U,0824,","-1.1","U,1122","-2.2","U,1123","-6.1","U,1126","-6.7","U,1231","-1.1","U,0312","-2.8","U,0124","","","","","","","1649.9","","1649.9","U","16.51","U","23.78","U","9.24","U"
"USR0000CYUC","2011","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","949.3","","949.3","U","0","U","54","U","0","U","217","U","91","U","-7.2","U,0203,","40.0","U,0702,","0.0","U,1103","-2.2","U,1204","-6.7","U,1206","-6.7","U,1206","-1.7","U,0410","-2.2","U,0227","-7.2","U,0203","-7.2","U,0203","","","1597.2","","1597.2","U","16.29","U","23.93","U","8.64","U"
"USR0000CYUC","2012","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1175.5","","1175.5","U","0","U","34","U","0","U","240","U","111","U","-7.2","U,1220,","41.1","U,0710,","-1.1","U,1110","-3.3","U,1111","-4.4","U,1219","-7.2","U,1220","-0.6","U,0320","-2.8","U,0220","-4.4","U,0117","","","","","1512.6","","1512.6","U","17.75","U","25.49","U","10.00","U"
"USR0000CYUC","2013","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1084.4","","1084.4","U","0","U","39","U","0","U","235","U","100","U","-10.0","U,0113,","42.8","U,0629,","0.0","U,1128","-2.2","U,1205","","","","","0.0","U,0228","-2.2","U,0227","-6.1","U,0114","-10.0","U,0113","-10.0","U,0113","1368.4","","1368.4","U","17.28","U","24.75","U","9.82","U"
"USR0000CYUC","2014","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1139.4","","1139.4","U","0","U","10","U","0","U","258","U","115","U","-5.0","U,1228,","40.6","U,0724,+","0.0","U,1214","-3.3","U,1227","-5.0","U,1228","","","-3.3","U,0204","-3.3","U,0204","-4.4","U,0202","","","","","1251.0","","1251.0","U","18.38","U","25.88","U","10.88","U"
"USR0000CYUC","2016","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1116.2","","1116.2","U","0","U","28","U","0","U","263","U","97","U","-5.0","U,1218,","43.3","U,0620,","0.0","U,1118","-2.8","U,1125","-4.4","U,1217","","","-0.6","U,0330","-3.3","U,0204","","","","","","","1369.7","","1369.7","U","17.99","U","25.49","U","10.49","U"
"USR0000CYUC","2017","34.1233","-116.4078","993.6","YUCCA VALLEY CALIFORNIA, CA US","1144.2","","1144.2","U","0","U","15","U","0","U","260","U","105","U","-3.3","U,0126,+","42.2","U,0707,+","0.0","U,1218","","","","","","","0.0","U,0307","-2.8","U,0224","","","","","","","1245.1","","1245.1","U","18.27","U","25.87","U","10.66","U"
