"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000DPRI","2003","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","636.7","","636.7","U","0","U","90","U","12","U","149","U","25","U","-12.8","U,0127,+","34.4","U,0822,+","0.0","U,1023","-2.2","U,1110","-5.0","U,1203","","","","","-1.7","U,0401","-3.9","U,0315","-7.2","U,0311","-7.2","U,0311","-8.9","U,0214","","","","","12.80","U","17.36","U","8.24","U"
"USR0000DPRI","2005","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","723.2","","723.2","U","0","U","88","U","14","U","162","U","26","U","-12.2","U,0124,","36.7","U,0727,","0.0","U,1112","-2.8","U,1118","-6.1","U,1125","-7.8","U,1220","","","-0.6","U,0322","-2.2","U,0318","-6.7","U,0310","-6.7","U,0310","-10.6","U,0129","","","","","13.31","U","17.94","U","8.66","U"
"USR0000DPRI","2006","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","","","","","","","","","1","U","158","U","21","U","","","36.7","U,0803,","","","","","","","","","","","","","","","","","","","","","2207.9","","2207.9","U","","","18.67","U","",""
"USR0000DPRI","2007","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","729.5","","729.5","U","0","U","86","U","13","U","181","U","35","U","-12.2","U,0206,","37.8","U,0808,","-0.6","U,1108","-2.8","U,1204","-8.9","U,1206","-8.9","U,1206","-8.9","U,1206","-1.7","U,0411","-2.2","U,0319","-10.6","U,0308","-10.6","U,0308","-10.6","U,0308","","","","","13.68","U","18.74","U","8.61","U"
"USR0000DPRI","2008","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","664.4","","664.4","U","0","U","73","U","8","U","174","U","23","U","-10.0","U,0121,","38.3","U,0610,","0.0","U,1031","-2.8","U,1119","-5.6","U,1123","-7.8","U,1222","","","-2.8","U,0324","-2.8","U,0324","-7.8","U,0229","-7.8","U,0229","-8.9","U,0211","2203.8","","2203.8","U","13.81","U","19.01","U","8.61","U"
"USR0000DPRI","2009","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","619.3","","619.3","U","0","U","82","U","12","U","161","U","20","U","-15.0","U,0117,","35.0","U,0821,+","-0.6","U,1106","-2.2","U,1107","-4.4","U,1223","-6.7","U,1230","","","0.0","U,0408","-3.9","U,0325","-7.2","U,0305","-7.2","U,0305","-11.7","U,0304","2455.1","","2455.1","U","13.41","U","18.04","U","8.78","U"
"USR0000DPRI","2010","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","891.4","","891.4","U","0","U","79","U","12","U","174","U","53","U","-10.6","U,0131,","38.3","U,0725,+","0.0","U,1119","-2.8","U,1128","-4.4","U,1129","-7.2","U,1209","-9.4","U,1230","0.0","U,0228","-2.8","U,0226","-6.1","U,0215","-7.8","U,0208","-10.0","U,0207","2299.4","","2299.4","U","14.00","U","19.03","U","8.98","U"
"USR0000DPRI","2011","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","837.4","","837.4","U","0","U","78","U","5","U","177","U","40","U","-10.6","U,0211,+","39.4","U,0722,","-0.6","U,1030","-2.8","U,1209","-4.4","U,1212","","","","","-0.6","U,0330","-2.2","U,0304","-4.4","U,0224","-10.6","U,0211","-10.6","U,0211","2429.1","","2429.1","U","14.50","U","19.68","U","9.31","U"
"USR0000DPRI","2012","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","780.5","","780.5","U","0","U","52","U","3","U","172","U","34","U","-9.4","U,0104,","39.4","U,0707,","0.0","U,1123","-2.2","U,1128","","","","","","","-2.2","U,0311","-2.2","U,0311","-6.1","U,0213","-9.4","U,0104","-9.4","U,0104","1947.6","","1947.6","U","14.89","U","19.72","U","10.06","U"
"USR0000DPRI","2013","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","732.8","","732.8","U","0","U","79","U","7","U","160","U","36","U","-11.7","U,0126,","36.7","U,0718,","0.0","U,1026","-3.3","U,1113","-5.0","U,1124","-6.7","U,1125","","","-2.2","U,0404","-2.2","U,0404","-4.4","U,0221","-9.4","U,0202","-9.4","U,0202","2333.5","","2333.5","U","13.57","U","18.43","U","8.71","U"
"USR0000DPRI","2014","38.8333","-75.3333","457.2","PRIME HOOK DELAWARE, DE US","","","","","1","U","80","U","15","U","174","U","20","U","-19.4","U,0130,","36.7","U,0702,+","-1.1","U,1108","-3.3","U,1115","-6.7","U,1119","-6.7","U,1119","","","-6.1","U,0327","-6.1","U,0327","-6.1","U,0327","-6.7","U,0314","-8.9","U,0303","","","","","12.89","U","18.01","U","7.77","U"
