"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GLOU","2005","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1192.1","","1192.1","U","0","U","49","U","0","U","244","U","83","U","-10.6","U,0124,","37.8","U,0727,+","0.0","U,1026","-3.3","U,1118","-6.1","U,1222","-6.7","U,1223","","","0.0","U,0310","-2.2","U,0309","-10.6","U,0124","-10.6","U,0124","-10.6","U,0124","","","","","17.94","U","24.68","U","11.21","U"
"USR0000GLOU","2006","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1228.7","","1228.7","U","0","U","47","U","0","U","256","U","104","U","-9.4","U,1209,","39.4","U,0728,","0.0","U,1014","-2.2","U,1104","-4.4","U,1205","-6.7","U,1208","-9.4","U,1209","-2.2","U,0327","-2.2","U,0327","-5.6","U,0210","","","","","1264.9","","1264.9","U","18.42","U","25.82","U","11.03","U"
"USR0000GLOU","2007","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1236.8","","1236.8","U","0","U","41","U","0","U","271","U","101","U","-7.2","U,0217,","41.7","U,0810,","-3.3","U,1107","-3.3","U,1107","-4.4","U,1108","","","","","-0.6","U,0409","-4.4","U,0408","-4.4","U,0408","-7.2","U,0217","","","1208.5","","1208.5","U","18.53","U","26.19","U","10.87","U"
"USR0000GLOU","2008","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1197.9","","1197.9","U","0","U","60","U","0","U","259","U","95","U","-9.4","U,0104,","39.4","U,0721,","-0.6","U,1028","-3.9","U,1118","-6.1","U,1119","-7.2","U,1122","","","-0.6","U,0416","-3.3","U,0325","-5.0","U,0228","-7.2","U,0121","-9.4","U,0104","1206.5","","1206.5","U","18.02","U","25.44","U","10.60","U"
"USR0000GLOU","2009","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1207.8","","1207.8","U","0","U","45","U","0","U","250","U","90","U","-10.0","U,0117,","38.9","U,0627,","-0.6","U,1128","-2.2","U,1206","","","","","","","-0.6","U,0408","-3.3","U,0305","-5.6","U,0304","-9.4","U,0205","-9.4","U,0205","1301.2","","1301.2","U","17.99","U","24.72","U","11.27","U"
"USR0000GLOU","2010","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1351.3","","1351.3","U","0","U","70","U","0","U","246","U","111","U","-8.3","U,1214,+","38.9","U,0709,+","-1.1","U,1107","-2.2","U,1202","-8.3","U,1208","-8.3","U,1208","","","-3.9","U,0307","-3.9","U,0307","-4.4","U,0217","-6.7","U,0111","","","1484.1","","1484.1","U","17.63","U","24.60","U","10.66","U"
"USR0000GLOU","2011","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1379.7","","1379.7","U","0","U","44","U","0","U","252","U","119","U","-8.9","U,0114,","38.9","U,0730,+","0.0","U,1030","-3.3","U,1112","","","","","","","-1.1","U,0312","-3.3","U,0213","-5.0","U,0123","-6.7","U,0115","-8.9","U,0114","1432.5","","1432.5","U","18.65","U","25.73","U","11.58","U"
"USR0000GLOU","2012","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1233.9","","1233.9","U","0","U","27","U","0","U","268","U","71","U","-7.8","U,0213,+","41.7","U,0630,","-0.6","U,1109","-3.3","U,1125","","","","","","","-0.6","U,0306","-7.8","U,0213","-7.8","U,0213","-7.8","U,0213","","","973.5","","973.5","U","18.87","U","25.54","U","12.20","U"
"USR0000GLOU","2014","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","","","","","","","","","2","U","238","U","99","U","","","37.2","U,0821,","","","","","","","","","","","","","","","","","","","","","1416.4","","1416.4","U","","","24.36","U","",""
"USR0000GLOU","2015","32.975","-82.3528","60.0","LOUISVILLE GEORGIA, GA US","1333.7","","1333.7","U","0","U","31","U","0","U","267","U","92","U","-9.4","U,0108,","38.3","U,0616,","0.0","U,1115","-2.2","U,1124","","","","","","","-1.1","U,0329","-2.2","U,0307","-8.3","U,0220","-8.3","U,0220","-9.4","U,0108","","","","","19.03","U","25.26","U","12.79","U"
