"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GMID","2006","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1289.1","","1289.1","U","0","U","26","U","0","U","278","U","82","U","-6.7","U,1209,","37.8","U,0803,","-0.6","U,1104","-2.2","U,1205","-5.6","U,1208","-6.7","U,1209","-0.6","U,0327","-2.2","U,0215","","","","","972.8","","972.8","U","19.30","U","26.08","U","12.51","U"
"USR0000GMID","2007","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1309.0","","1309.0","U","0","U","26","U","0","U","283","U","68","U","-5.6","U,0217,","37.8","U,0809,","-0.6","U,1108","-2.2","U,1117","","","","","-1.1","U,0409","-2.8","U,0408","-5.6","U,0217","","","942.5","","942.5","U","19.41","U","25.83","U","12.99","U"
"USR0000GMID","2008","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1251.3","","1251.3","U","0","U","37","U","0","U","270","U","65","U","-6.7","U,0104,","37.2","U,0807,+","0.0","U,1029","-2.2","U,1118","-4.4","U,1119","","","0.0","U,0326","-3.3","U,0228","-6.7","U,0104","-6.7","U,0104","897.3","","897.3","U","18.93","U","25.24","U","12.61","U"
"USR0000GMID","2009","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1288.6","","1288.6","U","0","U","29","U","0","U","270","U","67","U","-7.2","U,0206,+","36.7","U,0627,","-1.7","U,1221","","","","","","","-1.1","U,0305","-3.9","U,0304","-5.0","U,0221","-7.2","U,0206","1083.0","","1083.0","U","18.98","U","24.90","U","13.07","U"
"USR0000GMID","2010","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1432.8","","1432.8","U","0","U","63","U","0","U","261","U","101","U","-7.8","U,0111,+","38.3","U,0730,+","-0.6","U,1107","-3.3","U,1202","-5.0","U,1207","-7.2","U,1208","-1.7","U,0307","-3.3","U,0306","-4.4","U,0113","-7.8","U,0111","1174.0","","1174.0","U","18.61","U","25.32","U","11.89","U"
"USR0000GMID","2011","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1404.5","","1404.5","U","0","U","30","U","0","U","279","U","117","U","-8.3","U,0114,","38.3","U,0811,+","-0.6","U,1111","-2.8","U,1112","","","","","-1.7","U,0312","-2.8","U,0213","-4.4","U,0124","-6.7","U,0115","1149.1","","1149.1","U","19.53","U","26.56","U","12.49","U"
"USR0000GMID","2012","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1365.2","","1365.2","U","0","U","21","U","0","U","293","U","70","U","-7.2","U,0213,+","37.8","U,0725,","-0.6","U,1123","-2.2","U,1125","","","","","-1.1","U,0214","-7.2","U,0213","-7.2","U,0213","-7.2","U,0213","734.8","","734.8","U","19.94","U","26.29","U","13.59","U"
"USR0000GMID","2013","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1242.4","","1242.4","U","0","U","24","U","0","U","276","U","51","U","-4.4","U,0218,","36.1","U,0812,","-1.1","U,1113","-2.8","U,1128","","","","","-1.1","U,0327","-2.2","U,0304","-4.4","U,0218","","","927.7","","927.7","U","19.18","U","25.23","U","13.13","U"
"USR0000GMID","2014","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1330.4","","1330.4","U","0","U","33","U","1","U","265","U","87","U","-7.2","U,0107,","37.8","U,0823,+","-1.1","U,1103","-3.3","U,1118","-5.6","U,1119","","","-0.6","U,0326","-2.8","U,0228","-4.4","U,0125","-7.2","U,0107","1009.6","","1009.6","U","19.00","U","25.37","U","12.63","U"
"USR0000GMID","2015","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1531.1","","1531.1","U","0","U","24","U","0","U","287","U","82","U","-7.2","U,0220,","37.8","U,0617,+","-0.6","U,1124","","","","","","","0.0","U,0329","-2.2","U,0221","-7.2","U,0220","-7.2","U,0220","998.2","","998.2","U","20.38","U","26.32","U","14.43","U"
"USR0000GMID","2016","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1519.3","","1519.3","U","0","U","24","U","0","U","289","U","106","U","-4.4","U,0119,","37.8","U,0729,+","0.0","U,1120","-2.2","U,1210","","","","","-0.6","U,0228","-2.2","U,0211","-4.4","U,0119","","","707.1","","707.1","U","20.24","U","26.82","U","13.67","U"
"USR0000GMID","2017","31.7842","-81.4386","6.1","MIDWAY GEORGIA, GA US","1508.6","","1508.6","U","0","U","13","U","0","U","307","U","83","U","-3.3","U,0108,","36.7","U,0705,","0.0","U,1120","-2.2","U,1230","","","","","-2.2","U,0317","-2.2","U,0317","","","","","575.2","","575.2","U","20.61","U","26.86","U","14.35","U"
