"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GNEW","2004","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","974.0","","974.0","U","0","U","47","U","0","U","232","U","41","U","-9.4","U,1220,","36.1","U,0724,","0.0","U,1116","-2.2","U,1214","-6.7","U,1215","-6.7","U,1215","-9.4","U,1220","-2.8","U,0323","-2.8","U,0323","-7.8","U,0129","-7.8","U,0129","","","1526.8","","1526.8","U","16.91","U","22.94","U","10.89","U"
"USR0000GNEW","2005","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","993.1","","993.1","U","0","U","60","U","0","U","224","U","48","U","-10.6","U,0124,","36.7","U,0820,","0.0","U,1117","-2.8","U,1118","-5.6","U,1210","-7.2","U,1223","","","0.0","U,0425","-2.8","U,0304","-10.6","U,0124","-10.6","U,0124","-10.6","U,0124","1382.1","","1382.1","U","16.76","U","23.02","U","10.50","U"
"USR0000GNEW","2006","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1100.6","","1100.6","U","0","U","45","U","0","U","241","U","86","U","-9.4","U,1209,","38.9","U,0804,+","-0.6","U,1024","-3.3","U,1204","-4.4","U,1205","-7.8","U,1208","-9.4","U,1209","-1.1","U,0327","-2.8","U,0326","-5.0","U,0213","","","","","1455.3","","1455.3","U","17.43","U","24.35","U","10.52","U"
"USR0000GNEW","2007","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1128.6","","1128.6","U","0","U","50","U","0","U","249","U","77","U","-7.8","U,0217,+","40.6","U,0809,","-2.2","U,1107","-2.2","U,1107","-4.4","U,1217","","","","","0.0","U,0409","-2.8","U,0408","-6.1","U,0219","-7.8","U,0217","","","1461.5","","1461.5","U","17.51","U","24.36","U","10.67","U"
"USR0000GNEW","2008","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1458.6","","1458.6","","","","","","",""
"USR0000GNEW","2009","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1001.6","","1001.6","U","0","U","57","U","0","U","219","U","58","U","-10.6","U,0116,","37.8","U,0627,","0.0","U,1019","-3.3","U,1205","-4.4","U,1206","","","","","-2.8","U,0408","-2.8","U,0408","-5.6","U,0303","-8.3","U,0205","-8.9","U,0204","","","","","16.70","U","22.86","U","10.53","U"
"USR0000GNEW","2010","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1802.5","","1802.5","U","","","","","",""
"USR0000GNEW","2011","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1147.4","","1147.4","U","0","U","54","U","2","U","236","U","101","U","-8.3","U,0114,","39.4","U,0803,","-0.6","U,1021","-2.2","U,1111","","","","","","","0.0","U,0406","-3.9","U,0213","-4.4","U,0211","-6.7","U,0115","","","","","","","17.45","U","24.29","U","10.61","U"
"USR0000GNEW","2012","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1061.4","","1061.4","U","0","U","35","U","0","U","245","U","58","U","-8.9","U,0104,","41.1","U,0630,+","-0.6","U,1101","-3.9","U,1125","","","","","","","0.0","U,0215","-6.1","U,0213","-6.1","U,0213","-7.2","U,0212","-8.9","U,0104","1148.8","","1148.8","U","17.99","U","24.61","U","11.37","U"
"USR0000GNEW","2013","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","904.7","","904.7","U","0","U","59","U","0","U","213","U","42","U","-6.7","U,0217,","36.7","U,0612,","0.0","U,1025","-3.9","U,1113","-5.6","U,1114","","","","","0.0","U,0329","-3.9","U,0327","-5.0","U,0304","-6.7","U,0217","","","1486.4","","1486.4","U","16.48","U","22.47","U","10.49","U"
"USR0000GNEW","2015","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1107.3","","1107.3","U","0","U","55","U","1","U","246","U","72","U","-12.8","U,0108,","37.2","U,0805,+","-1.1","U,1115","-2.2","U,1124","","","","","","","-2.8","U,0329","-2.8","U,0329","-8.9","U,0220","-8.9","U,0220","-8.9","U,0220","1592.3","","1592.3","U","17.67","U","23.83","U","11.51","U"
"USR0000GNEW","2016","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1206.7","","1206.7","U","0","U","50","U","0","U","251","U","97","U","-8.3","U,0119,","40.0","U,0625,","-0.6","U,1111","-2.8","U,1127","-4.4","U,1209","","","","","-1.7","U,0322","-2.8","U,0227","-6.1","U,0211","-6.7","U,0210","","","1214.0","","1214.0","U","17.95","U","24.86","U","11.04","U"
"USR0000GNEW","2017","33.3653","-84.8594","236.2","NEWNAN GEORGIA, GA US","1038.3","","1038.3","U","0","U","42","U","1","U","251","U","56","U","-10.0","U,0108,","36.1","U,0721,","0.0","U,1029","-2.2","U,1030","-5.0","U,1210","","","","","-1.1","U,0317","-6.1","U,0316","-6.1","U,0316","-10.0","U,0108","-10.0","U,0108","1081.7","","1081.7","U","17.84","U","24.20","U","11.47","U"
