"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GWAS","2004","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","1005.6","","1005.6","U","0","U","62","U","1","U","234","U","48","U","-7.8","U,1220,+","36.1","U,0612,","-0.6","U,1114","-2.8","U,1115","-7.8","U,1215","-7.8","U,1215","","","-0.6","U,0324","-2.2","U,0323","-4.4","U,0208","-7.8","U,0108","","","1547.3","","1547.3","U","16.95","U","23.13","U","10.78","U"
"USR0000GWAS","2005","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","985.3","","985.3","U","0","U","48","U","1","U","223","U","46","U","-11.1","U,0124,","37.2","U,0726,","-0.6","U,1111","-5.0","U,1118","-5.0","U,1118","","","","","-0.6","U,0319","-3.3","U,0304","-11.1","U,0124","-11.1","U,0124","-11.1","U,0124","1472.5","","1472.5","U","16.75","U","22.79","U","10.70","U"
"USR0000GWAS","2006","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1485.6","","1485.6","U","","","","","",""
"USR0000GWAS","2008","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","990.0","","990.0","U","0","U","45","U","0","U","214","U","69","U","-10.0","U,0103,","38.9","U,0806,","0.0","U,1031","-3.9","U,1118","-6.7","U,1119","-6.7","U,1119","","","-3.3","U,0325","-3.3","U,0325","-4.4","U,0228","-7.8","U,0121","-10.0","U,0103","1426.9","","1426.9","U","16.78","U","23.22","U","10.33","U"
"USR0000GWAS","2010","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","1182.5","","1182.5","U","0","U","73","U","0","U","230","U","89","U","-9.4","U,1214,+","37.2","U,0723,+","-0.6","U,1106","-2.8","U,1107","-4.4","U,1207","-8.9","U,1208","-8.9","U,1208","-3.9","U,0307","-3.9","U,0307","-4.4","U,0306","-6.7","U,0113","-9.4","U,0111","1775.7","","1775.7","U","16.51","U","23.06","U","9.96","U"
"USR0000GWAS","2011","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1657.4","","1657.4","U","","","","","",""
"USR0000GWAS","2012","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","1085.1","","1085.1","U","0","U","28","U","0","U","239","U","50","U","-7.8","U,0104,","42.8","U,0630,","-1.7","U,1125","-2.2","U,1231","","","","","","","-1.1","U,0306","-5.6","U,0213","-5.6","U,0213","-6.7","U,0212","","","","","","","18.11","U","24.15","U","12.08","U"
"USR0000GWAS","2013","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","928.9","","928.9","U","0","U","48","U","0","U","214","U","29","U","-5.6","U,1128,+","35.0","U,0612,","-1.1","U,1026","-3.3","U,1113","-4.4","U,1114","","","","","-0.6","U,0329","-3.3","U,0307","-5.0","U,0218","","","","","1444.2","","1444.2","U","16.67","U","22.40","U","10.95","U"
"USR0000GWAS","2014","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","1061.6","","1061.6","U","0","U","55","U","2","U","228","U","60","U","-13.3","U,0107,","36.7","U,0823,+","0.0","U,1023","-3.3","U,1115","-6.7","U,1119","-6.7","U,1119","","","0.0","U,0416","-2.2","U,0326","-6.7","U,0131","-6.7","U,0131","-11.1","U,0130","1635.5","","1635.5","U","16.69","U","22.92","U","10.47","U"
"USR0000GWAS","2015","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","1149.8","","1149.8","U","0","U","39","U","1","U","241","U","70","U","-11.1","U,0220,+","38.3","U,0730,","-1.7","U,1123","-2.2","U,1219","","","","","","","-2.2","U,0329","-2.2","U,0329","-11.1","U,0220","-11.1","U,0220","-11.1","U,0220","1530.1","","1530.1","U","17.90","U","23.77","U","12.03","U"
"USR0000GWAS","2016","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","1348.4","","1348.4","U","0","U","43","U","0","U","247","U","105","U","-6.7","U,0119,","37.8","U,0625,","-0.6","U,1121","-2.2","U,1209","","","","","","","-0.6","U,0228","-2.8","U,0214","-4.4","U,0211","-6.7","U,0119","","","1158.2","","1158.2","U","18.45","U","24.86","U","12.04","U"
"USR0000GWAS","2017","33.7806","-82.8161","180.7","WASHINGTON GEORGIA, GA US","1148.3","","1148.3","U","0","U","30","U","0","U","257","U","62","U","-6.7","U,0316,+","36.1","U,0720,","-1.1","U,1120","-2.2","U,1210","","","","","","","-1.7","U,0317","-6.7","U,0316","-6.7","U,0316","-6.7","U,0316","","","1027.6","","1027.6","U","18.39","U","24.44","U","12.33","U"
