"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000GWAY","2005","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1407.5","","1407.5","U","0","U","12","U","0","U","267","U","80","U","-6.7","U,0124,","37.2","U,0918,+","-1.1","U,1203","-2.2","U,1222","","","-0.6","U,0302","-6.7","U,0124","-6.7","U,0124","-6.7","U,0124","876.1","","876.1","U","19.61","U","25.37","U","13.84","U"
"USR0000GWAY","2006","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1441.0","","1441.0","U","0","U","18","U","0","U","285","U","99","U","-3.9","U,1209,","38.3","U,0716,","-2.2","U,1205","-2.2","U,1205","","","0.0","U,0327","-3.3","U,0214","","","","","870.7","","870.7","U","20.06","U","26.50","U","13.62","U"
"USR0000GWAY","2007","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817.6","","817.6","U","","","","","",""
"USR0000GWAY","2009","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1434.9","","1434.9","U","0","U","25","U","0","U","280","U","81","U","-6.7","U,0205,","36.7","U,0811,+","0.0","U,1206","","","","","-2.2","U,0304","-2.2","U,0304","-5.6","U,0206","-6.7","U,0205","942.2","","942.2","U","19.66","U","25.54","U","13.77","U"
"USR0000GWAY","2010","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1547.5","","1547.5","U","0","U","53","U","0","U","256","U","120","U","-8.3","U,0111,","38.3","U,0730,+","-0.6","U,1108","-2.2","U,1202","-4.4","U,1208","-1.1","U,0307","-2.8","U,0306","-4.4","U,0113","-8.3","U,0111","1110.3","","1110.3","U","19.09","U","25.62","U","12.57","U"
"USR0000GWAY","2011","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1516.4","","1516.4","U","0","U","20","U","0","U","288","U","121","U","-7.2","U,0114,","38.9","U,0615,","-1.7","U,1112","","","","","0.0","U,0312","-2.2","U,0213","-5.6","U,0123","-7.2","U,0114","1044.6","","1044.6","U","20.10","U","26.77","U","13.42","U"
"USR0000GWAY","2012","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1421.8","","1421.8","U","0","U","14","U","0","U","298","U","70","U","-6.7","U,0213,","37.8","U,0725,","-1.7","U,1125","","","","","-6.7","U,0213","-6.7","U,0213","-6.7","U,0213","-6.7","U,0213","658.3","","658.3","U","20.30","U","26.28","U","14.32","U"
"USR0000GWAY","2013","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1364.6","","1364.6","U","0","U","14","U","0","U","273","U","73","U","-3.9","U,0218,","35.6","U,0830,+","-0.6","U,1113","-2.2","U,1128","","","-1.7","U,0304","-3.9","U,0218","","","","","845.7","","845.7","U","19.78","U","25.58","U","13.98","U"
"USR0000GWAY","2014","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1412.7","","1412.7","U","0","U","26","U","1","U","262","U","102","U","-7.2","U,0107,","37.8","U,0823,","-0.6","U,1103","-3.9","U,1119","","","0.0","U,0314","-2.8","U,0123","-4.4","U,0108","-7.2","U,0107","924.7","","924.7","U","19.37","U","25.49","U","13.26","U"
"USR0000GWAY","2015","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1647.4","","1647.4","U","0","U","15","U","0","U","290","U","91","U","-5.0","U,0220,","37.8","U,0616,","0.0","U,1124","","","","","-1.7","U,0221","-5.0","U,0220","-5.0","U,0220","","","896.7","","896.7","U","20.91","U","26.69","U","15.13","U"
"USR0000GWAY","2016","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","1621.6","","1621.6","U","0","U","17","U","0","U","300","U","112","U","-3.3","U,0124,+","37.8","U,0730,+","0.0","U,1121","","","","","-0.6","U,0227","-2.8","U,0211","","","","","603.2","","603.2","U","20.73","U","27.17","U","14.29","U"
"USR0000GWAY","2017","31.11","-82.26","38.1","WAYCROSS GEORGIA, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516.7","","516.7","U","","","","","",""
