"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000IKRI","1991","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","","","","","","","","","65","U","113","U","22","U","","","35.0","U,0808,","","","","","","","","","","","","","","","","","","","","","","","","","","","12.56","U","",""
"USR0000IKRI","1992","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","182.3","","182.3","U","3","U","146","U","66","U","113","U","10","U","-23.3","U,1205,","35.6","U,0814,","0.0","U,0824","-3.3","U,1103","-5.0","U,1104","-6.7","U,1111","-9.4","U,1123","-1.7","U,0424","-2.2","U,0423","-7.8","U,0407","-7.8","U,0407","-10.6","U,0207","","","","","7.74","U","13.10","U","2.38","U"
"USR0000IKRI","1994","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","240.7","","240.7","U","0","U","167","U","70","U","124","U","14","U","-16.1","U,1231,","35.0","U,0721,","-0.6","U,1003","-3.3","U,1029","-5.6","U,1030","-6.7","U,1102","-10.0","U,1108","-0.6","U,0615","-3.3","U,0429","-5.6","U,0325","-10.0","U,0324","-10.0","U,0324","4307.3","","4307.3","U","7.54","U","13.06","U","2.02","U"
"USR0000IKRI","1995","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","130.2","","130.2","U","6","U","163","U","45","U","89","U","3","U","-21.7","U,0104,","34.4","U,0728,","-1.7","U,0921","-3.9","U,1023","-6.7","U,1031","-6.7","U,1031","-11.1","U,1101","-0.6","U,0607","-4.4","U,0416","-4.4","U,0416","-6.7","U,0415","-8.9","U,0307","4357.8","","4357.8","U","6.70","U","11.59","U","1.80","U"
"USR0000IKRI","1996","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","228.2","","228.2","U","7","U","171","U","60","U","107","U","15","U","-25.0","U,0202,","35.0","U,0811,+","-2.8","U,0923","-2.8","U,0923","-6.7","U,1017","-6.7","U,1017","-10.0","U,1130","-0.6","U,0506","-2.8","U,0505","-5.0","U,0329","-7.2","U,0328","-15.0","U,0325","4403.1","","4403.1","U","6.83","U","12.05","U","1.60","U"
"USR0000IKRI","1997","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","117.7","","117.7","U","4","U","163","U","72","U","102","U","3","U","-23.3","U,0112,","34.4","U,0803,","-1.1","U,1006","-2.8","U,1012","-6.1","U,1025","-7.8","U,1112","-9.4","U,1115","-2.2","U,0502","-2.2","U,0502","-8.3","U,0412","-8.3","U,0412","-10.6","U,0411","4318.8","","4318.8","U","6.37","U","11.55","U","1.19","U"
"USR0000IKRI","1998","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","271.9","","271.9","U","6","U","158","U","54","U","100","U","23","U","-26.7","U,1221,+","36.1","U,0717,","0.0","U,1004","-3.3","U,1017","-4.4","U,1109","-7.8","U,1204","-10.6","U,1205","-1.7","U,0426","-2.2","U,0418","-7.2","U,0309","-7.2","U,0309","-9.4","U,0308","4299.5","","4299.5","U","7.41","U","12.47","U","2.35","U"
"USR0000IKRI","1999","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","185.7","","185.7","U","0","U","168","U","58","U","102","U","11","U","-16.1","U,0125,","36.1","U,0728,","0.0","U,0926","-3.9","U,0928","-5.6","U,1016","-7.2","U,1122","-10.6","U,1123","-1.1","U,0609","-2.8","U,0511","-8.3","U,0410","-8.3","U,0410","-8.9","U,0328","4194.6","","4194.6","U","7.31","U","12.78","U","1.85","U"
"USR0000IKRI","2000","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","237.0","","237.0","U","0","U","169","U","74","U","99","U","12","U","-16.7","U,1212,","36.1","U,0730,","-1.7","U,0921","-3.3","U,0922","-5.6","U,1102","-7.2","U,1107","-12.2","U,1109","0.0","U,0601","-2.2","U,0403","-5.6","U,0324","-6.7","U,0321","-11.7","U,0219","3960.3","","3960.3","U","7.00","U","12.20","U","1.79","U"
"USR0000IKRI","2001","45.3556","-113.8933","1585.0","KRILEY CREEK IDAHO, ID US","296.5","","296.5","U","5","U","162","U","72","U","124","U","18","U","-18.9","U,1226,+","36.7","U,0807,","-2.2","U,1005","-2.2","U,1005","-4.4","U,1108","-8.9","U,1127","-8.9","U,1127","-0.6","U,0613","-2.8","U,0502","-4.4","U,0414","-7.2","U,0315","-12.8","U,0301","4610.8","","4610.8","U","7.42","U","12.90","U","1.93","U"
