"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000KSOM","2003","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","","","","","0","U","72","U","","","","","","","-17.2","U,0127,+","","","-1.7","U,1113","-2.8","U,1114","-5.6","U,1125","-8.3","U,1220","","","-1.1","U,0311","-5.6","U,0310","-5.6","U,0310","-7.2","U,0213","-11.1","U,0208","","","","","","","","","8.41","U"
"USR0000KSOM","2006","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","658.0","","658.0","U","0","U","80","U","2","U","183","U","30","U","-12.8","U,0219,","36.1","U,0807,","-0.6","U,1012","-2.2","U,1025","-5.6","U,1103","-7.2","U,1204","-10.0","U,1207","0.0","U,0410","-2.8","U,0327","-4.4","U,0322","-7.8","U,0227","-12.8","U,0219","","","","","14.27","U","20.04","U","8.50","U"
"USR0000KSOM","2007","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","899.9","","899.9","U","0","U","88","U","9","U","205","U","49","U","-13.3","U,0131,","38.3","U,0823,+","-0.6","U,1029","-3.3","U,1107","-5.0","U,1130","","","","","-2.2","U,0413","-2.2","U,0413","-5.0","U,0409","-8.3","U,0219","-11.7","U,0216","2190.8","","2190.8","U","14.93","U","21.12","U","8.74","U"
"USR0000KSOM","2008","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","682.3","","682.3","U","0","U","85","U","10","U","185","U","30","U","-14.4","U,1222,","35.6","U,0721,","-2.2","U,1029","-2.2","U,1029","-5.6","U,1118","-7.2","U,1119","-10.0","U,1122","-0.6","U,0416","-5.0","U,0325","-5.0","U,0325","-11.1","U,0309","-11.1","U,0309","2086.4","","2086.4","U","13.69","U","19.65","U","7.73","U"
"USR0000KSOM","2009","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","632.6","","632.6","U","0","U","78","U","8","U","184","U","7","U","-16.7","U,0116,","32.8","U,0809,+","-0.6","U,1018","-2.8","U,1128","-6.1","U,1205","-7.8","U,1206","-9.4","U,1211","-0.6","U,0408","-2.2","U,0321","-10.6","U,0303","-10.6","U,0303","-10.6","U,0303","2297.7","","2297.7","U","13.71","U","19.14","U","8.27","U"
"USR0000KSOM","2010","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","900.2","","900.2","U","0","U","91","U","31","U","196","U","49","U","-15.0","U,1215,","36.7","U,0708,+","-1.1","U,1030","-3.9","U,1107","-4.4","U,1128","-6.7","U,1206","-9.4","U,1207","-1.7","U,0327","-5.6","U,0307","-5.6","U,0307","-7.2","U,0305","-8.9","U,0210","2444.0","","2444.0","U","13.78","U","19.53","U","8.03","U"
"USR0000KSOM","2013","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","672.7","","672.7","U","0","U","95","U","4","U","180","U","9","U","-10.0","U,0201,+","34.4","U,0716,","-2.8","U,1025","-2.8","U,1025","-7.2","U,1113","-7.2","U,1113","","","0.0","U,0403","-2.8","U,0402","-4.4","U,0328","-7.2","U,0322","-10.0","U,0201","2286.3","","2286.3","U","13.62","U","18.98","U","8.26","U"
"USR0000KSOM","2014","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2419.0","","2419.0","U","","","","","",""
"USR0000KSOM","2015","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","723.6","","723.6","U","2","U","80","U","15","U","192","U","23","U","-25.6","U,0220,","33.9","U,0903,","0.0","U,1018","-3.3","U,1114","-5.0","U,1122","-7.2","U,1123","","","0.0","U,0424","-6.7","U,0329","-6.7","U,0329","-6.7","U,0329","-16.1","U,0306","","","","","14.33","U","20.08","U","8.58","U"
"USR0000KSOM","2016","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","912.8","","912.8","U","0","U","78","U","13","U","206","U","51","U","-13.9","U,0118,","35.6","U,0827,","0.0","U,1112","-2.2","U,1113","-6.1","U,1121","-7.8","U,1209","-10.6","U,1210","0.0","U,0410","-2.8","U,0321","-8.3","U,0214","-8.3","U,0214","-8.9","U,0213","1934.9","","1934.9","U","15.13","U","21.04","U","9.22","U"
"USR0000KSOM","2017","37.0556","-84.615","282.5","SOMERSET KENTUCKY, KY US","","","","","0","U","67","U","9","U","205","U","16","U","-12.8","U,0108,","34.4","U,0721,","-0.6","U,1029","-2.2","U,1111","-5.0","U,1120","-7.8","U,1213","-10.6","U,1227","0.0","U,0320","-3.3","U,0317","-8.3","U,0316","-8.3","U,0316","-10.6","U,0204","","","","","15.02","U","20.72","U","9.31","U"
