"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000KYEL","2003","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","581.6","","581.6","U","0","U","81","U","11","U","190","U","10","U","-17.2","U,0118,","33.3","U,0827,+","0.0","U,1003","-3.3","U,1114","-5.0","U,1125","-9.4","U,1220","-9.4","U,1220","-1.1","U,0311","-2.2","U,0310","-7.8","U,0213","-7.8","U,0213","-10.0","U,0209","2267.6","","2267.6","U","13.73","U","19.42","U","8.05","U"
"USR0000KYEL","2004","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2165.1","","2165.1","U","","","","","",""
"USR0000KYEL","2006","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","601.6","","601.6","U","0","U","90","U","2","U","180","U","32","U","-12.8","U,1209,+","35.0","U,0802,+","-1.1","U,1012","-2.2","U,1014","-5.0","U,1103","-6.7","U,1204","-12.8","U,1208","-0.6","U,0410","-4.4","U,0327","-4.4","U,0327","-6.7","U,0304","-10.6","U,0219","2188.2","","2188.2","U","13.98","U","20.25","U","7.70","U"
"USR0000KYEL","2007","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","786.8","","786.8","U","0","U","95","U","7","U","209","U","59","U","-12.2","U,0129,","37.8","U,0822,+","-1.1","U,1029","-2.2","U,1104","-5.0","U,1123","-6.7","U,1124","","","-1.7","U,0413","-2.8","U,0410","-4.4","U,0409","-7.2","U,0408","-9.4","U,0215","2209.6","","2209.6","U","14.71","U","21.71","U","7.70","U"
"USR0000KYEL","2008","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","588.4","","588.4","U","0","U","101","U","8","U","188","U","41","U","-13.9","U,0125,","35.0","U,0721,+","0.0","U,1020","-3.3","U,1029","-6.1","U,1118","-8.3","U,1119","-10.6","U,1122","-0.6","U,0430","-6.1","U,0325","-6.1","U,0325","-8.9","U,0309","-8.9","U,0309","2136.7","","2136.7","U","13.40","U","20.10","U","6.70","U"
"USR0000KYEL","2009","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","562.8","","562.8","U","0","U","83","U","8","U","184","U","9","U","-16.1","U,0117,+","32.8","U,0627,+","-0.6","U,1018","-3.9","U,1128","-5.6","U,1205","-8.3","U,1206","-8.9","U,1211","0.0","U,0412","-3.3","U,0321","-5.0","U,0304","-11.7","U,0303","-11.7","U,0303","2387.1","","2387.1","U","13.44","U","19.36","U","7.52","U"
"USR0000KYEL","2010","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2463.7","","2463.7","U","","","","","",""
"USR0000KYEL","2012","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","707.3","","707.3","U","0","U","81","U","3","U","201","U","42","U","-9.4","U,0104,+","41.1","U,0629,","-1.7","U,1103","-2.2","U,1105","-5.6","U,1114","-6.7","U,1125","","","-0.6","U,0413","-2.8","U,0412","-4.4","U,0306","-8.9","U,0213","-8.9","U,0213","","","","","14.77","U","21.35","U","8.19","U"
"USR0000KYEL","2014","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","612.3","","612.3","U","4","U","104","U","11","U","182","U","14","U","-21.1","U,0129,","33.3","U,0829,","-3.3","U,1102","-3.3","U,1102","-8.3","U,1114","-8.3","U,1114","-9.4","U,1115","-0.6","U,0417","-3.9","U,0416","-4.4","U,0327","-6.7","U,0326","-8.9","U,0228","2472.2","","2472.2","U","13.01","U","19.27","U","6.74","U"
"USR0000KYEL","2015","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","710.6","","710.6","U","2","U","80","U","9","U","200","U","29","U","-23.3","U,0220,","35.0","U,0617,","-0.6","U,1018","-3.3","U,1114","-6.7","U,1123","-6.7","U,1123","","","-1.1","U,0424","-2.2","U,0405","-7.2","U,0329","-7.2","U,0329","-12.2","U,0306","2445.7","","2445.7","U","14.39","U","20.53","U","8.26","U"
"USR0000KYEL","2016","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","827.1","","827.1","U","0","U","85","U","8","U","212","U","52","U","-14.4","U,0124,","35.6","U,0727,","0.0","U,1110","-2.2","U,1111","-6.7","U,1121","-6.7","U,1121","-8.9","U,1209","-1.1","U,0413","-3.3","U,0410","-10.6","U,0214","-10.6","U,0214","-10.6","U,0214","1872.2","","1872.2","U","14.73","U","21.32","U","8.14","U"
"USR0000KYEL","2017","36.6036","-83.6961","332.2","YELLOW CREEK KENTUCKY, KY US","621.4","","621.4","U","0","U","87","U","7","U","207","U","15","U","-12.2","U,0108,","34.4","U,0722,+","0.0","U,1026","-2.8","U,1030","-4.4","U,1120","-8.3","U,1213","-9.4","U,1227","0.0","U,0409","-2.2","U,0320","-6.1","U,0317","-10.0","U,0316","-10.0","U,0316","1856.7","","1856.7","U","14.52","U","20.76","U","8.29","U"
