"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000LBBR","2003","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1379.7","","1379.7","U","0","U","33","U","0","U","267","U","68","U","-6.7","U,0124,","35.6","U,0623,","-1.1","U,1124","-2.8","U,1125","","","-1.1","U,0218","-5.0","U,0125","-5.0","U,0125","-6.7","U,0124","","","","","","","19.30","U","25.28","U","13.31","U"
"USR0000LBBR","2004","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","978.3","","978.3","U","","","","","",""
"USR0000LBBR","2005","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1440.7","","1440.7","U","0","U","19","U","0","U","274","U","108","U","-4.4","U,0124,","36.1","U,0921,+","-0.6","U,1117","-2.2","U,1118","","","-0.6","U,0318","-4.4","U,0124","-4.4","U,0124","","","","","","","","","19.79","U","25.94","U","13.64","U"
"USR0000LBBR","2007","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1414.1","","1414.1","U","0","U","19","U","0","U","280","U","78","U","-4.4","U,0129,","40.0","U,0811,","-0.6","U,1116","-2.8","U,1217","","","-0.6","U,0306","-2.8","U,0305","-4.4","U,0129","","","","","927.0","","927.0","U","19.80","U","25.70","U","13.89","U"
"USR0000LBBR","2008","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1381.0","","1381.0","U","0","U","33","U","0","U","278","U","78","U","-6.1","U,0103,","35.6","U,0818,+","-0.6","U,1028","-2.8","U,1122","","","0.0","U,0415","-3.9","U,0121","-6.1","U,0103","","","","","838.7","","838.7","U","19.47","U","25.50","U","13.45","U"
"USR0000LBBR","2010","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1486.8","","1486.8","U","0","U","51","U","0","U","256","U","93","U","-8.9","U,0111,","37.8","U,0731,","-0.6","U,1106","-2.8","U,1206","-4.4","U,1207","0.0","U,0306","-3.9","U,0225","-4.4","U,0113","-8.9","U,0111","-8.9","U,0111","1243.4","","1243.4","U","18.86","U","24.93","U","12.79","U"
"USR0000LBBR","2011","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028.0","","1028.0","U","","","","","",""
"USR0000LBBR","2012","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1472.6","","1472.6","U","0","U","13","U","0","U","295","U","70","U","-4.4","U,0114,+","36.7","U,0625,","-1.1","U,1125","-2.8","U,1222","","","-2.2","U,0212","-2.2","U,0212","-4.4","U,0114","","","","","","","","","20.50","U","26.43","U","14.57","U"
"USR0000LBBR","2013","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916.4","","916.4","","","","","","",""
"USR0000LBBR","2014","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1337.5","","1337.5","U","0","U","34","U","0","U","259","U","73","U","-9.4","U,0107,","36.7","U,0824,","-0.6","U,1102","-2.8","U,1114","-4.4","U,1119","-0.6","U,0304","-2.2","U,0131","-8.9","U,0130","-8.9","U,0130","-8.9","U,0130","","","","","18.90","U","24.99","U","12.80","U"
"USR0000LBBR","2015","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1569.2","","1569.2","U","0","U","25","U","0","U","290","U","85","U","-6.7","U,0108,","37.8","U,0809,","0.0","U,1122","","","","","-2.2","U,0307","-2.2","U,0307","-6.7","U,0108","-6.7","U,0108","","","932.4","","932.4","U","20.50","U","26.16","U","14.84","U"
"USR0000LBBR","2016","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","1566.9","","1566.9","U","0","U","22","U","0","U","291","U","85","U","-3.9","U,0124,","35.6","U,0903,+","-1.1","U,1121","-2.8","U,1210","","","0.0","U,0321","-2.8","U,0210","","","","","","","660.9","","660.9","U","20.58","U","26.38","U","14.78","U"
"USR0000LBBR","2017","30.3167","-89.9333","3.4","BIG BRANCH NWR LOUISIANA, LA US","","","","","","","","","0","U","299","U","69","U","","","36.1","U,0720,","","","","","","","","","","","","","","","","","539.5","","539.5","U","","","26.27","U","",""
