"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000LCAN","2003","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1092.3","","1092.3","U","0","U","62","U","0","U","250","U","66","U","-7.2","U,0124,+","37.8","U,0718,","-4.4","U,1124","-4.4","U,1124","-4.4","U,1124","","","","","-0.6","U,0410","-3.3","U,0211","-4.4","U,0205","-7.2","U,0124","","","1522.1","","1522.1","U","17.29","U","23.70","U","10.88","U"
"USR0000LCAN","2005","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1266.4","","1266.4","U","0","U","58","U","0","U","254","U","115","U","-8.3","U,1206,","39.4","U,0821,","-0.6","U,1024","-2.2","U,1029","-5.6","U,1117","-8.3","U,1206","","","-1.7","U,0318","-2.2","U,0310","-6.7","U,0124","-6.7","U,0124","","","","","","","18.02","U","25.36","U","10.69","U"
"USR0000LCAN","2006","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1154.1","","1154.1","U","0","U","39","U","1","U","248","U","93","U","-7.2","U,0213,","40.0","U,0817,+","-0.6","U,1208","-2.2","U,1223","-4.4","U,1227","","","","","-3.3","U,0325","-3.3","U,0325","-5.0","U,0219","-7.2","U,0213","","","1357.1","","1357.1","U","17.92","U","25.13","U","10.71","U"
"USR0000LCAN","2007","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1133.1","","1133.1","U","0","U","65","U","1","U","257","U","64","U","-8.3","U,0203,+","38.3","U,0814,+","-1.1","U,1106","-2.8","U,1107","-4.4","U,1116","-6.7","U,1224","","","0.0","U,0416","-5.0","U,0305","-5.0","U,0305","-6.7","U,0218","","","1370.2","","1370.2","U","17.64","U","24.50","U","10.79","U"
"USR0000LCAN","2008","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1414.2","","1414.2","U","","","","","",""
"USR0000LCAN","2010","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1478.7","","1478.7","U","0","U","66","U","1","U","239","U","128","U","-12.2","U,0109,","40.6","U,0815,+","-2.2","U,1030","-2.2","U,1030","-4.4","U,1206","-6.7","U,1207","-9.4","U,1227","0.0","U,0306","-3.9","U,0304","-6.7","U,0225","-6.7","U,0225","-10.0","U,0111","","","","","17.96","U","25.33","U","10.59","U"
"USR0000LCAN","2011","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","","","","","0","U","61","U","","","","","","","-9.4","U,0211,+","","","-1.7","U,1020","-2.2","U,1117","-4.4","U,1118","-6.7","U,1208","","","0.0","U,0405","-2.2","U,0311","-6.7","U,0212","-6.7","U,0212","-9.4","U,0211","1402.2","","1402.2","U","","","","","11.23","U"
"USR0000LCAN","2012","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1338.8","","1338.8","U","0","U","52","U","0","U","269","U","94","U","-8.3","U,0103,","39.4","U,0730,+","0.0","U,1028","-3.3","U,1113","-4.4","U,1211","-6.7","U,1212","","","-1.7","U,0304","-3.3","U,0225","-6.7","U,0212","-6.7","U,0212","","","","","","","18.91","U","26.07","U","11.76","U"
"USR0000LCAN","2014","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1125.9","","1125.9","U","0","U","77","U","2","U","237","U","71","U","-12.8","U,0107,","37.2","U,0713,","-0.6","U,1101","-3.9","U,1113","-5.0","U,1114","-6.7","U,1118","","","0.0","U,0416","-2.2","U,0313","-5.0","U,0304","-8.3","U,0227","-11.1","U,0129","1730.9","","1730.9","U","16.85","U","23.50","U","10.20","U"
"USR0000LCAN","2015","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1365.6","","1365.6","U","0","U","52","U","0","U","254","U","109","U","-11.1","U,0108,","41.7","U,0810,","-2.2","U,1122","-2.2","U,1122","","","","","","","-6.1","U,0307","-6.1","U,0307","-6.1","U,0307","-8.3","U,0306","-11.1","U,0108","1465.7","","1465.7","U","18.59","U","25.43","U","11.74","U"
"USR0000LCAN","2016","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1378.5","","1378.5","U","0","U","47","U","0","U","267","U","103","U","-6.7","U,1219,","38.9","U,0805,","-0.6","U,1113","-3.3","U,1120","-6.7","U,1219","-6.7","U,1219","","","-2.2","U,0321","-2.2","U,0321","-4.4","U,0210","","","","","1028.2","","1028.2","U","19.09","U","25.85","U","12.33","U"
"USR0000LCAN","2017","32.8042","-93.0667","70.1","CANEY FTS LOUISIANA, LA US","1301.3","","1301.3","U","0","U","41","U","0","U","282","U","80","U","-10.0","U,0108,","37.8","U,0819,","-0.6","U,1028","-2.8","U,1029","-5.0","U,1208","-7.2","U,1209","","","-1.7","U,0314","-3.3","U,0128","-4.4","U,0109","-10.0","U,0108","-10.0","U,0108","906.4","","906.4","U","19.09","U","25.72","U","12.47","U"
