"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MBAL","2004","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","185.5","","185.5","U","15","U","151","U","51","U","125","U","0","U","-24.4","U,0216,+","31.7","U,0712,+","-0.6","U,0929","-2.2","U,1004","-4.4","U,1005","-6.7","U,1109","-8.9","U,1112","-1.1","U,0505","-2.8","U,0504","-4.4","U,0503","-7.2","U,0412","-8.9","U,0405","","","","","7.88","U","13.91","U","1.86","U"
"USR0000MBAL","2005","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","363.8","","363.8","U","12","U","168","U","63","U","144","U","23","U","-27.8","U,0127,","37.2","U,0629,+","-1.1","U,1008","-2.2","U,1009","-4.4","U,1028","-8.3","U,1117","-12.2","U,1124","-0.6","U,0517","-2.2","U,0505","-5.6","U,0504","-7.2","U,0327","-8.9","U,0326","3911.1","","3911.1","U","8.41","U","14.66","U","2.15","U"
"USR0000MBAL","2006","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","242.5","","242.5","U","3","U","158","U","28","U","130","U","10","U","-18.9","U,0218,","36.1","U,0731,","0.0","U,0928","-5.0","U,1015","-5.0","U,1015","-7.8","U,1101","-12.8","U,1204","-1.1","U,0523","-2.8","U,0506","-4.4","U,0426","-6.7","U,0409","-8.9","U,0320","3735.2","","3735.2","U","8.61","U","14.56","U","2.67","U"
"USR0000MBAL","2008","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","177.1","","177.1","U","15","U","170","U","59","U","137","U","3","U","-26.1","U,0211,","34.4","U,0902,+","-1.1","U,1003","-2.2","U,1004","-5.6","U,1022","-10.0","U,1117","-10.0","U,1117","-1.1","U,0529","-2.8","U,0528","-6.1","U,0430","-6.7","U,0415","-8.9","U,0402","","","","","7.23","U","13.48","U","0.98","U"
"USR0000MBAL","2009","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","117.7","","117.7","U","23","U","169","U","63","U","120","U","2","U","-27.8","U,0120,","36.1","U,0624,","-0.6","U,0930","-2.2","U,1001","-5.0","U,1011","-6.7","U,1111","-9.4","U,1208","0.0","U,0604","-2.2","U,0517","-5.0","U,0423","-8.3","U,0412","-11.7","U,0320","4264.4","","4264.4","U","6.85","U","12.99","U","0.72","U"
"USR0000MBAL","2010","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","353.6","","353.6","U","5","U","166","U","58","U","129","U","9","U","-23.9","U,1216,","34.4","U,0524,","-0.6","U,1003","-2.8","U,1004","-5.6","U,1101","-7.2","U,1124","-10.6","U,1208","-3.3","U,0510","-3.3","U,0510","-5.6","U,0330","-6.7","U,0327","-11.7","U,0326","3747.5","","3747.5","U","8.87","U","14.85","U","2.88","U"
"USR0000MBAL","2011","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","251.6","","251.6","U","15","U","173","U","51","U","125","U","7","U","-29.4","U,0123,","34.4","U,0720,+","0.0","U,0906","-4.4","U,1002","-4.4","U,1002","-6.7","U,1028","-13.3","U,1209","-0.6","U,0527","-4.4","U,0505","-4.4","U,0505","-7.8","U,0401","-10.0","U,0331","4187.2","","4187.2","U","7.55","U","13.66","U","1.44","U"
"USR0000MBAL","2012","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","290.6","","290.6","U","2","U","168","U","33","U","135","U","19","U","-18.9","U,0120,","36.1","U,0706,+","-0.6","U,0919","-2.2","U,0924","-4.4","U,1007","-6.7","U,1008","-10.6","U,1222","0.0","U,0522","-3.3","U,0510","-5.6","U,0429","-7.2","U,0427","-9.4","U,0309","3570.9","","3570.9","U","8.91","U","15.47","U","2.34","U"
"USR0000MBAL","2013","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","226.6","","226.6","U","15","U","174","U","73","U","138","U","8","U","-24.4","U,0217,+","34.4","U,0717,+","-2.2","U,0914","-2.2","U,0914","-5.6","U,1029","-8.9","U,1112","-8.9","U,1112","0.0","U,0603","-6.7","U,0513","-6.7","U,0513","-6.7","U,0513","-10.6","U,0421","4203.9","","4203.9","U","6.72","U","12.92","U","0.52","U"
"USR0000MBAL","2014","43.8933","-85.8506","253.6","BALDWIN MICHIGAN, MI US","128.0","","128.0","U","33","U","178","U","91","U","120","U","0","U","-33.3","U,0303,","31.1","U,0531,","-2.8","U,1008","-2.8","U,1008","-4.4","U,1009","-6.7","U,1023","-10.0","U,1102","-3.9","U,0517","-3.9","U,0517","-6.7","U,0419","-6.7","U,0419","-9.4","U,0416","4759.9","","4759.9","U","5.53","U","11.56","U","-0.51","U"
