"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MBEM","2005","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","221.5","","221.5","U","47","U","167","U","93","U","107","U","12","U","-37.8","U,0117,","35.0","U,0623,","-1.7","U,1006","-3.3","U,1007","-4.4","U,1113","-6.7","U,1114","-16.1","U,1116","-1.1","U,0504","-3.3","U,0503","-5.0","U,0423","-9.4","U,0326","-9.4","U,0326","4983.0","","4983.0","U","5.33","U","10.78","U","-0.12","U"
"USR0000MBEM","2006","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","248.3","","248.3","U","25","U","179","U","85","U","118","U","10","U","-31.7","U,0217,","36.7","U,0730,","-1.7","U,1005","-2.2","U,1009","-6.1","U,1011","-6.7","U,1012","-10.0","U,1110","-0.6","U,0522","-2.2","U,0521","-6.1","U,0413","-6.7","U,0408","-9.4","U,0322","4528.2","","4528.2","U","6.09","U","11.67","U","0.51","U"
"USR0000MBEM","2008","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","151.9","","151.9","U","66","U","190","U","112","U","92","U","0","U","-33.9","U,0220,","31.7","U,0901,","-2.2","U,1003","-2.2","U,1003","-4.4","U,1027","-7.2","U,1108","-10.0","U,1110","-0.6","U,0527","-3.9","U,0505","-9.4","U,0428","-9.4","U,0428","-9.4","U,0428","","","","","3.16","U","8.75","U","-2.43","U"
"USR0000MBEM","2009","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","97.0","","97.0","U","58","U","171","U","95","U","97","U","1","U","-37.8","U,0113,","33.3","U,0812,","-2.2","U,1008","-2.2","U,1008","-4.4","U,1009","-6.7","U,1013","-11.7","U,1203","0.0","U,0606","-3.9","U,0428","-5.6","U,0411","-6.7","U,0405","-11.1","U,0329","5355.2","","5355.2","U","3.74","U","9.19","U","-1.71","U"
"USR0000MBEM","2010","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","230.8","","230.8","U","41","U","151","U","90","U","105","U","4","U","-37.2","U,0102,","33.9","U,0809,","0.0","U,1002","-3.3","U,1028","-5.0","U,1029","-6.7","U,1115","-10.0","U,1118","-3.3","U,0509","-3.3","U,0509","-4.4","U,0411","-6.7","U,0408","-15.0","U,0325","4631.8","","4631.8","U","5.75","U","11.38","U","0.13","U"
"USR0000MBEM","2011","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","232.6","","232.6","U","41","U","173","U","88","U","102","U","2","U","-37.8","U,0121,","32.8","U,0718,","-2.8","U,0915","-2.8","U,0915","-6.1","U,1029","-7.8","U,1108","-11.7","U,1117","-3.3","U,0503","-3.3","U,0503","-6.7","U,0419","-6.7","U,0419","-11.1","U,0329","5142.4","","5142.4","U","5.13","U","10.65","U","-0.39","U"
"USR0000MBEM","2012","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","274.8","","274.8","U","31","U","171","U","80","U","118","U","10","U","-29.4","U,0119,","35.6","U,0722,+","-0.6","U,0914","-2.2","U,0926","-5.0","U,1011","-6.7","U,1012","-8.9","U,1112","-0.6","U,0426","-2.2","U,0419","-5.6","U,0412","-7.2","U,0411","-18.3","U,0309","4258.2","","4258.2","U","6.41","U","12.26","U","0.57","U"
"USR0000MBEM","2013","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","229.6","","229.6","U","65","U","193","U","108","U","114","U","7","U","-34.4","U,0201,","35.0","U,0825,+","-1.1","U,1016","-3.9","U,1021","-8.3","U,1028","-8.3","U,1028","-9.4","U,1108","-3.9","U,0512","-3.9","U,0512","-5.6","U,0503","-7.8","U,0423","-9.4","U,0420","5388.4","","5388.4","U","3.29","U","9.07","U","-2.51","U"
"USR0000MBEM","2014","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","143.2","","143.2","U","72","U","185","U","112","U","102","U","0","U","-36.7","U,0102,","31.7","U,0721,","-1.7","U,0912","-2.2","U,1009","-7.2","U,1031","-7.2","U,1031","-10.0","U,1109","0.0","U,0517","-2.8","U,0516","-4.4","U,0422","-6.7","U,0418","-13.9","U,0415","5738.8","","5738.8","U","2.80","U","8.29","U","-2.70","U"
"USR0000MBEM","2015","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","223.3","","223.3","U","48","U","171","U","83","U","118","U","5","U","-34.4","U,0219,","34.4","U,0814,","-2.8","U,0929","-2.8","U,0929","-4.4","U,1007","-7.8","U,1119","-11.1","U,1120","-2.2","U,0520","-2.2","U,0520","-6.1","U,0423","-7.8","U,0405","-10.6","U,0403","5120.3","","5120.3","U","5.56","U","11.26","U","-0.14","U"
"USR0000MBEM","2016","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","169.9","","169.9","U","31","U","166","U","82","U","115","U","0","U","-32.2","U,1218,+","31.7","U,0722,+","-0.6","U,0914","-3.3","U,1009","-5.0","U,1024","-11.1","U,1119","-11.1","U,1119","-0.6","U,0518","-2.2","U,0514","-5.0","U,0422","-11.7","U,0412","-11.7","U,0412","4428.5","","4428.5","U","5.98","U","11.38","U","0.57","U"
"USR0000MBEM","2017","47.5033","-94.9281","419.7","BEMIDJI MINNESOTA, MN US","113.1","","113.1","U","46","U","178","U","93","U","99","U","1","U","-36.1","U,1227,","32.2","U,0717,","-1.7","U,1006","-3.3","U,1010","-4.4","U,1030","-7.8","U,1105","-11.7","U,1106","-1.1","U,0519","-2.2","U,0511","-6.7","U,0429","-6.7","U,0429","-13.3","U,0322","4680.4","","4680.4","U","4.66","U","10.47","U","-1.15","U"
