"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MBRO","2004","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","47.9","","47.9","U","21","U","172","U","27","U","74","U","3","U","-32.8","U,0104,","33.9","U,0717,","0.0","U,0928","-3.9","U,1001","-5.6","U,1017","-7.8","U,1022","-10.0","U,1120","-1.7","U,0618","-2.2","U,0514","-10.0","U,0513","-10.0","U,0513","-10.0","U,0513","","","","","6.01","U","12.07","U","-0.06","U"
"USR0000MBRO","2005","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","33.9","","33.9","U","22","U","165","U","55","U","69","U","1","U","-35.0","U,0114,","32.8","U,0731,","0.0","U,0813","-2.2","U,0923","-5.0","U,1005","-13.9","U,1114","-13.9","U,1114","-1.1","U,0530","-2.8","U,0512","-8.9","U,0502","-8.9","U,0502","-8.9","U,0502","4596.6","","4596.6","U","5.08","U","10.82","U","-0.66","U"
"USR0000MBRO","2006","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","72.3","","72.3","U","13","U","170","U","41","U","94","U","3","U","-34.4","U,0217,","33.9","U,0722,","0.0","U,0902","-2.2","U,0917","-4.4","U,0918","-11.7","U,1029","-11.7","U,1029","-1.7","U,0514","-2.2","U,0510","-7.2","U,0504","-7.2","U,0504","-9.4","U,0322","4427.8","","4427.8","U","6.14","U","11.99","U","0.29","U"
"USR0000MBRO","2007","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","120.9","","120.9","U","15","U","171","U","61","U","89","U","10","U","-23.9","U,0111,","35.6","U,0723,+","-2.8","U,0913","-2.8","U,0913","-5.6","U,1006","-7.8","U,1026","-11.1","U,1119","-0.6","U,0526","-5.0","U,0422","-5.0","U,0422","-8.3","U,0408","-12.8","U,0403","4442.5","","4442.5","U","5.88","U","11.85","U","-0.09","U"
"USR0000MBRO","2008","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","33.1","","33.1","U","22","U","174","U","54","U","84","U","3","U","-33.9","U,1219,","32.8","U,0818,","0.0","U,0901","-5.6","U,1008","-5.6","U,1008","-6.7","U,1009","-10.0","U,1012","-0.6","U,0610","-2.2","U,0510","-7.2","U,0509","-7.2","U,0509","-9.4","U,0424","4755.4","","4755.4","U","4.76","U","10.67","U","-1.14","U"
"USR0000MBRO","2010","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","15.7","","15.7","U","18","U","175","U","46","U","66","U","0","U","-28.9","U,1121,","31.1","U,0826,","-1.1","U,0906","-5.0","U,1015","-5.0","U,1015","-6.7","U,1016","-8.9","U,1109","0.0","U,0612","-3.3","U,0513","-4.4","U,0510","-8.3","U,0411","-11.7","U,0410","4818.2","","4818.2","U","5.06","U","10.79","U","-0.66","U"
"USR0000MBRO","2011","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","42.3","","42.3","U","34","U","174","U","52","U","77","U","1","U","-35.0","U,0225,","32.8","U,0718,","0.0","U,0904","-2.8","U,0929","-5.6","U,1025","-7.2","U,1104","-9.4","U,1105","-1.7","U,0518","-2.2","U,0501","-6.1","U,0430","-15.6","U,0419","-15.6","U,0419","5200.4","","5200.4","U","4.58","U","10.28","U","-1.11","U"
"USR0000MBRO","2012","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","74.1","","74.1","U","18","U","165","U","46","U","93","U","4","U","-31.1","U,0118,","33.3","U,0808,+","-3.3","U,0912","-3.3","U,0912","-7.2","U,1003","-7.2","U,1003","-8.9","U,1004","-0.6","U,0529","-2.8","U,0512","-4.4","U,0415","-7.2","U,0409","-12.2","U,0306","4283.6","","4283.6","U","5.90","U","11.71","U","0.10","U"
"USR0000MBRO","2013","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","57.1","","57.1","U","13","U","175","U","44","U","93","U","1","U","-33.3","U,1207,","34.4","U,0702,","-1.1","U,0926","-4.4","U,1003","-4.4","U,1003","-7.2","U,1027","-11.1","U,1028","0.0","U,0526","-9.4","U,0501","-9.4","U,0501","-9.4","U,0501","-9.4","U,0501","4640.4","","4640.4","U","5.55","U","11.54","U","-0.45","U"
"USR0000MBRO","2014","48.5617","-113.0133","1336.2","BROWNING BFA MONTANA, MT US","48.8","","48.8","U","32","U","161","U","56","U","82","U","1","U","-33.3","U,0205,+","32.2","U,0730,","0.0","U,0828","-3.3","U,0911","-7.2","U,1002","-7.2","U,1002","-12.2","U,1109","0.0","U,0612","-3.3","U,0512","-6.7","U,0427","-6.7","U,0427","-13.9","U,0413","4916.0","","4916.0","U","4.76","U","10.67","U","-1.15","U"
