"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MBRR","2003","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","192.5","","192.5","U","3","U","142","U","64","U","110","U","0","U","-23.9","U,0303,","31.1","U,0820,+","0.0","U,1106","-3.9","U,1107","-5.0","U,1108","-6.7","U,1109","-8.9","U,1207","0.0","U,0503","-2.2","U,0423","-4.4","U,0408","-9.4","U,0406","-9.4","U,0406","4150.1","","4150.1","U","7.51","U","11.87","U","3.15","U"
"USR0000MBRR","2004","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","134.8","","134.8","U","1","U","141","U","55","U","97","U","0","U","-17.8","U,0116,","30.0","U,0703,","0.0","U,1005","-2.8","U,1113","-4.4","U,1203","-11.7","U,1218","-11.7","U,1218","0.0","U,0504","-3.3","U,0412","-6.1","U,0405","-8.9","U,0322","-8.9","U,0322","3944.2","","3944.2","U","7.67","U","12.02","U","3.33","U"
"USR0000MBRR","2005","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","362.4","","362.4","U","1","U","135","U","66","U","131","U","5","U","-17.8","U,0121,","33.9","U,0803,+","0.0","U,1028","-5.0","U,1117","-5.0","U,1117","-11.1","U,1124","-11.1","U,1124","-0.6","U,0512","-3.3","U,0327","-5.6","U,0326","-8.3","U,0318","-10.6","U,0314","3854.6","","3854.6","U","8.96","U","13.32","U","4.59","U"
"USR0000MBRR","2006","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","242.6","","242.6","U","0","U","124","U","30","U","113","U","3","U","-17.2","U,0218,","33.9","U,0731,","0.0","U,1012","-2.2","U,1104","-5.6","U,1202","-6.7","U,1203","","","0.0","U,0522","-2.2","U,0409","-6.1","U,0321","-7.8","U,0301","-11.7","U,0219","3458.3","","3458.3","U","9.07","U","13.26","U","4.87","U"
"USR0000MBRR","2007","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","322.7","","322.7","U","2","U","132","U","67","U","132","U","3","U","-18.9","U,0204,","32.8","U,0801,+","0.0","U,1101","-2.8","U,1118","-5.6","U,1122","-7.2","U,1128","-11.1","U,1214","0.0","U,0416","-5.0","U,0410","-5.0","U,0410","-6.7","U,0407","-10.6","U,0308","3753.2","","3753.2","U","8.86","U","13.39","U","4.32","U"
"USR0000MBRR","2010","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","316.2","","316.2","U","0","U","127","U","58","U","113","U","2","U","-13.3","U,0128,","32.2","U,0829,+","0.0","U,1105","-2.2","U,1121","-6.1","U,1125","-6.7","U,1208","-10.0","U,1209","-1.1","U,0422","-4.4","U,0327","-4.4","U,0327","-7.2","U,0326","-10.6","U,0207","","","","","9.32","U","13.49","U","5.15","U"
"USR0000MBRR","2011","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","307.5","","307.5","U","0","U","144","U","63","U","115","U","3","U","-16.1","U,0123,","35.0","U,0607,","0.0","U,1028","-2.8","U,1118","-6.7","U,1209","-6.7","U,1209","","","0.0","U,0504","-2.2","U,0418","-6.1","U,0329","-8.3","U,0328","-10.6","U,0327","3997.1","","3997.1","U","8.42","U","12.80","U","4.02","U"
"USR0000MBRR","2012","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","376.6","","376.6","U","0","U","131","U","34","U","127","U","11","U","-13.3","U,0120,","33.9","U,0716,","0.0","U,1008","-2.2","U,1112","-4.4","U,1127","-7.2","U,1231","","","0.0","U,0427","-2.8","U,0326","-6.1","U,0310","-6.7","U,0309","-8.9","U,0305","3240.4","","3240.4","U","9.96","U","14.49","U","5.42","U"
"USR0000MBRR","2013","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","219.6","","219.6","U","2","U","158","U","69","U","119","U","3","U","-18.3","U,0122,+","33.3","U,0717,","-1.1","U,1028","-2.2","U,1029","-8.3","U,1123","-8.3","U,1123","-10.0","U,1129","-0.6","U,0513","-4.4","U,0421","-4.4","U,0421","-7.2","U,0320","-9.4","U,0318","3828.3","","3828.3","U","7.51","U","11.89","U","3.12","U"
"USR0000MBRR","2015","44.8019","-86.0508","289.9","BEAR MICHIGAN, MI US","205.9","","205.9","U","11","U","118","U","67","U","113","U","0","U","-24.4","U,0220,","31.7","U,0728,","-2.8","U,1121","-2.8","U,1121","-4.4","U,1122","-6.7","U,1219","","","-0.6","U,0520","-2.8","U,0424","-6.7","U,0404","-6.7","U,0404","-13.3","U,0328","","","","","7.90","U","12.15","U","3.64","U"
