"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MCHI","2004","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","525.3","","525.3","U","7","U","92","U","30","U","159","U","7","U","-19.4","U,0130,+","35.0","U,0713,","0.0","U,1111","-6.1","U,1124","-6.1","U,1124","-7.2","U,1125","-11.1","U,1214","0.0","U,0413","-2.8","U,0321","-5.0","U,0312","-9.4","U,0216","-9.4","U,0216","","","","","12.04","U","17.13","U","6.95","U"
"USR0000MCHI","2005","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","782.6","","782.6","U","2","U","104","U","30","U","173","U","41","U","-20.0","U,1209,","38.3","U,0723,","-1.1","U,1026","-7.8","U,1116","-7.8","U,1116","-7.8","U,1116","-9.4","U,1117","0.0","U,0424","-4.4","U,0320","-4.4","U,0320","-7.8","U,0301","-12.2","U,0210","2651.7","","2651.7","U","12.66","U","18.16","U","7.17","U"
"USR0000MCHI","2006","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","756.9","","756.9","U","1","U","103","U","13","U","167","U","45","U","-17.8","U,0218,","38.3","U,0731,+","-0.6","U,1011","-3.9","U,1024","-5.0","U,1102","-6.7","U,1119","-10.6","U,1201","0.0","U,0329","-2.8","U,0326","-5.6","U,0322","-6.7","U,0226","-15.6","U,0219","2663.6","","2663.6","U","13.16","U","18.93","U","7.38","U"
"USR0000MCHI","2007","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","822.0","","822.0","U","3","U","117","U","32","U","182","U","42","U","-20.6","U,0216,","39.4","U,0815,","-0.6","U,1028","-2.2","U,1101","-5.6","U,1107","-7.8","U,1123","-11.1","U,1215","-0.6","U,0415","-3.9","U,0409","-5.6","U,0408","-7.2","U,0407","-10.0","U,0304","2710.9","","2710.9","U","12.63","U","18.25","U","7.00","U"
"USR0000MCHI","2008","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","573.7","","573.7","U","6","U","122","U","36","U","162","U","10","U","-20.6","U,1222,","35.6","U,0804,+","-1.1","U,1027","-3.9","U,1028","-5.6","U,1118","-10.6","U,1121","-10.6","U,1121","0.0","U,0414","-5.6","U,0324","-5.6","U,0324","-13.3","U,0308","-13.3","U,0308","3069.7","","3069.7","U","10.88","U","16.30","U","5.45","U"
"USR0000MCHI","2009","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","510.8","","510.8","U","3","U","105","U","33","U","156","U","11","U","-22.2","U,0115,","36.1","U,0623,","0.0","U,1010","-2.2","U,1127","-5.6","U,1203","-8.9","U,1204","-8.9","U,1204","-2.8","U,0407","-2.8","U,0407","-8.3","U,0312","-8.3","U,0312","-10.0","U,0301","3035.4","","3035.4","U","11.46","U","16.72","U","6.19","U"
"USR0000MCHI","2010","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","808.5","","808.5","U","12","U","116","U","45","U","173","U","33","U","-22.8","U,0110,","36.1","U,0810,","0.0","U,1028","-2.2","U,1029","-6.7","U,1125","-6.7","U,1125","-10.0","U,1205","-1.1","U,0329","-5.0","U,0305","-5.0","U,0305","-8.3","U,0304","-11.7","U,0228","3097.6","","3097.6","U","11.93","U","17.30","U","6.57","U"
"USR0000MCHI","2011","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","781.1","","781.1","U","7","U","109","U","34","U","166","U","37","U","-23.3","U,0203,","38.3","U,0802,","-1.1","U,1021","-2.2","U,1110","-5.0","U,1117","-7.8","U,1130","-9.4","U,1206","0.0","U,0405","-2.2","U,0327","-4.4","U,0305","-7.8","U,0225","-12.2","U,0211","3090.1","","3090.1","U","12.01","U","17.47","U","6.55","U"
"USR0000MCHI","2012","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2518.4","","2518.4","U","","","","","",""
"USR0000MCHI","2013","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","651.3","","651.3","U","2","U","134","U","38","U","159","U","29","U","-25.0","U,1224,","38.3","U,0830,","-2.2","U,1023","-2.2","U,1023","-5.0","U,1111","-9.4","U,1112","-9.4","U,1112","-0.6","U,0503","-5.0","U,0402","-5.0","U,0402","-8.3","U,0321","-10.6","U,0224","","","","","10.96","U","16.59","U","5.33","U"
"USR0000MCHI","2014","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","636.5","","636.5","U","17","U","124","U","50","U","163","U","17","U","-24.4","U,0206,+","35.0","U,0825,+","-1.7","U,1031","-4.4","U,1101","-4.4","U,1101","-7.2","U,1112","-8.9","U,1113","-0.6","U,0418","-3.9","U,0415","-5.6","U,0326","-6.7","U,0323","-16.1","U,0304","3459.6","","3459.6","U","10.62","U","16.16","U","5.08","U"
"USR0000MCHI","2015","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","693.0","","693.0","U","6","U","90","U","25","U","179","U","24","U","-19.4","U,0205,+","35.0","U,0714,+","0.0","U,1030","-4.4","U,1121","-4.4","U,1121","-6.7","U,1219","","","-0.6","U,0404","-7.2","U,0306","-7.2","U,0306","-7.2","U,0306","-13.3","U,0305","2899.5","","2899.5","U","12.74","U","18.24","U","7.23","U"
"USR0000MCHI","2017","39.7683","-93.485","237.7","CHILLICOTHE MISSOURI, MO US","704.8","","704.8","U","6","U","95","U","22","U","185","U","33","U","-23.3","U,1231,","35.6","U,0722,+","0.0","U,1027","-2.8","U,1028","-4.4","U,1109","-7.2","U,1110","-9.4","U,1122","-1.1","U,0316","-10.6","U,0315","-10.6","U,0315","-10.6","U,0315","-10.6","U,0315","2399.4","","2399.4","U","13.17","U","18.87","U","7.47","U"
