"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MHIL","2005","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","182.3","","182.3","U","44","U","183","U","87","U","109","U","8","U","-40.6","U,0117,","33.9","U,0623,","0.0","U,0923","-3.3","U,1007","-4.4","U,1113","-6.7","U,1114","-16.1","U,1116","-1.7","U,0516","-3.9","U,0504","-4.4","U,0503","-7.2","U,0327","-11.7","U,0326","4944.1","","4944.1","U","5.40","U","11.70","U","-0.89","U"
"USR0000MHIL","2006","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","192.9","","192.9","U","26","U","178","U","66","U","128","U","9","U","-32.2","U,0218,","36.7","U,0715,","-0.6","U,0921","-2.2","U,1009","-4.4","U,1010","-6.7","U,1015","-10.0","U,1102","-1.1","U,0522","-3.9","U,0425","-7.2","U,0408","-7.2","U,0408","-10.0","U,0321","4472.1","","4472.1","U","6.38","U","12.57","U","0.19","U"
"USR0000MHIL","2007","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","177.9","","177.9","U","48","U","175","U","102","U","120","U","5","U","-33.3","U,0205,","33.9","U,0723,","0.0","U,0911","-2.2","U,0912","-4.4","U,1027","-6.7","U,1028","-13.9","U,1122","0.0","U,0520","-2.2","U,0424","-10.6","U,0410","-10.6","U,0410","-10.6","U,0410","4820.1","","4820.1","U","4.88","U","11.06","U","-1.29","U"
"USR0000MHIL","2008","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","63.3","","63.3","U","67","U","195","U","108","U","96","U","0","U","-33.9","U,0211,","30.6","U,0817,","0.0","U,0909","-3.3","U,1003","-5.6","U,1021","-6.7","U,1109","-9.4","U,1110","-1.1","U,0527","-3.3","U,0505","-5.6","U,0429","-7.8","U,0427","-9.4","U,0414","5498.7","","5498.7","U","2.95","U","9.26","U","-3.37","U"
"USR0000MHIL","2009","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","58.8","","58.8","U","57","U","191","U","87","U","101","U","0","U","-39.4","U,0116,","31.7","U,0814,","-2.2","U,0930","-2.2","U,0930","-5.0","U,1009","-7.8","U,1013","-10.6","U,1203","-0.6","U,0606","-2.2","U,0504","-6.7","U,0411","-6.7","U,0411","-13.3","U,0329","5470.2","","5470.2","U","3.68","U","9.83","U","-2.46","U"
"USR0000MHIL","2010","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","163.6","","163.6","U","41","U","169","U","81","U","106","U","1","U","-35.6","U,0103,","33.3","U,0809,","0.0","U,0918","-2.2","U,1003","-5.0","U,1028","-6.7","U,1029","-11.1","U,1119","-3.9","U,0509","-3.9","U,0509","-5.0","U,0422","-7.2","U,0409","-13.3","U,0325","4774.1","","4774.1","U","5.47","U","11.89","U","-0.95","U"
"USR0000MHIL","2011","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","182.3","","182.3","U","38","U","191","U","87","U","107","U","4","U","-38.3","U,0121,","33.9","U,0718,","0.0","U,0914","-2.2","U,0915","-4.4","U,1021","-6.7","U,1103","-9.4","U,1117","-1.1","U,0516","-2.2","U,0504","-5.6","U,0421","-10.6","U,0330","-10.6","U,0330","5147.7","","5147.7","U","4.93","U","11.12","U","-1.26","U"
"USR0000MHIL","2012","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","211.4","","211.4","U","28","U","174","U","67","U","125","U","8","U","-29.4","U,0119,","33.9","U,0702,","-1.7","U,0918","-2.2","U,0926","-4.4","U,1006","-7.2","U,1012","-9.4","U,1113","-0.6","U,0512","-2.2","U,0423","-4.4","U,0420","-6.7","U,0417","-17.8","U,0309","4301.8","","4301.8","U","6.42","U","12.66","U","0.18","U"
"USR0000MHIL","2013","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","155.7","","155.7","U","62","U","198","U","98","U","114","U","5","U","-35.6","U,1207,","35.0","U,0826,","-0.6","U,0916","-3.3","U,1019","-5.0","U,1025","-6.7","U,1028","-9.4","U,1108","-1.1","U,0524","-2.8","U,0513","-6.7","U,0424","-6.7","U,0424","-14.4","U,0420","5244.0","","5244.0","U","3.43","U","9.70","U","-2.85","U"
"USR0000MHIL","2014","47.0375","-93.6042","408.4","HILL CITY MINNESOTA, MN US","118.7","","118.7","U","72","U","187","U","111","U","109","U","1","U","-37.2","U,0102,","32.8","U,0721,","-0.6","U,0912","-2.2","U,1008","-4.4","U,1011","-7.2","U,1031","-11.1","U,1113","-0.6","U,0517","-2.8","U,0426","-4.4","U,0418","-13.3","U,0415","-13.3","U,0415","5630.3","","5630.3","U","3.10","U","9.33","U","-3.14","U"
