"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MHOT","1992","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","226.1","","226.1","U","1","U","134","U","29","U","125","U","27","U","-18.3","U,1228,","38.3","U,0814,","0.0","U,0824","-2.8","U,1007","-4.4","U,1121","-9.4","U,1123","-9.4","U,1123","0.0","U,0516","-2.2","U,0424","-5.6","U,0408","-10.0","U,0206","-10.0","U,0206","3307.4","","3307.4","U","9.20","U","15.34","U","3.05","U"
"USR0000MHOT","1994","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","326.4","","326.4","U","3","U","135","U","20","U","130","U","40","U","-22.2","U,0208,","39.4","U,0721,","0.0","U,1004","-2.8","U,1029","-5.6","U,1030","-7.2","U,1117","-11.7","U,1118","-2.8","U,0429","-2.8","U,0429","-6.1","U,0325","-6.7","U,0324","-8.9","U,0226","3645.2","","3645.2","U","9.50","U","16.02","U","2.98","U"
"USR0000MHOT","1995","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","142.3","","142.3","U","0","U","138","U","34","U","106","U","14","U","-16.1","U,1208,","34.4","U,0902,+","-2.8","U,0921","-2.8","U,0921","-5.6","U,1030","-7.2","U,1031","-9.4","U,1101","-1.1","U,0501","-2.8","U,0420","-5.0","U,0416","-9.4","U,0306","-9.4","U,0306","3628.4","","3628.4","U","8.51","U","14.24","U","2.79","U"
"USR0000MHOT","1996","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","215.7","","215.7","U","9","U","162","U","54","U","113","U","32","U","-29.4","U,0201,","37.8","U,0811,+","-2.8","U,0923","-2.8","U,0923","-6.1","U,1017","-6.7","U,1021","-9.4","U,1116","-1.1","U,0510","-2.8","U,0505","-8.9","U,0328","-8.9","U,0328","-8.9","U,0328","4105.6","","4105.6","U","7.16","U","13.42","U","0.90","U"
"USR0000MHOT","1997","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","126.2","","126.2","U","6","U","140","U","46","U","112","U","8","U","-21.7","U,0114,","35.6","U,0804,+","-2.2","U,1008","-2.2","U,1008","-4.4","U,1025","-7.8","U,1112","-8.9","U,1114","-1.7","U,0502","-2.2","U,0413","-7.2","U,0412","-7.2","U,0412","-12.8","U,0315","3947.0","","3947.0","U","8.05","U","13.74","U","2.35","U"
"USR0000MHOT","1998","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","351.0","","351.0","U","7","U","137","U","18","U","133","U","43","U","-24.4","U,1221,","38.9","U,0805,","-1.1","U,1004","-5.0","U,1016","-5.0","U,1016","-6.7","U,1109","-14.4","U,1218","-1.7","U,0516","-2.2","U,0418","-5.0","U,0330","-7.2","U,0308","-9.4","U,0307","3533.7","","3533.7","U","9.73","U","16.10","U","3.36","U"
"USR0000MHOT","1999","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","225.6","","225.6","U","0","U","140","U","13","U","113","U","28","U","-15.6","U,0126,","37.8","U,0727,","-2.2","U,0927","-2.2","U,0927","-4.4","U,0928","-7.2","U,1204","","","-2.2","U,0511","-2.2","U,0511","-5.0","U,0415","-7.8","U,0402","-8.9","U,0212","3522.0","","3522.0","U","9.32","U","15.60","U","3.05","U"
"USR0000MHOT","2000","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","242.2","","242.2","U","1","U","161","U","50","U","115","U","32","U","-17.8","U,1221,","40.0","U,0730,","-3.3","U,0922","-3.3","U,0922","-7.2","U,0923","-7.2","U,0923","-10.0","U,1109","0.0","U,0601","-5.0","U,0414","-5.0","U,0414","-13.9","U,0220","-13.9","U,0220","3511.4","","3511.4","U","8.12","U","14.47","U","1.77","U"
"USR0000MHOT","2001","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","285.4","","285.4","U","2","U","152","U","48","U","127","U","37","U","-19.4","U,0208,","40.0","U,0704,","0.0","U,1004","-4.4","U,1005","-4.4","U,1005","-6.7","U,1128","-8.9","U,1218","-0.6","U,0507","-2.8","U,0422","-6.1","U,0404","-8.9","U,0308","-8.9","U,0308","4246.0","","4246.0","U","8.54","U","14.99","U","2.09","U"
"USR0000MHOT","2002","47.6156","-114.6694","902.2","HOT SPRINGS MONTANA, MT US","242.6","","242.6","U","4","U","165","U","35","U","117","U","25","U","-19.4","U,0308,","41.1","U,0713,+","0.0","U,0928","-2.2","U,1002","-6.1","U,1012","-6.7","U,1023","-8.9","U,1029","-1.1","U,0510","-5.0","U,0509","-5.0","U,0509","-7.8","U,0403","-8.9","U,0323","3789.7","","3789.7","U","8.16","U","14.65","U","1.66","U"
