"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MHUN","2004","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","141.6","","141.6","U","6","U","178","U","26","U","96","U","18","U","-35.6","U,0105,","38.3","U,0814,","-1.1","U,1001","-3.3","U,1025","-5.6","U,1101","-8.3","U,1127","-15.0","U,1222","-0.6","U,0524","-3.9","U,0513","-4.4","U,0402","-6.7","U,0320","-8.9","U,0303","4104.4","","4104.4","U","7.52","U","13.97","U","1.07","U"
"USR0000MHUN","2005","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","89.4","","89.4","U","13","U","179","U","48","U","100","U","18","U","-30.0","U,0114,","36.7","U,0806,","-0.6","U,0921","-2.2","U,0924","-8.3","U,1114","-8.3","U,1114","-11.1","U,1128","-1.7","U,0524","-2.8","U,0502","-6.1","U,0428","-8.3","U,0325","-9.4","U,0225","4130.8","","4130.8","U","6.69","U","13.48","U","-0.10","U"
"USR0000MHUN","2006","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4168.0","","4168.0","U","","","","","",""
"USR0000MHUN","2009","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","107.3","","107.3","U","14","U","199","U","43","U","119","U","18","U","-26.7","U,0126,","37.2","U,0725,","0.0","U,0922","-2.2","U,0928","-5.0","U,1005","-11.7","U,1009","-11.7","U,1009","-1.1","U,0609","-2.2","U,0510","-4.4","U,0502","-8.9","U,0405","-8.9","U,0405","","","","","6.20","U","13.49","U","-1.09","U"
"USR0000MHUN","2010","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","58.6","","58.6","U","8","U","186","U","33","U","95","U","10","U","-26.7","U,0107,","34.4","U,0726,","0.0","U,0816","-2.8","U,1014","-4.4","U,1016","-13.3","U,1120","-13.3","U,1120","-1.7","U,0524","-2.2","U,0512","-5.6","U,0506","-6.7","U,0405","-9.4","U,0319","4349.0","","4349.0","U","6.59","U","13.37","U","-0.20","U"
"USR0000MHUN","2011","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","71.4","","71.4","U","14","U","185","U","41","U","101","U","15","U","-30.0","U,0201,","35.6","U,0718,","0.0","U,0904","-2.2","U,0929","-5.6","U,1025","-6.7","U,1026","-8.9","U,1103","-2.8","U,0518","-2.8","U,0518","-6.7","U,0420","-6.7","U,0420","-8.9","U,0307","4623.8","","4623.8","U","6.14","U","12.83","U","-0.56","U"
"USR0000MHUN","2012","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","121.8","","121.8","U","0","U","178","U","31","U","118","U","28","U","-15.6","U,0228,+","36.7","U,0709,","-3.3","U,0912","-3.3","U,0912","-5.0","U,1004","-7.2","U,1005","-8.9","U,1109","-1.1","U,0520","-2.8","U,0512","-7.2","U,0408","-7.2","U,0408","-13.3","U,0229","4187.3","","4187.3","U","7.43","U","14.31","U","0.55","U"
"USR0000MHUN","2013","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4036.5","","4036.5","U","","","","","",""
"USR0000MHUN","2014","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","148.5","","148.5","U","22","U","172","U","50","U","119","U","26","U","-30.0","U,0206,","36.7","U,0811,+","-1.1","U,0910","-2.8","U,0911","-5.0","U,0912","-11.1","U,1110","-11.1","U,1110","-0.6","U,0530","-3.3","U,0512","-4.4","U,0414","-8.3","U,0413","-13.9","U,0322","","","","","6.85","U","13.79","U","-0.10","U"
"USR0000MHUN","2015","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","163.7","","163.7","U","6","U","183","U","37","U","127","U","30","U","-21.1","U,0109,+","40.0","U,0628,","-2.2","U,0917","-2.2","U,0917","-5.6","U,1024","-6.7","U,1120","-9.4","U,1122","-1.1","U,0520","-2.2","U,0518","-4.4","U,0416","-6.7","U,0308","-10.6","U,0305","3915.0","","3915.0","U","7.96","U","15.64","U","0.28","U"
"USR0000MHUN","2017","48.3847","-114.0575","983.0","HUNGRY HORSE MONTANA, MT US","148.1","","148.1","U","18","U","174","U","66","U","114","U","29","U","-29.4","U,0105,","37.8","U,0707,","-0.6","U,0917","-2.8","U,1003","-7.2","U,1030","-7.2","U,1030","-9.4","U,1103","-2.2","U,0515","-2.2","U,0515","-5.0","U,0404","-7.8","U,0320","-8.9","U,0310","4460.5","","4460.5","U","6.50","U","13.30","U","-0.29","U"
