"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MKLL","2004","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","","","","","48","U","182","U","83","U","77","U","0","U","-38.3","U,0130,","30.6","U,0902,","0.0","U,0928","-3.9","U,1004","-6.7","U,1110","-6.7","U,1110","-8.9","U,1111","-1.7","U,0515","-2.2","U,0507","-4.4","U,0427","-6.7","U,0422","-14.4","U,0323","","","","","3.61","U","9.19","U","-1.98","U"
"USR0000MKLL","2005","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","189.6","","189.6","U","45","U","175","U","94","U","101","U","4","U","-38.3","U,0117,","32.8","U,0807,+","-3.3","U,1006","-3.3","U,1006","-5.6","U,1007","-7.2","U,1115","-15.0","U,1116","-0.6","U,0516","-4.4","U,0503","-4.4","U,0503","-8.3","U,0326","-13.3","U,0325","","","","","5.01","U","10.50","U","-0.49","U"
"USR0000MKLL","2006","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","210.3","","210.3","U","27","U","174","U","80","U","121","U","7","U","-32.2","U,0217,","37.2","U,0716,","0.0","U,1004","-2.2","U,1009","-5.6","U,1011","-6.7","U,1101","-8.9","U,1103","-2.2","U,0521","-2.2","U,0521","-7.2","U,0408","-7.2","U,0408","-12.2","U,0322","4544.6","","4544.6","U","5.96","U","11.63","U","0.28","U"
"USR0000MKLL","2007","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4921.1","","4921.1","U","","","","","",""
"USR0000MKLL","2008","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","62.6","","62.6","U","66","U","195","U","112","U","84","U","0","U","-36.1","U,0220,+","30.6","U,0901,+","0.0","U,1002","-3.3","U,1003","-4.4","U,1028","-7.8","U,1109","-9.4","U,1110","0.0","U,0528","-2.8","U,0527","-6.1","U,0505","-11.1","U,0428","-11.1","U,0428","","","","","2.35","U","8.24","U","-3.53","U"
"USR0000MKLL","2009","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","56.7","","56.7","U","59","U","184","U","96","U","91","U","1","U","-37.8","U,0113,","33.3","U,0812,","-0.6","U,0929","-3.3","U,1008","-5.6","U,1009","-7.2","U,1103","-8.9","U,1202","-1.7","U,0606","-2.2","U,0514","-6.7","U,0410","-6.7","U,0410","-11.7","U,0329","5674.6","","5674.6","U","3.03","U","8.57","U","-2.52","U"
"USR0000MKLL","2010","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","138.5","","138.5","U","44","U","167","U","90","U","102","U","1","U","-38.3","U,0102,","32.2","U,0809,","-1.1","U,0916","-2.2","U,1015","-5.0","U,1029","-7.2","U,1105","-11.7","U,1118","-3.3","U,0509","-3.3","U,0509","-8.3","U,0408","-8.3","U,0408","-16.1","U,0325","4866.9","","4866.9","U","4.89","U","10.67","U","-0.89","U"
"USR0000MKLL","2011","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","123.4","","123.4","U","46","U","186","U","96","U","103","U","1","U","-39.4","U,0121,","33.9","U,0718,","-2.8","U,0914","-2.8","U,0914","-5.0","U,1019","-7.2","U,1029","-8.9","U,1108","-0.6","U,0526","-4.4","U,0503","-4.4","U,0503","-10.0","U,0330","-10.0","U,0330","5554.8","","5554.8","U","3.94","U","9.74","U","-1.86","U"
"USR0000MKLL","2012","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","184.5","","184.5","U","36","U","180","U","85","U","113","U","6","U","-31.1","U,0119,","33.9","U,0722,+","-1.1","U,0914","-4.4","U,0918","-4.4","U,0918","-7.2","U,1012","-8.9","U,1112","-1.1","U,0516","-2.2","U,0426","-6.7","U,0417","-6.7","U,0417","-21.7","U,0309","4586.7","","4586.7","U","5.55","U","11.64","U","-0.54","U"
"USR0000MKLL","2013","47.9425","-94.455","412.1","KELLIHER MINNESOTA, MN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5465.3","","5465.3","U","","","","","",""
