"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MMAR","2003","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1331.8","","1331.8","U","0","U","34","U","0","U","262","U","80","U","-9.4","U,0124,","36.7","U,0828,","-1.1","U,1124","-2.8","U,1125","","","","","-0.6","U,0218","-2.2","U,0211","-9.4","U,0124","-9.4","U,0124","-9.4","U,0124","","","","","18.91","U","25.16","U","12.67","U"
"USR0000MMAR","2005","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1419.6","","1419.6","U","0","U","23","U","0","U","265","U","116","U","-5.6","U,0124,","36.7","U,0820,+","0.0","U,1117","-3.3","U,1206","","","","","-0.6","U,0318","-5.6","U,0124","-5.6","U,0124","","","","","950.7","","950.7","U","19.40","U","25.79","U","13.02","U"
"USR0000MMAR","2006","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1429.0","","1429.0","U","0","U","21","U","0","U","274","U","109","U","-6.7","U,1208,","37.8","U,0815,","-0.6","U,1120","-2.8","U,1204","-6.7","U,1208","-6.7","U,1208","-0.6","U,0227","-4.4","U,0213","-4.4","U,0213","","","","","942.5","","942.5","U","19.65","U","26.17","U","13.14","U"
"USR0000MMAR","2007","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1296.5","","1296.5","U","0","U","28","U","0","U","274","U","79","U","-6.7","U,0129,","38.3","U,0813,","-0.6","U,1116","-2.2","U,1204","","","","","-2.2","U,0305","-2.2","U,0305","-5.6","U,0216","-6.7","U,0129","","","1074.6","","1074.6","U","19.02","U","25.14","U","12.91","U"
"USR0000MMAR","2008","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1319.0","","1319.0","U","0","U","33","U","0","U","269","U","86","U","-8.3","U,0103,","38.3","U,0720,","0.0","U,1028","-3.3","U,1122","","","","","0.0","U,0325","-2.8","U,0214","-6.1","U,0121","-8.3","U,0103","","","1037.2","","1037.2","U","18.90","U","25.27","U","12.53","U"
"USR0000MMAR","2009","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1427.5","","1427.5","U","0","U","30","U","0","U","265","U","98","U","-6.1","U,0121,","41.1","U,0702,","0.0","U,1204","-2.2","U,1229","","","","","-1.1","U,0303","-4.4","U,0205","-4.4","U,0205","","","","","997.9","","997.9","U","19.36","U","25.60","U","13.11","U"
"USR0000MMAR","2010","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1545.6","","1545.6","U","0","U","51","U","1","U","257","U","115","U","-8.9","U,0111,","38.3","U,0802,+","-0.6","U,1126","-2.2","U,1206","-5.6","U,1214","","","-1.1","U,0304","-3.9","U,0225","-5.0","U,0216","-8.9","U,0111","-8.9","U,0111","1299.4","","1299.4","U","18.94","U","25.45","U","12.44","U"
"USR0000MMAR","2012","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1465.4","","1465.4","U","0","U","17","U","0","U","285","U","93","U","-3.9","U,1230,+","39.4","U,0629,","-0.6","U,1125","-3.9","U,1230","","","","","-0.6","U,0213","-3.9","U,0212","","","","","","","741.0","","741.0","U","20.29","U","26.65","U","13.93","U"
"USR0000MMAR","2013","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1328.9","","1328.9","U","0","U","26","U","0","U","259","U","78","U","-5.0","U,1128,","37.2","U,0807,","-1.7","U,1113","-2.8","U,1127","-5.0","U,1128","","","-2.2","U,0327","-2.2","U,0327","-4.4","U,0303","","","","","1038.7","","1038.7","U","18.84","U","24.95","U","12.73","U"
"USR0000MMAR","2014","31.2114","-89.9225","115.8","MARION MISSISSIPPI, MS US","1308.1","","1308.1","U","0","U","42","U","3","U","260","U","95","U","-10.6","U,0107,","36.1","U,0702,","-1.1","U,1113","-2.8","U,1114","","","","","0.0","U,0313","-2.2","U,0304","-9.4","U,0130","-9.4","U,0130","-9.4","U,0130","1246.3","","1246.3","U","18.47","U","25.00","U","11.93","U"
