"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MMED","2005","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","221.6","","221.6","U","31","U","186","U","64","U","123","U","20","U","-37.8","U,0105,","38.3","U,0807,","-1.7","U,0922","-3.9","U,0928","-5.0","U,1005","-8.3","U,1006","-8.9","U,1023","-4.4","U,0514","-4.4","U,0514","-4.4","U,0514","-11.7","U,0503","-11.7","U,0503","4642.2","","4642.2","U","6.08","U","13.06","U","-0.90","U"
"USR0000MMED","2006","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","304.7","","304.7","U","18","U","187","U","57","U","133","U","36","U","-29.4","U,0217,","38.3","U,0715,","-0.6","U,0918","-2.2","U,0919","-4.4","U,1010","-7.8","U,1011","-8.9","U,1014","-2.2","U,0511","-2.2","U,0511","-8.3","U,0407","-8.3","U,0407","-11.7","U,0323","4319.7","","4319.7","U","6.77","U","13.90","U","-0.36","U"
"USR0000MMED","2007","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","313.7","","313.7","U","41","U","185","U","73","U","128","U","30","U","-29.4","U,1208,","43.3","U,0724,","-1.1","U,0913","-5.6","U,0914","-5.6","U,0914","-11.7","U,1105","-11.7","U,1105","-1.1","U,0526","-3.3","U,0413","-10.0","U,0412","-10.0","U,0412","-10.0","U,0412","4694.6","","4694.6","U","6.10","U","13.23","U","-1.03","U"
"USR0000MMED","2009","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5464.1","","5464.1","","","","","","",""
"USR0000MMED","2010","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","171.2","","171.2","U","46","U","188","U","106","U","124","U","17","U","-36.7","U,0108,","36.1","U,0822,","-2.8","U,0917","-2.8","U,0917","-5.6","U,0918","-9.4","U,1027","-9.4","U,1027","-1.1","U,0513","-2.2","U,0511","-5.0","U,0508","-8.9","U,0411","-8.9","U,0411","","","","","4.65","U","11.23","U","-1.93","U"
"USR0000MMED","2011","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","233.3","","233.3","U","49","U","198","U","83","U","116","U","24","U","-37.8","U,0201,","36.7","U,0825,+","-3.3","U,0914","-3.3","U,0914","-6.1","U,1018","-6.7","U,1101","-10.0","U,1104","-0.6","U,0514","-3.9","U,0502","-6.7","U,0404","-6.7","U,0404","-9.4","U,0330","5400.7","","5400.7","U","5.05","U","11.67","U","-1.56","U"
"USR0000MMED","2012","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","276.6","","276.6","U","30","U","185","U","65","U","139","U","33","U","-30.6","U,1226,","38.3","U,0828,+","0.0","U,0914","-2.2","U,0917","-6.7","U,1004","-6.7","U,1004","-10.6","U,1006","-0.6","U,0512","-3.3","U,0422","-10.0","U,0410","-10.0","U,0410","-10.0","U,0410","4115.9","","4115.9","U","6.63","U","14.16","U","-0.91","U"
"USR0000MMED","2013","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","192.7","","192.7","U","49","U","203","U","94","U","127","U","15","U","-36.1","U,1223,","35.6","U,0903,","0.0","U,0912","-5.0","U,1004","-5.0","U,1004","-7.2","U,1005","-9.4","U,1104","-2.8","U,0511","-2.8","U,0511","-5.0","U,0501","-7.8","U,0422","-10.0","U,0418","5238.7","","5238.7","U","4.28","U","10.92","U","-2.36","U"
"USR0000MMED","2014","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","179.7","","179.7","U","57","U","199","U","88","U","123","U","18","U","-32.8","U,0106,","35.6","U,0926,+","-2.2","U,0911","-2.2","U,0911","-5.0","U,1003","-7.2","U,1029","-8.9","U,1109","-2.2","U,0515","-2.2","U,0515","-6.7","U,0514","-6.7","U,0514","-12.2","U,0414","5154.4","","5154.4","U","4.51","U","11.72","U","-2.71","U"
"USR0000MMED","2015","48.49","-104.4761","602.0","MEDICINE LAKE MONTANA, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4589.6","","4589.6","U","","","","","",""
