"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MMIO","2005","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","234.2","","234.2","U","24","U","177","U","82","U","128","U","11","U","-30.0","U,0121,","34.4","U,0624,","-1.1","U,0924","-2.8","U,1008","-6.1","U,1021","-7.8","U,1028","-9.4","U,1122","-1.7","U,0520","-4.4","U,0505","-4.4","U,0505","-7.2","U,0504","-8.9","U,0327","4460.5","","4460.5","U","6.63","U","13.19","U","0.06","U"
"USR0000MMIO","2006","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","177.4","","177.4","U","10","U","173","U","43","U","122","U","8","U","-21.7","U,0226,","35.6","U,0801,","-0.6","U,0910","-2.8","U,0929","-6.7","U,1026","-6.7","U,1026","-10.0","U,1203","0.0","U,0611","-3.3","U,0429","-7.2","U,0428","-7.2","U,0428","-8.9","U,0327","4131.7","","4131.7","U","7.34","U","13.33","U","1.35","U"
"USR0000MMIO","2007","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","219.7","","219.7","U","27","U","182","U","80","U","135","U","9","U","-27.8","U,0306,","36.7","U,0801,","-1.7","U,0916","-3.3","U,1025","-5.0","U,1101","-7.2","U,1102","-14.4","U,1122","-1.1","U,0606","-2.8","U,0521","-7.2","U,0415","-7.2","U,0415","-10.0","U,0414","4394.4","","4394.4","U","6.70","U","13.29","U","0.10","U"
"USR0000MMIO","2008","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","123.1","","123.1","U","26","U","188","U","75","U","120","U","0","U","-27.8","U,1220,","31.7","U,0902,+","-0.6","U,0910","-2.2","U,1006","-4.4","U,1017","-8.3","U,1022","-9.4","U,1119","0.0","U,0529","-4.4","U,0528","-4.4","U,0528","-8.3","U,0430","-12.2","U,0329","4440.8","","4440.8","U","5.86","U","12.20","U","-0.48","U"
"USR0000MMIO","2009","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","77.5","","77.5","U","33","U","183","U","73","U","107","U","2","U","-30.6","U,0115,+","36.1","U,0624,","0.0","U,0917","-2.2","U,1001","-5.0","U,1011","-6.7","U,1014","-8.9","U,1018","-2.2","U,0604","-2.2","U,0604","-5.6","U,0518","-7.2","U,0416","-8.9","U,0413","4818.4","","4818.4","U","5.45","U","11.92","U","-1.02","U"
"USR0000MMIO","2010","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","234.6","","234.6","U","8","U","177","U","65","U","120","U","5","U","-21.1","U,0109,","32.8","U,0830,+","-1.7","U,0919","-3.9","U,1003","-6.1","U,1004","-6.7","U,1031","-10.6","U,1207","0.0","U,0518","-5.6","U,0510","-5.6","U,0510","-6.7","U,0422","-10.0","U,0326","4176.4","","4176.4","U","7.52","U","13.67","U","1.36","U"
"USR0000MMIO","2011","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","215.4","","215.4","U","23","U","186","U","69","U","119","U","14","U","-27.8","U,0123,","35.6","U,0721,+","0.0","U,0906","-2.2","U,0916","-5.6","U,1022","-6.7","U,1104","-8.9","U,1117","-0.6","U,0517","-2.2","U,0508","-4.4","U,0419","-7.2","U,0401","-11.7","U,0330","4589.1","","4589.1","U","6.56","U","12.87","U","0.24","U"
"USR0000MMIO","2012","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3876.4","","3876.4","U","","","","","",""
"USR0000MMIO","2014","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","82.2","","82.2","U","45","U","184","U","93","U","112","U","0","U","-34.4","U,0228,","31.1","U,0628,","-0.6","U,0914","-2.8","U,1009","-4.4","U,1012","-7.8","U,1101","-9.4","U,1102","-1.7","U,0518","-3.3","U,0517","-4.4","U,0427","-11.7","U,0416","-11.7","U,0416","5120.0","","5120.0","U","4.47","U","10.59","U","-1.66","U"
"USR0000MMIO","2015","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","160.3","","160.3","U","38","U","173","U","73","U","129","U","5","U","-36.1","U,0220,","33.9","U,0727,","-1.7","U,1008","-3.3","U,1017","-4.4","U,1023","-12.8","U,1122","-12.8","U,1122","-2.2","U,0602","-2.2","U,0602","-5.6","U,0426","-7.8","U,0424","-9.4","U,0404","4954.7","","4954.7","U","6.26","U","12.86","U","-0.34","U"
"USR0000MMIO","2016","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","218.0","","218.0","U","17","U","174","U","64","U","129","U","11","U","-28.9","U,0213,","34.4","U,0810,","-1.7","U,1009","-2.8","U,1010","-4.4","U,1025","-7.8","U,1112","-10.6","U,1122","-1.1","U,0523","-2.8","U,0510","-5.0","U,0427","-9.4","U,0410","-9.4","U,0410","4081.5","","4081.5","U","7.39","U","13.76","U","1.02","U"
"USR0000MMIO","2017","44.6761","-84.1283","320.0","MIO MICHIGAN, MI US","163.3","","163.3","U","19","U","171","U","63","U","122","U","4","U","-28.3","U,1231,","33.9","U,0922,","-0.6","U,0902","-2.2","U,1016","-7.2","U,1107","-7.2","U,1107","-9.4","U,1108","-2.8","U,0520","-2.8","U,0520","-4.4","U,0509","-11.7","U,0323","-11.7","U,0323","4020.5","","4020.5","U","6.99","U","12.96","U","1.03","U"
