"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MNIN","2001","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","132.5","","132.5","U","0","U","178","U","47","U","121","U","21","U","-17.2","U,0209,","36.1","U,0803,","-2.2","U,1004","-2.2","U,1004","-5.0","U,1005","-6.7","U,1108","-9.4","U,1212","-1.1","U,0605","-2.2","U,0507","-5.0","U,0415","-6.7","U,0322","-13.3","U,0301","","","","","7.28","U","13.91","U","0.66","U"
"USR0000MNIN","2002","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","124.1","","124.1","U","3","U","190","U","46","U","100","U","17","U","-21.1","U,0226,+","40.6","U,0712,","-1.7","U,0921","-2.8","U,1001","-4.4","U,1002","-7.2","U,1023","-9.4","U,1024","0.0","U,0524","-2.2","U,0515","-5.0","U,0509","-6.7","U,0424","-8.9","U,0403","4244.2","","4244.2","U","6.64","U","13.14","U","0.14","U"
"USR0000MNIN","2003","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","249.3","","249.3","U","5","U","179","U","41","U","129","U","40","U","-21.1","U,0224,","38.3","U,0723,","0.0","U,1010","-3.9","U,1011","-5.6","U,1025","-8.3","U,1030","-14.4","U,1031","-2.2","U,0520","-2.2","U,0520","-4.4","U,0517","-7.2","U,0304","-10.6","U,0227","4028.9","","4028.9","U","7.91","U","14.65","U","1.18","U"
"USR0000MNIN","2004","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","","","","","4","U","175","U","35","U","96","U","16","U","-30.6","U,0106,","37.2","U,0717,","0.0","U,0921","-2.2","U,1011","-4.4","U,1026","-6.7","U,1101","-8.9","U,1129","-1.1","U,0525","-3.3","U,0513","-4.4","U,0429","-8.3","U,0223","-10.6","U,0214","4041.1","","4041.1","U","7.47","U","13.70","U","1.24","U"
"USR0000MNIN","2005","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","116.2","","116.2","U","11","U","179","U","47","U","105","U","24","U","-25.6","U,1208,","36.7","U,0821,","0.0","U,0922","-2.8","U,1009","-5.0","U,1108","-7.8","U,1109","-10.6","U,1128","0.0","U,0719","-2.2","U,0502","-5.6","U,0429","-8.9","U,0324","-8.9","U,0324","","","","","6.82","U","13.60","U","0.04","U"
"USR0000MNIN","2006","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","183.2","","183.2","U","5","U","179","U","27","U","125","U","32","U","-25.0","U,0218,","38.3","U,0722,","0.0","U,0901","-2.2","U,1009","-5.6","U,1010","-11.7","U,1030","-11.7","U,1030","-1.1","U,0513","-3.3","U,0510","-4.4","U,0424","-6.7","U,0316","-9.4","U,0313","4132.6","","4132.6","U","7.79","U","14.71","U","0.86","U"
"USR0000MNIN","2007","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","249.9","","249.9","U","6","U","169","U","37","U","118","U","38","U","-22.8","U,0112,","39.4","U,0706,+","0.0","U,0920","-2.2","U,0929","-5.6","U,1026","-7.2","U,1027","-10.6","U,1121","-1.1","U,0626","-2.8","U,0506","-4.4","U,0421","-6.7","U,0403","-13.3","U,0302","3989.4","","3989.4","U","7.95","U","14.84","U","1.06","U"
"USR0000MNIN","2008","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","96.8","","96.8","U","11","U","194","U","41","U","107","U","14","U","-27.2","U,1216,","36.7","U,0818,","-0.6","U,0923","-2.2","U,1008","-5.0","U,1009","-7.2","U,1106","-21.1","U,1213","0.0","U,0611","-2.2","U,0513","-5.6","U,0422","-6.7","U,0420","-10.0","U,0330","4399.0","","4399.0","U","6.49","U","13.14","U","-0.16","U"
"USR0000MNIN","2009","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","136.2","","136.2","U","8","U","189","U","40","U","115","U","21","U","-25.6","U,1208,","36.7","U,0723,","-0.6","U,0921","-2.2","U,1005","-6.1","U,1006","-10.0","U,1009","-10.0","U,1009","-2.8","U,0521","-2.8","U,0521","-5.0","U,0501","-7.8","U,0327","-10.0","U,0313","4195.6","","4195.6","U","6.90","U","13.63","U","0.16","U"
"USR0000MNIN","2010","47.0708","-114.4022","1005.8","NINE MILE MONTANA, MT US","90.3","","90.3","U","5","U","182","U","31","U","101","U","12","U","-22.8","U,1231,","36.7","U,0826,","0.0","U,0922","-3.3","U,1012","-4.4","U,1109","-7.8","U,1119","-10.6","U,1120","-0.6","U,0523","-2.2","U,0521","-4.4","U,0507","-7.2","U,0320","-8.9","U,0223","4161.8","","4161.8","U","7.11","U","13.51","U","0.72","U"
