"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MPOP","1994","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","245.2","","245.2","U","45","U","170","U","77","U","130","U","24","U","-32.8","U,0209,","37.8","U,0815,","-0.6","U,1007","-4.4","U,1022","-4.4","U,1022","-6.7","U,1102","-8.9","U,1103","-3.9","U,0430","-3.9","U,0430","-5.6","U,0427","-6.7","U,0309","-8.9","U,0308","4809.9","","4809.9","U","5.86","U","12.19","U","-0.46","U"
"USR0000MPOP","1995","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","290.0","","290.0","U","36","U","172","U","87","U","112","U","25","U","-28.3","U,1208,","41.7","U,0807,","-0.6","U,0919","-5.0","U,0920","-5.0","U,0920","-8.3","U,0921","-15.0","U,1101","0.0","U,0513","-3.9","U,0430","-6.1","U,0411","-6.7","U,0410","-10.6","U,0404","4398.0","","4398.0","U","5.89","U","12.16","U","-0.38","U"
"USR0000MPOP","1997","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","323.6","","323.6","U","30","U","171","U","84","U","128","U","24","U","-35.6","U,0110,","37.8","U,0827,","-1.1","U,0919","-2.8","U,1012","-5.0","U,1013","-8.3","U,1024","-11.1","U,1110","0.0","U,0520","-4.4","U,0415","-4.4","U,0415","-7.8","U,0412","-10.0","U,0411","5211.4","","5211.4","U","6.26","U","12.55","U","-0.03","U"
"USR0000MPOP","1998","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","384.4","","384.4","U","33","U","153","U","69","U","132","U","32","U","-32.8","U,0113,+","38.9","U,0904,","-0.6","U,1001","-2.8","U,1012","-6.1","U,1105","-10.6","U,1110","-10.6","U,1110","0.0","U,0501","-3.3","U,0419","-4.4","U,0330","-8.3","U,0321","-8.9","U,0320","4219.3","","4219.3","U","7.29","U","13.35","U","1.23","U"
"USR0000MPOP","1999","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","204.9","","204.9","U","17","U","174","U","47","U","119","U","18","U","-27.8","U,0104,","37.2","U,0729,","0.0","U,0914","-7.2","U,1002","-7.2","U,1002","-7.2","U,1002","-8.9","U,1123","-0.6","U,0511","-2.8","U,0423","-4.4","U,0417","-8.3","U,0404","-9.4","U,0311","4164.9","","4164.9","U","7.34","U","13.82","U","0.86","U"
"USR0000MPOP","2000","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","303.1","","303.1","U","37","U","169","U","80","U","132","U","26","U","-29.4","U,1224,","40.0","U,0810,","0.0","U,0923","-7.8","U,1004","-7.8","U,1004","-7.8","U,1004","-8.9","U,1005","-2.8","U,0513","-2.8","U,0513","-7.2","U,0416","-7.2","U,0416","-10.6","U,0316","4008.2","","4008.2","U","6.16","U","12.80","U","-0.48","U"
"USR0000MPOP","2001","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","325.6","","325.6","U","23","U","170","U","73","U","123","U","25","U","-26.7","U,0227,+","37.2","U,0828,+","-3.3","U,1004","-3.3","U,1004","-6.1","U,1016","-6.7","U,1025","-12.2","U,1126","-0.6","U,0521","-7.8","U,0422","-7.8","U,0422","-7.8","U,0422","-10.0","U,0416","4779.5","","4779.5","U","7.05","U","13.65","U","0.44","U"
"USR0000MPOP","2002","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","282.9","","282.9","U","33","U","212","U","78","U","110","U","21","U","-28.3","U,0130,","41.7","U,0714,","0.0","U,0922","-2.2","U,1002","-6.1","U,1012","-14.4","U,1021","-14.4","U,1021","-1.1","U,0523","-2.2","U,0517","-4.4","U,0509","-6.7","U,0501","-9.4","U,0425","4688.7","","4688.7","U","5.50","U","12.02","U","-1.03","U"
"USR0000MPOP","2003","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","391.1","","391.1","U","42","U","171","U","97","U","130","U","37","U","-31.1","U,0224,","39.4","U,0816,+","0.0","U,0928","-3.9","U,0930","-7.2","U,1030","-7.2","U,1030","-12.8","U,1031","0.0","U,0519","-3.9","U,0406","-5.6","U,0404","-6.7","U,0402","-8.9","U,0329","4654.5","","4654.5","U","6.02","U","12.53","U","-0.49","U"
"USR0000MPOP","2004","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","132.2","","132.2","U","28","U","185","U","65","U","112","U","8","U","-33.9","U,0129,","39.4","U,0901,","0.0","U,0921","-7.8","U,1001","-7.8","U,1001","-7.8","U,1001","-10.0","U,1120","0.0","U,0525","-2.8","U,0417","-7.8","U,0411","-7.8","U,0411","-10.0","U,0321","4963.3","","4963.3","U","5.51","U","11.94","U","-0.92","U"
"USR0000MPOP","2005","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","264.0","","264.0","U","30","U","170","U","57","U","122","U","28","U","-33.9","U,0114,+","38.3","U,0903,+","-1.1","U,0928","-5.6","U,1006","-5.6","U,1006","-6.7","U,1023","-15.6","U,1115","-2.2","U,0514","-2.2","U,0514","-4.4","U,0430","-10.0","U,0325","-10.0","U,0325","4198.5","","4198.5","U","6.83","U","13.46","U","0.20","U"
"USR0000MPOP","2006","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","371.7","","371.7","U","12","U","174","U","59","U","128","U","36","U","-30.0","U,0217,","37.8","U,0727,+","-0.6","U,0919","-4.4","U,1010","-4.4","U,1010","-8.3","U,1011","-8.9","U,1013","-1.7","U,0505","-6.7","U,0407","-6.7","U,0407","-6.7","U,0407","-13.3","U,0323","4138.9","","4138.9","U","7.41","U","13.80","U","1.01","U"
"USR0000MPOP","2007","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","372.0","","372.0","U","31","U","162","U","71","U","126","U","30","U","-28.3","U,0214,","42.8","U,0724,","-1.7","U,0914","-2.8","U,1026","-6.1","U,1027","-11.7","U,1106","-11.7","U,1106","0.0","U,0501","-4.4","U,0413","-4.4","U,0413","-7.2","U,0412","-10.6","U,0408","4575.4","","4575.4","U","7.03","U","13.52","U","0.53","U"
"USR0000MPOP","2008","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","254.4","","254.4","U","42","U","192","U","66","U","114","U","20","U","-33.9","U,1215,","38.3","U,0825,+","-2.2","U,1009","-2.2","U,1009","-4.4","U,1015","-8.9","U,1026","-8.9","U,1026","-1.1","U,0510","-4.4","U,0428","-4.4","U,0428","-8.9","U,0423","-8.9","U,0423","4697.3","","4697.3","U","5.55","U","12.37","U","-1.28","U"
"USR0000MPOP","2009","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","205.9","","205.9","U","50","U","185","U","90","U","121","U","15","U","-34.4","U,0115,","36.7","U,0906,+","0.0","U,0928","-3.3","U,1008","-8.3","U,1009","-8.3","U,1009","-10.6","U,1129","0.0","U,0523","-3.3","U,0425","-7.2","U,0406","-7.2","U,0406","-10.0","U,0327","4953.6","","4953.6","U","4.74","U","11.04","U","-1.56","U"
"USR0000MPOP","2010","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","217.8","","217.8","U","43","U","168","U","98","U","123","U","15","U","-33.9","U,0108,","37.8","U,0821,","-0.6","U,0917","-2.2","U,1017","-8.3","U,1027","-8.3","U,1027","-11.7","U,1028","-0.6","U,0508","-2.8","U,0427","-4.4","U,0411","-6.7","U,0326","-11.1","U,0306","4817.3","","4817.3","U","5.25","U","11.20","U","-0.71","U"
"USR0000MPOP","2011","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","262.7","","262.7","U","43","U","186","U","76","U","115","U","16","U","-35.6","U,0201,","35.0","U,0718,","-1.7","U,0914","-3.3","U,1016","-4.4","U,1026","-7.2","U,1102","-9.4","U,1115","0.0","U,0515","-2.2","U,0501","-6.1","U,0404","-6.7","U,0327","-10.6","U,0325","5079.9","","5079.9","U","5.45","U","11.47","U","-0.58","U"
"USR0000MPOP","2012","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","336.0","","336.0","U","23","U","163","U","66","U","133","U","27","U","-28.3","U,0118,","38.3","U,0828,","-1.7","U,0922","-2.2","U,1004","-7.2","U,1006","-7.2","U,1006","-8.9","U,1109","-0.6","U,0511","-2.2","U,0418","-8.9","U,0410","-8.9","U,0410","-8.9","U,0410","3910.3","","3910.3","U","7.39","U","14.07","U","0.71","U"
"USR0000MPOP","2013","48.1269","-105.0731","738.5","POPLAR MONTANA, MT US","225.5","","225.5","U","42","U","193","U","92","U","122","U","15","U","-34.4","U,1207,","35.0","U,0905,+","-1.7","U,1004","-5.0","U,1005","-5.0","U,1005","-10.6","U,1104","-10.6","U,1104","-1.7","U,0511","-2.2","U,0502","-6.7","U,0501","-6.7","U,0501","-10.0","U,0418","4839.1","","4839.1","U","4.88","U","10.94","U","-1.18","U"
