"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MTRY","2002","48.4667","-115.9167","594.4","TROY MONTANA, MT US","159.0","","159.0","U","0","U","170","U","26","U","120","U","31","U","-16.1","U,0308,","41.7","U,0712,","-2.2","U,0921","-2.2","U,0921","-7.2","U,1012","-7.2","U,1012","-10.6","U,1024","-0.6","U,0515","-3.3","U,0510","-5.6","U,0508","-6.7","U,0403","-12.2","U,0321","3718.4","","3718.4","U","8.02","U","14.88","U","1.16","U"
"USR0000MTRY","2003","48.4667","-115.9167","594.4","TROY MONTANA, MT US","248.0","","248.0","U","1","U","164","U","29","U","136","U","50","U","-17.8","U,1230,","40.0","U,0730,","0.0","U,1001","-2.2","U,1024","-6.7","U,1030","-6.7","U,1030","-10.0","U,1031","-1.1","U,0520","-2.2","U,0506","-5.6","U,0309","-7.2","U,0308","-10.6","U,0226","3632.3","","3632.3","U","8.84","U","15.88","U","1.80","U"
"USR0000MTRY","2005","48.4667","-115.9167","594.4","TROY MONTANA, MT US","106.8","","106.8","U","8","U","151","U","34","U","121","U","29","U","-25.0","U,0115,","38.3","U,0731,","0.0","U,0921","-2.2","U,0925","-4.4","U,1127","-7.2","U,1128","-13.3","U,1203","0.0","U,0524","-2.2","U,0429","-4.4","U,0409","-6.7","U,0314","-9.4","U,0223","3667.0","","3667.0","U","8.07","U","15.17","U","0.98","U"
"USR0000MTRY","2006","48.4667","-115.9167","594.4","TROY MONTANA, MT US","225.6","","225.6","U","2","U","164","U","23","U","138","U","54","U","-20.0","U,0218,","40.6","U,0723,+","-1.1","U,1002","-3.9","U,1009","-9.4","U,1030","-9.4","U,1030","-9.4","U,1030","-0.6","U,0514","-2.8","U,0510","-4.4","U,0320","-6.7","U,0314","-10.0","U,0313","3746.8","","3746.8","U","8.85","U","16.22","U","1.47","U"
"USR0000MTRY","2007","48.4667","-115.9167","594.4","TROY MONTANA, MT US","225.7","","225.7","U","5","U","148","U","29","U","125","U","49","U","-20.0","U,0114,","42.2","U,0713,","-0.6","U,0930","-2.8","U,1025","-4.4","U,1026","-6.7","U,1102","-8.9","U,1122","-1.1","U,0506","-4.4","U,0421","-4.4","U,0421","-12.2","U,0302","-12.2","U,0302","3712.8","","3712.8","U","8.62","U","15.85","U","1.39","U"
"USR0000MTRY","2008","48.4667","-115.9167","594.4","TROY MONTANA, MT US","130.7","","130.7","U","10","U","192","U","31","U","116","U","26","U","-23.9","U,1216,+","41.1","U,0818,+","-1.7","U,1008","-2.8","U,1009","-5.6","U,1011","-6.7","U,1012","-8.9","U,1204","-0.6","U,0510","-3.9","U,0502","-6.1","U,0420","-7.2","U,0402","-13.3","U,0126","4012.6","","4012.6","U","7.43","U","14.62","U","0.23","U"
"USR0000MTRY","2009","48.4667","-115.9167","594.4","TROY MONTANA, MT US","163.1","","163.1","U","8","U","176","U","40","U","129","U","38","U","-22.8","U,0126,","37.2","U,0801,","-1.7","U,0921","-2.2","U,0928","-4.4","U,1008","-7.8","U,1009","-11.1","U,1010","0.0","U,0610","-3.3","U,0502","-4.4","U,0406","-8.3","U,0326","-12.2","U,0313","4094.7","","4094.7","U","7.52","U","14.70","U","0.34","U"
"USR0000MTRY","2010","48.4667","-115.9167","594.4","TROY MONTANA, MT US","97.6","","97.6","U","3","U","170","U","29","U","102","U","18","U","-22.2","U,1124,","36.7","U,0726,","-0.6","U,1012","-2.2","U,1015","-6.7","U,1120","-6.7","U,1120","-13.3","U,1122","-2.2","U,0524","-2.2","U,0524","-4.4","U,0405","-6.7","U,0320","-8.9","U,0221","3868.8","","3868.8","U","8.06","U","14.48","U","1.64","U"
"USR0000MTRY","2011","48.4667","-115.9167","594.4","TROY MONTANA, MT US","109.7","","109.7","U","6","U","174","U","31","U","119","U","37","U","-22.2","U,0226,","37.8","U,0828,","-0.6","U,0929","-3.3","U,1025","-4.4","U,1101","-6.7","U,1103","-8.9","U,1115","0.0","U,0530","-2.2","U,0504","-4.4","U,0420","-6.7","U,0306","-11.7","U,0227","4164.2","","4164.2","U","7.32","U","14.11","U","0.53","U"
"USR0000MTRY","2012","48.4667","-115.9167","594.4","TROY MONTANA, MT US","162.9","","162.9","U","0","U","170","U","17","U","130","U","41","U","-13.3","U,0228,","38.3","U,0819,+","-1.7","U,0912","-3.9","U,1004","-6.7","U,1005","-6.7","U,1005","","","0.0","U,0513","-2.2","U,0512","-5.0","U,0408","-8.3","U,0307","-13.3","U,0228","3871.3","","3871.3","U","8.66","U","15.56","U","1.75","U"
