"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MWIN","2003","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","874.7","","874.7","U","0","U","69","U","4","U","223","U","47","U","-15.6","U,0124,","36.7","U,0818,+","-3.3","U,1124","-3.3","U,1124","-5.6","U,1125","-7.2","U,1225","","","0.0","U,0311","-2.2","U,0307","-4.4","U,0303","-10.6","U,0208","-10.6","U,0208","1866.6","","1866.6","U","15.71","U","21.90","U","9.50","U"
"USR0000MWIN","2005","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1024.8","","1024.8","U","0","U","70","U","1","U","207","U","69","U","-10.6","U,1210,","37.2","U,0822,+","0.0","U,1025","-2.2","U,1026","-4.4","U,1117","-8.3","U,1206","-10.6","U,1210","0.0","U,0403","-2.2","U,0318","-6.7","U,0302","-6.7","U,0302","","","1564.4","","1564.4","U","16.20","U","22.51","U","9.88","U"
"USR0000MWIN","2006","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1734.7","","1734.7","","","","","","",""
"USR0000MWIN","2007","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1177.0","","1177.0","U","0","U","70","U","3","U","233","U","78","U","-11.1","U,0129,","41.1","U,0815,","-1.7","U,1106","-3.3","U,1107","-6.1","U,1217","","","","","0.0","U,0416","-3.9","U,0408","-5.0","U,0305","-7.2","U,0218","-9.4","U,0216","","","","","16.92","U","23.45","U","10.38","U"
"USR0000MWIN","2009","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","870.1","","870.1","U","0","U","66","U","3","U","204","U","36","U","-13.3","U,0116,","35.6","U,0627,+","-0.6","U,1019","-2.2","U,1126","-6.1","U,1205","-6.7","U,1210","","","-0.6","U,0408","-7.2","U,0303","-7.2","U,0303","-7.2","U,0303","-10.6","U,0205","1798.5","","1798.5","U","15.51","U","21.32","U","9.70","U"
"USR0000MWIN","2010","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1180.5","","1180.5","U","0","U","85","U","9","U","222","U","83","U","-14.4","U,0110,","39.4","U,0803,","-1.7","U,1030","-2.8","U,1106","-4.4","U,1202","-7.2","U,1206","-8.9","U,1209","0.0","U,0323","-5.0","U,0306","-5.0","U,0306","-8.3","U,0225","-8.9","U,0131","2044.0","","2044.0","U","15.88","U","22.34","U","9.43","U"
"USR0000MWIN","2011","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1100.8","","1100.8","U","0","U","63","U","5","U","219","U","83","U","-14.4","U,0211,+","40.0","U,0803,","-1.1","U,1021","-3.3","U,1111","-5.0","U,1118","","","","","-0.6","U,0316","-3.3","U,0311","-4.4","U,0212","-14.4","U,0211","-14.4","U,0211","1796.2","","1796.2","U","16.42","U","22.78","U","10.06","U"
"USR0000MWIN","2012","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1050.4","","1050.4","U","0","U","51","U","0","U","230","U","65","U","-8.3","U,0212,","40.6","U,0629,","-0.6","U,1030","-2.2","U,1112","-5.6","U,1125","-6.7","U,1222","","","-1.1","U,0304","-2.2","U,0226","-6.7","U,0213","-6.7","U,0213","","","1452.7","","1452.7","U","17.17","U","23.68","U","10.65","U"
"USR0000MWIN","2013","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","969.9","","969.9","U","0","U","88","U","3","U","203","U","56","U","-8.9","U,1128,","37.2","U,0908,","-0.6","U,1025","-3.9","U,1113","-6.1","U,1114","-7.2","U,1127","-8.9","U,1128","0.0","U,0504","-5.6","U,0327","-5.6","U,0327","-6.7","U,0303","","","1834.7","","1834.7","U","15.58","U","21.74","U","9.42","U"
"USR0000MWIN","2014","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","906.3","","906.3","U","0","U","83","U","6","U","202","U","41","U","-17.2","U,0129,","36.1","U,0823,","-2.2","U,1101","-2.2","U,1101","-4.4","U,1113","-8.9","U,1118","-8.9","U,1118","-2.2","U,0416","-2.2","U,0416","-5.0","U,0326","-7.8","U,0304","-9.4","U,0227","2070.3","","2070.3","U","15.00","U","21.23","U","8.78","U"
"USR0000MWIN","2015","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1015.7","","1015.7","U","0","U","64","U","8","U","220","U","59","U","-16.1","U,0108,","37.2","U,0803,","-1.1","U,1114","-4.4","U,1122","-4.4","U,1122","","","","","-0.6","U,0329","-2.2","U,0328","-6.1","U,0307","-10.0","U,0306","-10.0","U,0306","1909.6","","1909.6","U","16.43","U","22.39","U","10.47","U"
"USR0000MWIN","2016","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1173.6","","1173.6","U","0","U","57","U","1","U","235","U","79","U","-10.6","U,0111,","36.7","U,0722,","-2.2","U,1120","-2.2","U,1120","-4.4","U,1208","-7.2","U,1210","-8.9","U,1220","-0.6","U,0321","-3.3","U,0227","-7.8","U,0210","-7.8","U,0210","-8.9","U,0119","1435.3","","1435.3","U","17.20","U","23.50","U","10.90","U"
"USR0000MWIN","2017","34.6203","-89.3142","152.4","WINBORN MISSISSIPPI, MS US","1001.4","","1001.4","U","0","U","55","U","5","U","242","U","42","U","-13.9","U,0108,","36.7","U,0721,","0.0","U,1028","-2.2","U,1029","-5.0","U,1120","-6.7","U,1209","-8.9","U,1228","-1.1","U,0316","-3.9","U,0315","-4.4","U,0226","-6.7","U,0109","-13.9","U,0108","1276.0","","1276.0","U","17.19","U","23.32","U","11.06","U"
