"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000NCHE","2005","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","592.3","","592.3","U","0","U","89","U","3","U","194","U","12","U","-14.4","U,0124,","34.4","U,0726,","0.0","U,1026","-2.2","U,1029","-4.4","U,1117","-7.2","U,1118","-10.0","U,1221","-0.6","U,0504","-2.2","U,0319","-5.0","U,0309","-7.2","U,0211","-14.4","U,0124","2021.0","","2021.0","U","13.95","U","20.35","U","7.55","U"
"USR0000NCHE","2006","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","551.6","","551.6","U","0","U","92","U","1","U","189","U","19","U","-11.1","U,1209,","35.0","U,0622,","-1.1","U,1013","-2.2","U,1014","-6.1","U,1104","-7.2","U,1205","-8.9","U,1207","-0.6","U,0410","-5.6","U,0327","-5.6","U,0327","-7.8","U,0227","-8.9","U,0214","2092.9","","2092.9","U","14.08","U","20.82","U","7.34","U"
"USR0000NCHE","2007","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","610.8","","610.8","U","0","U","85","U","1","U","203","U","29","U","-13.3","U,0129,","36.7","U,0816,","-1.7","U,1031","-2.8","U,1107","-5.0","U,1108","","","","","-3.3","U,0410","-3.3","U,0410","-5.6","U,0407","-9.4","U,0219","-9.4","U,0219","2150.6","","2150.6","U","14.34","U","21.35","U","7.32","U"
"USR0000NCHE","2008","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","","","","","0","U","58","U","1","U","193","U","14","U","-13.3","U,0121,","34.4","U,0609,","0.0","U,1028","-2.2","U,1030","-4.4","U,1221","-11.1","U,1222","-11.1","U,1222","-0.6","U,0430","-5.6","U,0325","-5.6","U,0325","-6.7","U,0227","-13.3","U,0121","1917.8","","1917.8","U","14.47","U","20.90","U","8.03","U"
"USR0000NCHE","2011","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","727.5","","727.5","U","0","U","95","U","4","U","201","U","59","U","-16.1","U,0114,","35.6","U,0902,+","-1.1","U,1022","-2.8","U,1030","-5.6","U,1118","","","","","-1.1","U,0505","-2.8","U,0406","-6.1","U,0213","-7.8","U,0212","-16.1","U,0114","","","","","14.71","U","21.88","U","7.54","U"
"USR0000NCHE","2012","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","659.7","","659.7","U","0","U","81","U","2","U","216","U","39","U","-11.1","U,0104,","40.0","U,0701,+","-0.6","U,1101","-2.2","U,1109","-6.7","U,1125","-6.7","U,1125","","","-1.7","U,0413","-2.8","U,0412","-5.6","U,0306","-10.6","U,0213","-10.6","U,0213","1731.5","","1731.5","U","15.28","U","22.46","U","8.10","U"
"USR0000NCHE","2013","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","569.3","","569.3","U","0","U","96","U","2","U","192","U","6","U","-10.0","U,1128,","33.3","U,0612,","0.0","U,1023","-2.2","U,1025","-4.4","U,1026","-8.3","U,1113","-10.0","U,1128","-0.6","U,0426","-3.9","U,0329","-5.0","U,0328","-8.3","U,0304","","","2099.2","","2099.2","U","13.96","U","20.36","U","7.55","U"
"USR0000NCHE","2014","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","642.8","","642.8","U","1","U","106","U","6","U","197","U","18","U","-18.9","U,0107,","33.9","U,0829,+","-0.6","U,1005","-2.2","U,1102","-6.7","U,1114","-6.7","U,1114","-8.9","U,1115","-1.1","U,0417","-3.3","U,0416","-5.0","U,0326","-8.9","U,0228","-8.9","U,0228","2145.6","","2145.6","U","13.90","U","20.96","U","6.84","U"
"USR0000NCHE","2015","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","695.0","","695.0","U","1","U","80","U","4","U","216","U","39","U","-17.8","U,0220,","35.0","U,0616,","0.0","U,1017","-2.2","U,1114","-6.7","U,1123","-6.7","U,1123","","","-2.2","U,0405","-2.2","U,0405","-6.7","U,0329","-6.7","U,0329","-17.8","U,0220","2138.1","","2138.1","U","15.10","U","21.89","U","8.29","U"
"USR0000NCHE","2016","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","784.4","","784.4","U","0","U","87","U","4","U","225","U","49","U","-12.8","U,0124,","35.6","U,0826,","-0.6","U,1023","-2.8","U,1111","-4.4","U,1121","-6.7","U,1127","-10.0","U,1210","-2.8","U,0410","-2.8","U,0410","-5.0","U,0227","-9.4","U,0214","-9.4","U,0214","1740.1","","1740.1","U","15.12","U","22.32","U","7.93","U"
"USR0000NCHE","2017","35.3333","-83.8167","640.1","CHEOAH NORTH CAROLINA, NC US","597.4","","597.4","U","0","U","75","U","4","U","210","U","14","U","-16.7","U,0108,","34.4","U,0721,","-0.6","U,1026","-4.4","U,1120","-4.4","U,1120","-6.7","U,1213","-9.4","U,1231","-1.1","U,0409","-2.8","U,0320","-4.4","U,0317","-8.9","U,0316","-8.9","U,0316","1671.5","","1671.5","U","15.13","U","21.98","U","8.28","U"
