"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000NMTI","2004","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","925.8","","925.8","U","0","U","94","U","1","U","226","U","66","U","-10.6","U,1220,","37.8","U,0710,","0.0","U,1106","-3.3","U,1115","-4.4","U,1214","-6.7","U,1215","-10.6","U,1220","-1.7","U,0406","-5.6","U,0323","-5.6","U,0323","-7.2","U,0228","-9.4","U,0107","1866.9","","1866.9","U","15.90","U","23.04","U","8.77","U"
"USR0000NMTI","2005","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","932.6","","932.6","U","0","U","94","U","0","U","222","U","72","U","-12.8","U,0124,","39.4","U,0727,","0.0","U,1024","-2.2","U,1111","-5.6","U,1119","-8.3","U,1222","","","0.0","U,0425","-2.2","U,0319","-6.1","U,0304","-12.8","U,0124","-12.8","U,0124","1701.7","","1701.7","U","15.80","U","23.10","U","8.50","U"
"USR0000NMTI","2006","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","890.4","","890.4","U","0","U","79","U","0","U","225","U","78","U","-10.6","U,1209,","40.0","U,0622,","-1.1","U,1014","-2.2","U,1024","-4.4","U,1105","-8.9","U,1208","-8.9","U,1208","0.0","U,0410","-3.9","U,0327","-5.6","U,0305","-7.8","U,0227","","","1718.7","","1718.7","U","16.12","U","23.94","U","8.29","U"
"USR0000NMTI","2007","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","1064.6","","1064.6","U","0","U","87","U","0","U","239","U","104","U","-8.9","U,1218,+","42.2","U,0809,","0.0","U,1029","-3.3","U,1107","-4.4","U,1206","-8.9","U,1218","-8.9","U,1218","-1.7","U,0410","-6.1","U,0408","-6.1","U,0408","-7.8","U,0219","-8.9","U,0217","1729.3","","1729.3","U","16.62","U","24.75","U","8.49","U"
"USR0000NMTI","2008","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","871.1","","871.1","U","0","U","94","U","0","U","217","U","78","U","-11.1","U,0121,","40.0","U,0609,","0.0","U,1020","-2.2","U,1029","-5.0","U,1118","-7.2","U,1119","-9.4","U,1122","0.0","U,0430","-3.9","U,0325","-6.1","U,0309","-8.9","U,0228","-8.9","U,0228","1715.0","","1715.0","U","15.62","U","23.17","U","8.06","U"
"USR0000NMTI","2009","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","918.2","","918.2","U","0","U","73","U","0","U","222","U","79","U","-13.3","U,0117,","37.8","U,0811,+","-0.6","U,1019","-2.2","U,1128","-5.0","U,1212","","","","","0.0","U,0417","-4.4","U,0305","-4.4","U,0305","-7.8","U,0304","-9.4","U,0303","1867.1","","1867.1","U","15.83","U","23.05","U","8.61","U"
"USR0000NMTI","2010","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","1244.5","","1244.5","U","0","U","94","U","1","U","231","U","123","U","-12.2","U,1215,","40.6","U,0723,+","-2.2","U,1107","-2.2","U,1107","-5.0","U,1205","-11.1","U,1207","-11.1","U,1207","0.0","U,0331","-5.0","U,0307","-5.0","U,0307","-7.2","U,0217","-9.4","U,0131","1850.5","","1850.5","U","16.26","U","24.05","U","8.46","U"
"USR0000NMTI","2011","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","1074.4","","1074.4","U","0","U","88","U","1","U","236","U","99","U","-11.1","U,0109,","40.0","U,0730,+","0.0","U,1029","-2.8","U,1112","-4.4","U,1119","","","","","-1.1","U,0406","-2.8","U,0312","-5.0","U,0213","-7.8","U,0211","-10.0","U,0123","1933.0","","1933.0","U","16.50","U","24.20","U","8.79","U"
"USR0000NMTI","2012","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1445.4","","1445.4","U","","","","","",""
"USR0000NMTI","2014","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","918.8","","918.8","U","0","U","100","U","2","U","220","U","83","U","-14.4","U,0107,","37.8","U,0903,","-1.7","U,1102","-3.3","U,1103","-7.8","U,1118","-7.8","U,1118","-9.4","U,1119","0.0","U,0417","-4.4","U,0327","-4.4","U,0327","-10.6","U,0131","-10.6","U,0131","1847.1","","1847.1","U","15.52","U","22.98","U","8.07","U"
"USR0000NMTI","2015","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","1057.3","","1057.3","U","0","U","69","U","1","U","234","U","92","U","-15.0","U,0220,","39.4","U,0624,","0.0","U,1019","-2.8","U,1115","-4.4","U,1219","","","","","-0.6","U,0405","-3.9","U,0329","-6.1","U,0307","-15.0","U,0220","-15.0","U,0220","1859.0","","1859.0","U","16.78","U","23.89","U","9.67","U"
"USR0000NMTI","2017","35.3789","-80.9925","152.4","MOUNT ISLAND LAKE NORTH CAROLINA, NC US","882.8","","882.8","U","0","U","63","U","1","U","236","U","43","U","-12.8","U,0108,","36.7","U,0721,","-1.7","U,1030","-3.3","U,1120","-4.4","U,1210","-7.8","U,1229","","","0.0","U,0408","-6.1","U,0317","-6.1","U,0317","-7.8","U,0316","-11.1","U,0109","","","","","16.52","U","23.33","U","9.71","U"
