"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000NRKM","2003","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","1050.7","","1050.7","U","0","U","64","U","2","U","222","U","70","U","-10.0","U,0124,+","38.9","U,0827,","-0.6","U,1130","-2.2","U,1203","-5.0","U,1221","","","0.0","U,0312","-2.2","U,0217","-8.3","U,0128","-8.3","U,0128","-10.0","U,0124","1808.7","","1808.7","U","16.61","U","22.79","U","10.43","U"
"USR0000NRKM","2004","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1648.3","","1648.3","U","","","","","",""
"USR0000NRKM","2006","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1495.6","","1495.6","U","","","","","",""
"USR0000NRKM","2007","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","1328.8","","1328.8","U","0","U","53","U","0","U","238","U","115","U","-8.3","U,0206,","43.3","U,0809,","0.0","U,1108","-2.8","U,1206","-5.0","U,1218","","","0.0","U,0410","-2.2","U,0408","-5.6","U,0219","-7.2","U,0217","","","","","","","17.75","U","24.75","U","10.74","U"
"USR0000NRKM","2008","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","1129.9","","1129.9","U","0","U","53","U","0","U","223","U","90","U","-7.8","U,0121,+","41.1","U,0608,+","0.0","U,1030","-2.2","U,1119","-4.4","U,1122","","","0.0","U,0310","-3.3","U,0229","-5.0","U,0122","-7.8","U,0121","","","1439.2","","1439.2","U","17.19","U","23.81","U","10.57","U"
"USR0000NRKM","2009","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","1148.0","","1148.0","U","0","U","56","U","1","U","220","U","84","U","-12.2","U,0117,","40.0","U,0811,","0.0","U,1107","-2.2","U,1211","-4.4","U,1212","","","-0.6","U,0322","-2.8","U,0305","-7.2","U,0304","-7.2","U,0304","-9.4","U,0121","1672.5","","1672.5","U","16.87","U","23.10","U","10.63","U"
"USR0000NRKM","2010","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","1388.9","","1388.9","U","0","U","79","U","1","U","221","U","114","U","-7.8","U,1215,+","41.7","U,0707,","-1.1","U,1128","-2.8","U,1206","-4.4","U,1207","-7.8","U,1215","-2.8","U,0307","-2.8","U,0307","-4.4","U,0208","-7.8","U,0131","","","1743.8","","1743.8","U","16.92","U","23.44","U","10.40","U"
"USR0000NRKM","2011","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","1212.4","","1212.4","U","0","U","56","U","1","U","231","U","89","U","-8.9","U,0123,","41.1","U,0722,","0.0","U,1030","-2.2","U,1219","","","","","-0.6","U,0329","-3.3","U,0212","-5.0","U,0211","-8.9","U,0123","-8.9","U,0123","1728.3","","1728.3","U","17.56","U","24.04","U","11.08","U"
"USR0000NRKM","2012","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","1168.3","","1168.3","U","0","U","37","U","0","U","228","U","79","U","-7.2","U,0104,","42.8","U,0629,","0.0","U,1106","-4.4","U,1125","-4.4","U,1125","","","0.0","U,0311","-2.2","U,0306","-4.4","U,0213","-7.2","U,0104","","","1277.8","","1277.8","U","17.67","U","24.21","U","11.12","U"
"USR0000NRKM","2013","35.9731","-77.7986","32.0","ROCKY MOUNT NORTH CAROLINA, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1746.2","","1746.2","U","","","","","",""
