"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000NSUN","2003","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1029.6","","1029.6","U","0","U","35","U","0","U","231","U","9","U","-8.9","U,0124,","33.3","U,0709,","0.0","U,1130","-2.8","U,1221","","","","","0.0","U,0217","-5.6","U,0128","-5.6","U,0128","-8.3","U,0125","-8.9","U,0124","1367.6","","1367.6","U","17.55","U","22.18","U","12.92","U"
"USR0000NSUN","2005","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1194.1","","1194.1","U","0","U","27","U","0","U","220","U","28","U","-7.8","U,0124,","35.6","U,0821,+","0.0","U,1207","-2.8","U,1222","","","","","-2.8","U,0309","-2.8","U,0309","-4.4","U,0128","-7.8","U,0124","","","1352.4","","1352.4","U","17.82","U","22.45","U","13.19","U"
"USR0000NSUN","2006","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1066.0","","1066.0","U","0","U","26","U","0","U","230","U","29","U","-6.1","U,1209,","37.8","U,0804,","0.0","U,1204","-2.2","U,1205","-4.4","U,1208","","","0.0","U,0327","-3.3","U,0227","","","","","","","1221.9","","1221.9","U","17.99","U","23.18","U","12.79","U"
"USR0000NSUN","2007","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1220.8","","1220.8","U","0","U","30","U","0","U","251","U","31","U","-6.1","U,0217,","35.0","U,0821,+","0.0","U,1116","-2.8","U,1217","","","","","-0.6","U,0408","-2.8","U,0219","-6.1","U,0217","","","","","1201.1","","1201.1","U","18.45","U","23.63","U","13.27","U"
"USR0000NSUN","2008","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","","","","","0","U","29","U","0","U","228","U","22","U","-7.2","U,0104,","36.1","U,0721,","0.0","U,1118","-2.8","U,1119","","","","","0.0","U,0309","-2.2","U,0229","-5.0","U,0105","-7.2","U,0104","","","1050.2","","1050.2","U","18.12","U","23.10","U","13.13","U"
"USR0000NSUN","2009","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1111.0","","1111.0","U","0","U","33","U","0","U","221","U","19","U","-6.7","U,0206,","35.6","U,0627,","0.0","U,1128","","","","","","","-2.8","U,0305","-2.8","U,0305","-6.7","U,0206","-6.7","U,0206","","","","","","","17.72","U","22.21","U","13.22","U"
"USR0000NSUN","2010","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1252.4","","1252.4","U","0","U","58","U","0","U","221","U","36","U","-7.8","U,1215,","36.7","U,0707,","0.0","U,1202","-2.2","U,1206","-5.0","U,1207","-7.8","U,1215","-1.1","U,0307","-3.3","U,0217","-4.4","U,0131","","","","","1439.1","","1439.1","U","17.30","U","22.09","U","12.51","U"
"USR0000NSUN","2011","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","","","","","0","U","27","U","","","","","","","-7.8","U,0123,","","","0.0","U,1112","","","","","","","0.0","U,0213","-2.2","U,0124","-7.8","U,0123","-7.8","U,0123","","","1472.4","","1472.4","U","","","","","13.49","U"
"USR0000NSUN","2012","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1146.0","","1146.0","U","0","U","13","U","0","U","236","U","28","U","-6.7","U,0104,","35.0","U,0723,","-1.7","U,1125","","","","","","","-3.9","U,0213","-3.9","U,0213","-6.7","U,0104","-6.7","U,0104","","","","","","","18.47","U","23.38","U","13.56","U"
"USR0000NSUN","2015","34.0028","-77.9581","9.1","SUNNY POINT NORTH CAROLINA, NC US","1216.2","","1216.2","U","0","U","42","U","0","U","254","U","43","U","-10.0","U,0220,","38.3","U,0616,","0.0","U,1115","-2.8","U,1220","","","","","-0.6","U,0330","-4.4","U,0307","-4.4","U,0307","-6.7","U,0221","-10.0","U,0220","1418.2","","1418.2","U","18.36","U","23.82","U","12.91","U"
