"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OHAW","1988","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","289.7","","289.7","U","0","U","63","U","0","U","125","U","20","U","-6.1","U,0202,","38.9","U,0902,","0.0","U,1116","-2.8","U,1214","-5.0","U,1225","","","","","-0.6","U,0504","-2.8","U,0408","-6.1","U,0202","","","","","2805.7","","2805.7","U","11.58","U","16.87","U","6.29","U"
"USR0000OHAW","1990","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","191.4","","191.4","U","2","U","79","U","13","U","101","U","10","U","-19.4","U,1221,","35.0","U,0804,","0.0","U,1101","-2.2","U,1130","-5.0","U,1218","-13.3","U,1219","-13.3","U,1219","0.0","U,0508","-3.3","U,0313","-6.1","U,0218","-10.0","U,0214","-10.0","U,0214","2815.3","","2815.3","U","10.11","U","14.97","U","5.25","U"
"USR0000OHAW","1991","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3246.5","","3246.5","U","","","","","",""
"USR0000OHAW","1992","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","278.1","","278.1","U","0","U","40","U","1","U","140","U","13","U","-3.9","U,1229,","36.7","U,0811,","0.0","U,1109","-2.2","U,1216","","","","","","","-1.1","U,0422","-2.8","U,0112","","","","","","","","","","","12.54","U","17.69","U","7.39","U"
"USR0000OHAW","1994","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","149.9","","149.9","U","0","U","70","U","2","U","116","U","7","U","-7.8","U,1204,","35.0","U,0721,+","-0.6","U,1101","-2.2","U,1102","-5.6","U,1118","-7.8","U,1204","","","-0.6","U,0404","-3.3","U,0323","-5.0","U,0322","-6.7","U,0208","","","2791.9","","2791.9","U","10.45","U","15.51","U","5.40","U"
"USR0000OHAW","1995","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2979.0","","2979.0","U","","","","","",""
"USR0000OHAW","1996","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","228.4","","228.4","U","0","U","66","U","4","U","110","U","12","U","-6.7","U,0226,","36.1","U,0810,","0.0","U,1018","-2.2","U,1214","","","","","","","0.0","U,0508","-4.4","U,0325","-4.4","U,0325","-6.7","U,0226","","","","","","","10.75","U","15.70","U","5.81","U"
"USR0000OHAW","1997","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","115.4","","115.4","U","0","U","56","U","0","U","99","U","2","U","-7.8","U,0113,","32.8","U,0924,","0.0","U,1130","-2.8","U,1221","-4.4","U,1222","","","","","-0.6","U,0410","-2.8","U,0404","-7.8","U,0113","-7.8","U,0113","","","2894.2","","2894.2","U","10.76","U","15.59","U","5.94","U"
"USR0000OHAW","1998","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","197.2","","197.2","U","0","U","48","U","5","U","101","U","6","U","-12.8","U,1220,","36.1","U,0831,+","-0.6","U,1128","-2.8","U,1204","-5.0","U,1218","-7.8","U,1219","-12.8","U,1220","0.0","U,0425","-2.8","U,0329","","","","","","","2992.9","","2992.9","U","10.20","U","14.57","U","5.82","U"
"USR0000OHAW","1999","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","147.0","","147.0","U","0","U","79","U","0","U","106","U","2","U","-5.6","U,0305,","34.4","U,0912,","0.0","U,1015","","","","","","","","","0.0","U,0510","-2.2","U,0509","-5.6","U,0305","","","","","3307.7","","3307.7","U","10.13","U","14.81","U","5.45","U"
"USR0000OHAW","2000","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2929.1","","2929.1","U","","","","","",""
"USR0000OHAW","2001","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","120.0","","120.0","U","0","U","57","U","0","U","114","U","5","U","-3.9","U,0207,+","33.9","U,0930,","0.0","U,1124","-2.2","U,1209","","","","","","","-0.6","U,0414","-2.8","U,0303","","","","","","","","","","","10.62","U","15.64","U","5.61","U"
"USR0000OHAW","2002","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","177.6","","177.6","U","0","U","72","U","4","U","102","U","6","U","-7.8","U,0129,","38.9","U,0813,","0.0","U,1029","","","","","","","","","0.0","U,0508","-2.2","U,0507","-5.0","U,0318","-7.8","U,0129","","","3101.1","","3101.1","U","10.56","U","15.91","U","5.20","U"
"USR0000OHAW","2003","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","245.9","","245.9","U","0","U","69","U","1","U","120","U","12","U","-5.6","U,1122,","36.7","U,0927,","0.0","U,1029","-2.8","U,1031","-5.6","U,1122","","","","","-1.7","U,0518","-2.8","U,0402","","","","","","","2797.0","","2797.0","U","10.96","U","16.07","U","5.85","U"
"USR0000OHAW","2004","43.7139","-122.835","932.1","HAWLEY BUTTE OREGON, OR US","159.0","","159.0","U","0","U","57","U","2","U","110","U","4","U","-2.2","U,1221,+","35.0","U,0724,","0.0","U,1103","-2.2","U,1128","","","","","","","0.0","U,0428","-2.2","U,0208","","","","","","","2819.8","","2819.8","U","10.92","U","15.86","U","5.99","U"
