"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OKIA","2003","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","946.6","","946.6","U","0","U","78","U","6","U","230","U","61","U","-12.2","U,0124,","38.9","U,0821,+","-0.6","U,1026","-4.4","U,1124","-4.4","U,1124","-6.7","U,1129","","","0.0","U,0411","-2.2","U,0410","-4.4","U,0306","-8.3","U,0225","-10.6","U,0208","1930.4","","1930.4","U","16.03","U","22.61","U","9.45","U"
"USR0000OKIA","2005","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","1169.3","","1169.3","U","0","U","68","U","2","U","228","U","102","U","-15.6","U,1209,","39.4","U,0722,","-2.8","U,1025","-2.8","U,1025","-6.7","U,1117","-6.7","U,1117","-8.9","U,1205","0.0","U,0402","-5.6","U,0317","-5.6","U,0317","-9.4","U,0123","-9.4","U,0123","1569.9","","1569.9","U","16.82","U","23.87","U","9.76","U"
"USR0000OKIA","2006","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1582.8","","1582.8","U","","","","","",""
"USR0000OKIA","2008","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1716.0","","1716.0","U","","","","","",""
"USR0000OKIA","2009","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","950.2","","950.2","U","0","U","71","U","1","U","210","U","61","U","-10.6","U,1210,","41.1","U,0715,","0.0","U,1124","-2.2","U,1125","-8.3","U,1204","-8.3","U,1204","-10.0","U,1205","-3.3","U,0407","-3.3","U,0407","-7.8","U,0302","-7.8","U,0302","-8.9","U,0116","","","","","15.96","U","22.35","U","9.57","U"
"USR0000OKIA","2010","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1992.8","","1992.8","","","","","","",""
"USR0000OKIA","2011","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","1471.8","","1471.8","U","1","U","79","U","6","U","230","U","104","U","-17.8","U,0210,","45.6","U,0803,+","-2.2","U,1020","-2.2","U,1020","-6.1","U,1207","","","","","-2.8","U,0405","-2.8","U,0405","-4.4","U,0301","-6.7","U,0212","-14.4","U,0211","","","","","17.52","U","24.68","U","10.35","U"
"USR0000OKIA","2012","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","1380.8","","1380.8","U","0","U","60","U","0","U","249","U","107","U","-11.1","U,1211,","42.8","U,0720,","-0.6","U,1027","-2.8","U,1112","-5.0","U,1113","-8.9","U,1210","-8.9","U,1210","-0.6","U,0310","-2.8","U,0304","-8.9","U,0212","-8.9","U,0212","-8.9","U,0212","1384.3","","1384.3","U","18.26","U","25.33","U","11.19","U"
"USR0000OKIA","2013","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","1068.1","","1068.1","U","0","U","84","U","4","U","208","U","77","U","-11.1","U,1210,","39.4","U,0901,","0.0","U,1103","-6.1","U,1113","-6.1","U,1113","-7.2","U,1127","-9.4","U,1207","-1.1","U,0425","-3.3","U,0327","-5.6","U,0326","-7.2","U,0116","","","1812.9","","1812.9","U","15.77","U","22.39","U","9.14","U"
"USR0000OKIA","2014","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","973.9","","973.9","U","0","U","88","U","6","U","212","U","53","U","-15.6","U,0124,","37.8","U,0825,","-2.2","U,1101","-2.2","U,1101","-5.0","U,1113","-7.8","U,1117","-10.6","U,1118","-3.3","U,0415","-3.3","U,0415","-5.6","U,0305","-8.9","U,0304","-8.9","U,0304","2095.7","","2095.7","U","15.46","U","21.83","U","9.08","U"
"USR0000OKIA","2016","34.7558","-94.9831","207.3","KIAMICHI OKLAHOMA, OK US","","","","","0","U","49","U","6","U","192","U","25","U","-15.0","U,1218,","36.1","U,0722,","-2.8","U,1119","-2.8","U,1119","-7.8","U,1208","-7.8","U,1208","-9.4","U,1209","0.0","U,0321","-2.8","U,0320","-6.7","U,0210","-6.7","U,0210","-10.6","U,0110","","","","","15.96","U","20.57","U","11.36","U"
