"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OMLL","1997","46.0228","-123.2711","332.2","MILLER OREGON, OR US","","","","","0","U","39","U","","","","","","","-1.7","U,1226,+","","","0.0","U,1206","","","","","","","","","0.0","U,0405","","","","","","","","","","","","","","","","","5.90","U"
"USR0000OMLL","1998","46.0228","-123.2711","332.2","MILLER OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2972.7","","2972.7","U","","","","","",""
"USR0000OMLL","2002","46.0228","-123.2711","332.2","MILLER OREGON, OR US","77.3","","77.3","U","0","U","48","U","1","U","83","U","7","U","-4.4","U,0129,","36.1","U,0813,","-2.2","U,1030","-2.2","U,1030","","","","","","","-1.1","U,0508","-2.8","U,0308","-4.4","U,0129","","","","","","","","","10.05","U","14.77","U","5.32","U"
"USR0000OMLL","2003","46.0228","-123.2711","332.2","MILLER OREGON, OR US","133.9","","133.9","U","0","U","29","U","1","U","98","U","14","U","-3.9","U,1103,+","36.1","U,0729,+","0.0","U,1030","-2.2","U,1031","","","","","","","0.0","U,0518","-2.8","U,0324","","","","","","","2866.3","","2866.3","U","10.94","U","15.60","U","6.29","U"
"USR0000OMLL","2004","46.0228","-123.2711","332.2","MILLER OREGON, OR US","112.3","","112.3","U","0","U","20","U","3","U","91","U","5","U","-8.9","U,0105,","37.2","U,0723,","-0.6","U,1105","-2.2","U,1121","","","","","","","-1.1","U,0401","-8.3","U,0106","-8.3","U,0106","-8.3","U,0106","-8.9","U,0105","2723.7","","2723.7","U","10.88","U","15.31","U","6.46","U"
"USR0000OMLL","2005","46.0228","-123.2711","332.2","MILLER OREGON, OR US","67.6","","67.6","U","0","U","46","U","0","U","79","U","6","U","-4.4","U,1216,+","33.9","U,0814,+","-1.1","U,1107","-2.2","U,1214","-4.4","U,1216","","","","","0.0","U,0221","-2.8","U,0215","-4.4","U,0105","","","","","2809.9","","2809.9","U","10.39","U","15.01","U","5.77","U"
"USR0000OMLL","2006","46.0228","-123.2711","332.2","MILLER OREGON, OR US","122.7","","122.7","U","0","U","48","U","1","U","92","U","10","U","-6.7","U,1128,+","38.3","U,0723,+","-1.1","U,1030","-2.2","U,1031","-6.7","U,1128","-6.7","U,1128","","","-0.6","U,0418","-2.2","U,0319","-5.0","U,0220","-6.7","U,0218","","","3107.5","","3107.5","U","10.11","U","14.89","U","5.33","U"
"USR0000OMLL","2007","46.0228","-123.2711","332.2","MILLER OREGON, OR US","72.2","","72.2","U","0","U","66","U","6","U","77","U","5","U","-8.3","U,0114,+","36.7","U,0711,","-1.7","U,1031","-2.8","U,1208","","","","","","","-1.1","U,0420","-2.2","U,0201","-7.2","U,0115","-7.2","U,0115","","","3160.4","","3160.4","U","9.69","U","14.23","U","5.15","U"
"USR0000OMLL","2008","46.0228","-123.2711","332.2","MILLER OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3474.1","","3474.1","U","","","","","",""
"USR0000OMLL","2009","46.0228","-123.2711","332.2","MILLER OREGON, OR US","142.5","","142.5","U","0","U","79","U","4","U","93","U","13","U","-11.1","U,1209,","39.4","U,0729,","0.0","U,1114","-2.8","U,1204","-5.6","U,1206","-8.9","U,1207","-8.9","U,1207","-1.7","U,0424","-2.8","U,0404","-5.0","U,0126","","","","","","","","","9.81","U","14.63","U","4.98","U"
"USR0000OMLL","2010","46.0228","-123.2711","332.2","MILLER OREGON, OR US","72.0","","72.0","U","0","U","30","U","5","U","66","U","7","U","-10.6","U,1124,","36.1","U,0708,","-0.6","U,1120","-6.7","U,1122","-6.7","U,1122","-6.7","U,1122","-10.0","U,1123","-1.1","U,0414","","","","","","","","","3173.5","","3173.5","U","9.82","U","13.97","U","5.67","U"
"USR0000OMLL","2011","46.0228","-123.2711","332.2","MILLER OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3466.2","","3466.2","U","","","","","",""
"USR0000OMLL","2013","46.0228","-123.2711","332.2","MILLER OREGON, OR US","62.3","","62.3","U","0","U","65","U","6","U","95","U","2","U","-12.2","U,1208,","32.8","U,0911,+","-0.6","U,1029","-2.2","U,1121","-5.6","U,1204","-7.2","U,1205","-11.1","U,1207","0.0","U,0529","-2.2","U,0308","-5.6","U,0114","-7.2","U,0113","","","","","","","9.72","U","13.98","U","5.46","U"
"USR0000OMLL","2014","46.0228","-123.2711","332.2","MILLER OREGON, OR US","126.6","","126.6","U","0","U","32","U","5","U","107","U","4","U","-8.3","U,0207,+","36.7","U,0811,","-1.1","U,1111","-2.8","U,1112","-4.4","U,1129","","","","","-1.7","U,0322","-2.8","U,0209","-4.4","U,0208","-8.3","U,0207","","","3031.7","","3031.7","U","11.00","U","15.37","U","6.63","U"
"USR0000OMLL","2015","46.0228","-123.2711","332.2","MILLER OREGON, OR US","152.9","","152.9","U","0","U","29","U","0","U","109","U","13","U","-2.8","U,1231,+","37.2","U,0730,","0.0","U,1104","-2.2","U,1126","","","","","","","0.0","U,0415","-2.8","U,0101","","","","","","","2462.9","","2462.9","U","11.62","U","16.31","U","6.92","U"
"USR0000OMLL","2016","46.0228","-123.2711","332.2","MILLER OREGON, OR US","108.8","","108.8","U","0","U","30","U","5","U","85","U","8","U","-6.7","U,0103,","36.7","U,0819,","0.0","U,1204","-2.2","U,1206","-5.0","U,1216","","","","","0.0","U,0429","-6.7","U,0103","-6.7","U,0103","-6.7","U,0103","","","2726.0","","2726.0","U","10.88","U","14.98","U","6.78","U"
"USR0000OMLL","2017","46.0228","-123.2711","332.2","MILLER OREGON, OR US","150.8","","150.8","U","0","U","51","U","7","U","99","U","11","U","-8.3","U,0105,","37.2","U,0803,+","0.0","U,1014","-3.3","U,1221","","","","","","","-1.7","U,0319","-2.2","U,0225","-5.6","U,0115","-7.2","U,0106","","","3237.1","","3237.1","U","9.95","U","14.30","U","5.61","U"
