"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OMTY","1990","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","143.2","","143.2","U","1","U","53","U","11","U","92","U","10","U","-18.3","U,1221,","35.0","U,0804,","-0.6","U,1206","-3.9","U,1218","-12.8","U,1219","-12.8","U,1219","-12.8","U,1219","-1.7","U,0313","-3.9","U,0218","-7.8","U,0214","-7.8","U,0214","","","","","","","10.50","U","15.14","U","5.85","U"
"USR0000OMTY","1991","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","167.5","","167.5","U","0","U","40","U","2","U","102","U","12","U","-5.0","U,0104,","35.0","U,0924,","-1.7","U,1029","-3.9","U,1030","","","","","","","-0.6","U,0411","-3.9","U,0129","-5.0","U,0104","","","","","3071.4","","3071.4","U","10.92","U","15.74","U","6.10","U"
"USR0000OMTY","1992","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","192.8","","192.8","U","0","U","24","U","0","U","127","U","16","U","-5.0","U,1204,","37.8","U,0811,+","0.0","U,1015","-2.2","U,1202","-4.4","U,1203","","","","","-1.1","U,0118","-2.2","U,0112","","","","","","","2207.1","","2207.1","U","12.40","U","17.51","U","7.28","U"
"USR0000OMTY","1994","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","113.9","","113.9","U","0","U","47","U","2","U","113","U","6","U","-7.2","U,0208,","37.2","U,0721,","0.0","U,1102","-2.2","U,1118","-4.4","U,1204","","","","","-1.1","U,0323","-7.2","U,0208","-7.2","U,0208","-7.2","U,0208","","","2692.4","","2692.4","U","10.86","U","15.75","U","5.96","U"
"USR0000OMTY","1995","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","118.0","","118.0","U","0","U","33","U","0","U","106","U","6","U","-6.1","U,0214,","35.6","U,0717,","-1.1","U,1102","-2.8","U,1223","-4.4","U,1224","","","","","0.0","U,0420","-6.1","U,0214","-6.1","U,0214","","","","","2816.9","","2816.9","U","11.31","U","16.00","U","6.62","U"
"USR0000OMTY","1996","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2686.0","","2686.0","U","","","","","",""
"USR0000OMTY","1998","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","176.6","","176.6","U","0","U","28","U","4","U","102","U","15","U","-13.9","U,1221,","38.3","U,0726,","0.0","U,1203","-2.8","U,1218","-6.7","U,1219","-6.7","U,1219","-12.8","U,1220","-0.6","U,0329","-2.2","U,0305","","","","","","","2776.3","","2776.3","U","10.92","U","15.65","U","6.20","U"
"USR0000OMTY","1999","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","107.0","","107.0","U","0","U","47","U","1","U","111","U","3","U","-2.8","U,1230,+","32.8","U,0523,","0.0","U,1204","-2.2","U,1225","","","","","","","0.0","U,0428","-2.8","U,0305","","","","","","","3043.1","","3043.1","U","10.45","U","15.44","U","5.46","U"
"USR0000OMTY","2000","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","103.7","","103.7","U","0","U","35","U","0","U","117","U","3","U","-3.3","U,1118,+","32.8","U,0808,+","-0.6","U,1110","-3.3","U,1111","","","","","","","0.0","U,0424","-2.8","U,0128","","","","","","","2762.0","","2762.0","U","10.84","U","15.97","U","5.72","U"
"USR0000OMTY","2001","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","106.4","","106.4","U","0","U","46","U","0","U","125","U","6","U","-3.9","U,0207,","32.8","U,1001,+","-0.6","U,1107","","","","","","","","","0.0","U,0502","-2.2","U,0404","","","","","","","2860.5","","2860.5","U","11.00","U","16.49","U","5.51","U"
"USR0000OMTY","2002","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","163.8","","163.8","U","0","U","51","U","0","U","121","U","19","U","-4.4","U,1031,","38.9","U,0813,","-2.8","U,1030","-2.8","U,1030","-4.4","U,1031","","","","","0.0","U,0508","-3.9","U,0318","","","","","","","2789.4","","2789.4","U","11.31","U","17.13","U","5.50","U"
"USR0000OMTY","2003","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","247.4","","247.4","U","0","U","37","U","0","U","135","U","26","U","-5.0","U,1101,","39.4","U,0729,","-1.7","U,1030","-3.9","U,1031","-5.0","U,1101","","","","","0.0","U,0518","-4.4","U,0225","-4.4","U,0225","","","","","2495.7","","2495.7","U","11.97","U","17.70","U","6.23","U"
"USR0000OMTY","2005","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2559.4","","2559.4","U","","","","","",""
"USR0000OMTY","2007","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","113.5","","113.5","U","0","U","60","U","3","U","117","U","8","U","-9.4","U,0112,","36.1","U,0910,","-0.6","U,1026","-2.8","U,1122","","","","","","","0.0","U,0419","-2.8","U,0202","-5.0","U,0115","-6.7","U,0114","-9.4","U,0112","2773.9","","2773.9","U","10.70","U","15.99","U","5.42","U"
"USR0000OMTY","2009","43.6389","-123.3258","609.6","MOUNT YONCALLA OREGON, OR US","188.6","","188.6","U","0","U","54","U","4","U","125","U","19","U","-11.7","U,1208,","41.1","U,0728,","0.0","U,1114","-2.8","U,1203","-6.1","U,1206","-9.4","U,1207","-9.4","U,1207","0.0","U,0423","-3.3","U,0126","","","","","","","2612.0","","2612.0","U","11.37","U","16.97","U","5.78","U"
