"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OREM","1996","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","225.2","","225.2","U","0","U","14","U","0","U","98","U","5","U","-1.7","U,0224,","35.6","U,0721,","","","","","","","0.0","U,0328","","","","","","","12.42","U","16.37","U","8.48","U"
"USR0000OREM","1997","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","121.6","","121.6","U","0","U","4","U","0","U","90","U","2","U","-1.7","U,0113,","33.3","U,0808,+","","","","","","","0.0","U,0303","","","2359.0","","2359.0","U","12.21","U","16.00","U","8.43","U"
"USR0000OREM","1998","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","214.9","","214.9","U","0","U","9","U","1","U","93","U","11","U","-5.6","U,1220,","39.4","U,0902,","0.0","U,1205","-5.6","U,1220","-5.6","U,1220","-0.6","U,0413","","","2532.4","","2532.4","U","11.50","U","15.31","U","7.70","U"
"USR0000OREM","1999","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","168.5","","168.5","U","0","U","16","U","0","U","90","U","4","U","-1.7","U,0209,","37.8","U,0712,","","","","","","","-0.6","U,0409","","","2809.3","","2809.3","U","11.38","U","15.15","U","7.61","U"
"USR0000OREM","2000","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","197.1","","197.1","U","0","U","1","U","0","U","93","U","9","U","0.0","U,0112,","33.9","U,0918,+","","","","","","","0.0","U,0112","","","2433.1","","2433.1","U","12.15","U","16.30","U","8.01","U"
"USR0000OREM","2001","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","178.7","","178.7","U","0","U","8","U","0","U","99","U","5","U","-1.1","U,0211,","36.1","U,0521,","0.0","U,1214","","","","","0.0","U,0408","","","2446.3","","2446.3","U","11.93","U","16.12","U","7.74","U"
"USR0000OREM","2002","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","323.0","","323.0","U","0","U","17","U","0","U","108","U","15","U","-1.7","U,0308,+","36.1","U,0901,","","","","","","","0.0","U,0318","","","2497.7","","2497.7","U","12.90","U","17.12","U","8.69","U"
"USR0000OREM","2003","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","295.5","","295.5","U","0","U","1","U","0","U","103","U","22","U","0.0","U,1226,","39.4","U,0627,","0.0","U,1226","","","","","","","","","2177.1","","2177.1","U","12.63","U","16.76","U","8.51","U"
"USR0000OREM","2004","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","216.5","","216.5","U","0","U","4","U","0","U","107","U","3","U","-1.1","U,0103,+","35.0","U,0829,","","","","","","","0.0","U,0104","","","2317.8","","2317.8","U","12.79","U","16.86","U","8.73","U"
"USR0000OREM","2005","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","264.7","","264.7","U","0","U","4","U","0","U","116","U","8","U","-0.6","U,0102,","36.1","U,0726,","","","","","","","0.0","U,0413","","","2246.1","","2246.1","U","13.00","U","17.27","U","8.75","U"
"USR0000OREM","2006","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","320.7","","320.7","U","0","U","14","U","0","U","112","U","18","U","-2.8","U,0311,","38.9","U,0724,","0.0","U,1127","","","","","0.0","U,0314","-2.8","U,0311","2345.8","","2345.8","U","12.58","U","16.89","U","8.28","U"
"USR0000OREM","2007","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","144.0","","144.0","U","0","U","14","U","0","U","95","U","5","U","-2.8","U,0112,","33.3","U,0828,+","0.0","U,1201","","","","","0.0","U,0301","-2.8","U,0112","2374.5","","2374.5","U","11.87","U","16.16","U","7.57","U"
"USR0000OREM","2008","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","268.7","","268.7","U","0","U","21","U","0","U","98","U","12","U","-1.1","U,0419,+","40.6","U,0709,","0.0","U,1215","","","","","0.0","U,0421","","","2650.8","","2650.8","U","12.07","U","16.53","U","7.62","U"
"USR0000OREM","2009","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","270.0","","270.0","U","0","U","7","U","0","U","119","U","13","U","-3.3","U,1208,","36.1","U,0921,+","-1.1","U,1206","-3.3","U,1208","","","0.0","U,0309","","","2109.6","","2109.6","U","13.13","U","17.62","U","8.64","U"
"USR0000OREM","2010","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","189.2","","189.2","U","0","U","14","U","0","U","85","U","7","U","-1.1","U,1123,","35.6","U,0824,","0.0","U,1120","","","","","0.0","U,0522","","","2602.1","","2602.1","U","11.44","U","15.46","U","7.43","U"
"USR0000OREM","2011","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","165.6","","165.6","U","0","U","13","U","0","U","90","U","6","U","-2.8","U,0225,","38.9","U,0910,","0.0","U,1119","","","","","0.0","U,0407","-2.2","U,0226","2657.0","","2657.0","U","11.81","U","16.03","U","7.60","U"
"USR0000OREM","2012","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","173.1","","173.1","U","0","U","20","U","0","U","90","U","7","U","-1.7","U,0116,+","37.8","U,0814,","0.0","U,1217","","","","","0.0","U,0406","","","2527.2","","2527.2","U","11.53","U","15.75","U","7.30","U"
"USR0000OREM","2013","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","212.4","","212.4","U","0","U","13","U","0","U","107","U","9","U","-3.9","U,1207,","36.1","U,0820,","0.0","U,1204","-3.9","U,1207","","","0.0","U,0219","","","2369.2","","2369.2","U","12.90","U","17.44","U","8.36","U"
"USR0000OREM","2014","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","","","","","0","U","0","U","","","","","","","0.6","U,1230,+","","","","","","","","","","","","","","","","","","","","","10.06","U"
"USR0000OREM","2015","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","264.8","","264.8","U","0","U","1","U","0","U","115","U","14","U","0.0","U,0407,","41.1","U,0729,","","","","","","","0.0","U,0407","","","1747.8","","1747.8","U","13.68","U","17.92","U","9.43","U"
"USR0000OREM","2016","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","291.9","","291.9","U","0","U","3","U","0","U","111","U","15","U","0.0","U,1224,+","37.2","U,0925,","0.0","U,1216","","","","","","","","","2174.7","","2174.7","U","12.92","U","16.90","U","8.95","U"
"USR0000OREM","2017","42.1233","-124.3006","534.3","RED MOUND OREGON, OR US","349.1","","349.1","U","0","U","14","U","0","U","107","U","21","U","-1.1","U,0223,+","38.9","U,0801,","","","","","","","-0.6","U,0305","","","2603.5","","2603.5","U","12.64","U","16.56","U","8.73","U"
