"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000PLGV","2000","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2446.5","","2446.5","U","","","","","",""
"USR0000PLGV","2002","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","793.5","","793.5","U","0","U","117","U","12","U","146","U","64","U","-13.9","U,0130,","42.8","U,0713,","0.0","U,1029","-3.9","U,1031","-6.1","U,1101","-7.8","U,1224","","","-0.6","U,0508","-6.1","U,0319","-6.1","U,0319","-7.2","U,0315","-8.9","U,0309","2942.2","","2942.2","U","12.04","U","17.82","U","6.26","U"
"USR0000PLGV","2003","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","876.2","","876.2","U","0","U","92","U","7","U","163","U","66","U","-11.7","U,1123,","40.6","U,0711,","-1.1","U,1030","-2.2","U,1031","-9.4","U,1122","-9.4","U,1122","-9.4","U,1122","0.0","U,0510","-2.2","U,0406","-5.6","U,0210","-9.4","U,0208","-9.4","U,0208","2858.6","","2858.6","U","12.98","U","18.42","U","7.55","U"
"USR0000PLGV","2004","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","635.7","","635.7","U","0","U","99","U","29","U","157","U","49","U","-12.8","U,0213,","37.2","U,0714,+","0.0","U,1029","-2.2","U,1031","-5.6","U,1128","-9.4","U,1129","-9.4","U,1129","0.0","U,0429","-2.2","U,0305","-4.4","U,0216","-8.3","U,0215","-10.6","U,0214","2850.8","","2850.8","U","11.90","U","17.39","U","6.40","U"
"USR0000PLGV","2005","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","648.9","","648.9","U","0","U","90","U","11","U","140","U","45","U","-12.8","U,1208,","40.0","U,0713,","0.0","U,1112","-2.2","U,1114","-5.6","U,1126","-6.7","U,1127","-9.4","U,1204","0.0","U,0511","-5.0","U,0331","-5.0","U,0331","-6.7","U,0208","","","2946.7","","2946.7","U","12.15","U","17.70","U","6.59","U"
"USR0000PLGV","2006","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","796.9","","796.9","U","0","U","120","U","15","U","145","U","65","U","-13.3","U,1221,","40.6","U,0722,","0.0","U,1025","-2.2","U,1115","-8.9","U,1128","-8.9","U,1128","-8.9","U,1128","-0.6","U,0419","-2.2","U,0418","-5.6","U,0313","-9.4","U,0221","-9.4","U,0221","2873.3","","2873.3","U","12.30","U","18.00","U","6.60","U"
"USR0000PLGV","2007","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","916.7","","916.7","U","1","U","102","U","30","U","158","U","70","U","-17.8","U,0115,","40.0","U,0715,","-0.6","U,1020","-3.3","U,1120","-4.4","U,1121","-6.7","U,1202","-10.0","U,1215","0.0","U,0419","-5.6","U,0304","-5.6","U,0304","-9.4","U,0303","-9.4","U,0303","2939.5","","2939.5","U","12.86","U","18.66","U","7.06","U"
"USR0000PLGV","2008","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","","","","","0","U","128","U","","","","","","","-14.4","U,0117,","","","-1.1","U,1012","-3.9","U,1209","-6.1","U,1213","-7.2","U,1214","-8.9","U,1224","0.0","U,0502","-2.2","U,0417","-5.0","U,0401","-7.8","U,0216","-8.9","U,0215","3268.3","","3268.3","U","","","","","6.17","U"
"USR0000PLGV","2009","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","656.4","","656.4","U","0","U","118","U","16","U","152","U","47","U","-15.6","U,1210,+","40.0","U,0718,","0.0","U,1001","-2.2","U,1027","-5.6","U,1115","-8.9","U,1203","-8.9","U,1203","-1.1","U,0416","-3.9","U,0401","-5.0","U,0327","-7.8","U,0310","-11.7","U,0127","","","","","11.94","U","17.61","U","6.27","U"
"USR0000PLGV","2010","40.4311","-111.75","1585.0","PLEASANT GROVE UTAH, UT US","659.6","","659.6","U","0","U","123","U","5","U","141","U","50","U","-15.0","U,1231,","38.9","U,0716,","0.0","U,1026","-2.8","U,1121","-7.2","U,1123","-7.2","U,1123","-12.2","U,1124","0.0","U,0524","-3.3","U,0407","-4.4","U,0311","-7.8","U,0223","-10.6","U,0108","3141.2","","3141.2","U","11.86","U","17.41","U","6.31","U"
