"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TBUR","2004","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","769.8","","769.8","U","0","U","61","U","7","U","205","U","17","U","-12.8","U,0131,","33.9","U,0713,","0.0","U,1128","-2.2","U,1213","-7.2","U,1214","-7.2","U,1214","-8.9","U,1215","-0.6","U,0323","-2.2","U,0322","-6.1","U,0216","-6.7","U,0213","-12.8","U,0131","","","","","15.32","U","20.76","U","9.89","U"
"USR0000TBUR","2005","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","908.7","","908.7","U","0","U","64","U","6","U","195","U","45","U","-11.7","U,0118,+","36.7","U,0811,","0.0","U,1029","-2.2","U,1116","-6.1","U,1117","-7.2","U,1205","-9.4","U,1209","0.0","U,0318","-2.8","U,0310","-4.4","U,0302","-6.7","U,0124","-9.4","U,0123","1760.0","","1760.0","U","15.26","U","20.81","U","9.70","U"
"USR0000TBUR","2006","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","850.4","","850.4","U","0","U","58","U","2","U","200","U","44","U","-13.3","U,0219,","36.7","U,0719,","-1.1","U,1024","-2.2","U,1102","-5.6","U,1202","-10.0","U,1204","-10.0","U,1204","-0.6","U,0327","-2.2","U,0325","-6.1","U,0220","-13.3","U,0219","-13.3","U,0219","1917.9","","1917.9","U","15.53","U","21.28","U","9.78","U"
"USR0000TBUR","2007","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","1213.2","","1213.2","U","0","U","66","U","6","U","222","U","82","U","-12.8","U,0216,+","41.7","U,0815,","-0.6","U,1106","-2.2","U,1116","-4.4","U,1123","","","","","0.0","U,0409","-4.4","U,0408","-4.4","U,0408","-8.3","U,0218","-12.8","U,0216","1885.4","","1885.4","U","16.54","U","22.73","U","10.35","U"
"USR0000TBUR","2009","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","771.6","","771.6","U","0","U","69","U","5","U","196","U","28","U","-16.7","U,0116,","35.0","U,0627,","-1.1","U,1127","-2.8","U,1204","-4.4","U,1205","-7.2","U,1210","","","-0.6","U,0313","-2.8","U,0304","-8.9","U,0303","-8.9","U,0303","-8.9","U,0303","2044.3","","2044.3","U","14.82","U","20.28","U","9.36","U"
"USR0000TBUR","2010","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","1117.8","","1117.8","U","0","U","77","U","19","U","212","U","73","U","-15.0","U,1214,+","37.8","U,0803,","-2.8","U,1106","-2.8","U,1106","-5.6","U,1206","-7.8","U,1207","-8.9","U,1212","-1.7","U,0306","-2.2","U,0305","-5.6","U,0226","-7.8","U,0225","-10.0","U,0131","2103.9","","2103.9","U","15.29","U","21.05","U","9.53","U"
"USR0000TBUR","2012","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","1021.3","","1021.3","U","0","U","44","U","1","U","208","U","57","U","-8.3","U,0212,","42.2","U,0629,","0.0","U,1112","-2.8","U,1113","-5.6","U,1212","","","","","-3.3","U,0220","-3.3","U,0220","-5.0","U,0213","-8.3","U,0212","","","1524.5","","1524.5","U","16.67","U","22.52","U","10.81","U"
"USR0000TBUR","2013","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","756.6","","756.6","U","0","U","85","U","9","U","187","U","17","U","-10.6","U,0201,","33.3","U,0831,+","-0.6","U,1024","-2.2","U,1025","-5.0","U,1113","-7.8","U,1124","-8.9","U,1212","-2.2","U,0327","-2.2","U,0327","-6.7","U,0321","-6.7","U,0321","-10.6","U,0201","2118.5","","2118.5","U","14.33","U","19.77","U","8.88","U"
"USR0000TBUR","2014","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","825.3","","825.3","U","2","U","83","U","13","U","191","U","33","U","-18.9","U,0107,","35.0","U,0806,","-0.6","U,1101","-2.8","U,1102","-4.4","U,1113","-6.7","U,1114","-8.9","U,1118","-1.1","U,0416","-5.0","U,0326","-5.0","U,0326","-7.2","U,0228","-11.1","U,0211","2146.3","","2146.3","U","14.34","U","20.07","U","8.61","U"
"USR0000TBUR","2015","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","891.8","","891.8","U","0","U","63","U","11","U","208","U","38","U","-16.7","U,0219,+","34.4","U,0905,+","0.0","U,1018","-3.9","U,1122","","","","","","","-2.8","U,0329","-2.8","U,0329","-15.0","U,0306","-15.0","U,0306","-15.0","U,0306","2119.4","","2119.4","U","15.64","U","21.22","U","10.06","U"
"USR0000TBUR","2016","36.065","-87.2831","215.2","BURNS TENNESSEE, TN US","1073.8","","1073.8","U","0","U","56","U","10","U","223","U","64","U","-12.2","U,0118,","35.6","U,0726,+","-2.2","U,1120","-2.2","U,1120","-4.4","U,1208","-7.8","U,1209","-9.4","U,1219","0.0","U,0321","-3.3","U,0214","-7.8","U,0213","-7.8","U,0213","-9.4","U,0124","1566.0","","1566.0","U","16.31","U","22.11","U","10.52","U"
