"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TLGR","2002","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1610.8","","1610.8","U","0","U","24","U","0","U","267","U","104","U","-8.3","U,0304,+","37.2","U,0826,","-1.1","U,1206","","","","","-2.8","U,0305","-2.8","U,0305","-8.3","U,0304","-8.3","U,0304","","","861.2","","861.2","U","20.05","U","25.70","U","14.40","U"
"USR0000TLGR","2003","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","","","","","0","U","25","U","1","U","278","U","89","U","-5.0","U,0118,","41.1","U,0808,","-0.6","U,1124","-2.2","U,1129","","","-1.1","U,0226","-2.2","U,0225","-5.0","U,0118","","","","","","","","","20.12","U","25.71","U","14.54","U"
"USR0000TLGR","2004","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","775.7","","775.7","U","","","","","",""
"USR0000TLGR","2005","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1806.3","","1806.3","U","0","U","13","U","1","U","290","U","130","U","-5.0","U,1206,","42.2","U,0925,","-1.7","U,1117","-5.0","U,1206","-5.0","U,1206","0.0","U,0124","","","","","","","","","","","","","21.10","U","27.52","U","14.67","U"
"USR0000TLGR","2006","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1846.2","","1846.2","U","0","U","19","U","0","U","307","U","129","U","-3.9","U,0212,","38.9","U,0828,+","-1.7","U,1121","-2.8","U,1201","","","-1.1","U,0325","-2.2","U,0213","","","","","","","731.5","","731.5","U","21.48","U","27.88","U","15.08","U"
"USR0000TLGR","2007","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1643.4","","1643.4","U","0","U","25","U","1","U","289","U","109","U","-5.0","U,0216,","38.3","U,0812,","0.0","U,1203","-2.8","U,1217","","","-2.2","U,0305","-2.2","U,0305","-5.0","U,0216","","","","","909.2","","909.2","U","20.32","U","26.22","U","14.41","U"
"USR0000TLGR","2008","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1736.9","","1736.9","U","0","U","22","U","0","U","300","U","132","U","-4.4","U,0120,+","39.4","U,0803,+","-0.6","U,1116","-2.8","U,1206","","","-1.7","U,0227","-3.3","U,0201","-4.4","U,0120","","","","","784.4","","784.4","U","20.81","U","27.75","U","13.87","U"
"USR0000TLGR","2009","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1878.7","","1878.7","U","0","U","27","U","0","U","289","U","123","U","-5.6","U,1205,","41.1","U,0705,+","-3.3","U,1204","-3.3","U,1204","-5.6","U,1205","0.0","U,0407","-2.2","U,0302","-4.4","U,0114","","","","","740.6","","740.6","U","21.16","U","27.65","U","14.67","U"
"USR0000TLGR","2010","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1746.0","","1746.0","U","0","U","30","U","1","U","273","U","122","U","-9.4","U,0109,","40.6","U,0816,","-2.8","U,1127","-2.8","U,1127","","","-1.7","U,0225","-3.3","U,0217","-5.0","U,0111","-7.2","U,0110","-9.4","U,0109","1101.2","","1101.2","U","20.29","U","26.49","U","14.09","U"
"USR0000TLGR","2011","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","2127.3","","2127.3","U","0","U","28","U","2","U","293","U","153","U","-7.2","U,0202,","43.3","U,0828,","0.0","U,1104","-2.8","U,1128","","","-2.2","U,0213","-2.2","U,0213","-6.7","U,0211","-6.7","U,0211","","","830.6","","830.6","U","21.81","U","28.59","U","15.04","U"
"USR0000TLGR","2012","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1891.0","","1891.0","U","0","U","16","U","0","U","306","U","124","U","-3.3","U,1227,","41.7","U,0626,","-2.8","U,1211","-2.8","U,1211","","","-0.6","U,0212","-2.8","U,0114","","","","","","","656.4","","656.4","U","21.82","U","28.07","U","15.58","U"
"USR0000TLGR","2013","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1777.3","","1777.3","U","0","U","20","U","1","U","284","U","130","U","-3.3","U,1224,","41.7","U,0629,","-0.6","U,1114","-2.2","U,1128","","","-1.1","U,0303","-2.2","U,0117","","","","","","","759.4","","759.4","U","20.64","U","26.91","U","14.37","U"
"USR0000TLGR","2014","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1696.1","","1696.1","U","0","U","25","U","1","U","272","U","118","U","-8.9","U,0107,","39.4","U,0822,+","0.0","U,1117","","","","","-1.1","U,0304","-5.0","U,0303","-5.0","U,0303","-8.9","U,0107","-8.9","U,0107","1091.7","","1091.7","U","20.29","U","26.30","U","14.28","U"
"USR0000TLGR","2015","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1771.9","","1771.9","U","0","U","13","U","0","U","287","U","121","U","-5.0","U,0108,","41.1","U,0813,","-0.6","U,1123","","","","","-2.8","U,0306","-2.8","U,0306","-5.0","U,0108","","","","","864.2","","864.2","U","20.91","U","26.70","U","15.12","U"
"USR0000TLGR","2016","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1876.3","","1876.3","U","0","U","14","U","0","U","302","U","116","U","-4.4","U,1219,","39.4","U,0812,+","0.0","U,1120","-2.8","U,1218","-4.4","U,1219","0.0","U,0225","-2.2","U,0205","","","","","","","639.3","","639.3","U","21.71","U","27.70","U","15.73","U"
"USR0000TLGR","2017","29.9075","-96.86","47.2","LA GRANGE TEXAS, TX US","1893.7","","1893.7","U","0","U","10","U","0","U","310","U","116","U","-7.2","U,0108,","40.0","U,0729,","0.0","U,1207","","","","","-7.2","U,0108","-7.2","U,0108","-7.2","U,0108","-7.2","U,0108","","","420.0","","420.0","U","22.00","U","28.01","U","16.00","U"
