"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TVIC","2005","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1974.4","","1974.4","U","0","U","1","U","0","U","301","U","132","U","-1.7","U,1208,","40.6","U,0925,+","-1.7","U,1208","","","","","","","","","","","","","528.8","","528.8","U","22.16","U","27.75","U","16.58","U"
"USR0000TVIC","2006","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","504.0","","504.0","U","","","","","",""
"USR0000TVIC","2007","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1835.7","","1835.7","U","0","U","3","U","0","U","300","U","107","U","-3.3","U,0216,","38.3","U,0813,","-0.6","U,1217","","","","","-3.3","U,0216","-3.3","U,0216","","","","","","","","","21.52","U","26.61","U","16.43","U"
"USR0000TVIC","2008","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1880.5","","1880.5","U","0","U","7","U","0","U","318","U","126","U","-2.8","U,0102,","38.3","U,0808,+","-0.6","U,1210","","","","","-0.6","U,0201","-2.2","U,0120","","","","","550.6","","550.6","U","21.89","U","27.90","U","15.88","U"
"USR0000TVIC","2009","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","2020.3","","2020.3","U","0","U","7","U","0","U","304","U","132","U","-2.8","U,1205,","40.0","U,0812,","0.0","U,1204","-2.8","U,1205","","","-1.1","U,0203","","","","","","","520.9","","520.9","U","22.18","U","27.91","U","16.45","U"
"USR0000TVIC","2010","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1703.9","","1703.9","U","0","U","17","U","0","U","285","U","90","U","-7.2","U,0109,","38.3","U,0823,","-1.1","U,1127","-2.8","U,1213","","","0.0","U,0216","-5.0","U,0110","-5.0","U,0110","-7.2","U,0109","849.4","","849.4","U","20.80","U","26.19","U","15.41","U"
"USR0000TVIC","2011","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","2018.3","","2018.3","U","0","U","17","U","1","U","302","U","127","U","-5.6","U,0202,","41.7","U,0828,","0.0","U,1104","-4.4","U,1207","-4.4","U,1207","-1.7","U,0213","-2.8","U,0212","-5.0","U,0211","","","667.4","","667.4","U","21.87","U","27.95","U","15.78","U"
"USR0000TVIC","2012","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1932.0","","1932.0","U","0","U","8","U","0","U","310","U","108","U","-1.7","U,1221,+","41.1","U,0626,","-1.1","U,1211","","","","","-0.6","U,0114","","","","","","","523.0","","523.0","U","22.30","U","27.92","U","16.68","U"
"USR0000TVIC","2013","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1748.2","","1748.2","U","0","U","7","U","0","U","286","U","112","U","-0.6","U,1224,","42.8","U,0629,","0.0","U,1207","","","","","0.0","U,0306","","","","","","","600.1","","600.1","U","21.01","U","26.66","U","15.36","U"
"USR0000TVIC","2014","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860.7","","860.7","U","","","","","",""
"USR0000TVIC","2015","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1803.2","","1803.2","U","0","U","4","U","0","U","295","U","99","U","-1.7","U,0108,","40.0","U,0811,","","","","","","","-0.6","U,0306","","","","","","","","","","","21.40","U","26.59","U","16.21","U"
"USR0000TVIC","2016","28.8461","-96.9217","7.0","VICTORIA TEXAS, TX US","1914.4","","1914.4","U","0","U","6","U","0","U","311","U","116","U","-2.2","U,1219,","38.9","U,0811,","-0.6","U,1218","-2.2","U,1219","","","-1.1","U,0207","","","","","","","506.1","","506.1","U","22.16","U","27.72","U","16.59","U"
