"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000VESS","2005","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","394.5","","394.5","U","24","U","147","U","62","U","124","U","10","U","-28.3","U,0122,","35.0","U,0627,","-0.6","U,1020","-2.2","U,1108","-4.4","U,1111","-11.1","U,1123","-11.1","U,1123","-2.8","U,0513","-2.8","U,0513","-5.0","U,0415","-8.9","U,0326","-8.9","U,0326","","","","","8.01","U","13.60","U","2.43","U"
"USR0000VESS","2006","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","249.5","","249.5","U","5","U","132","U","37","U","115","U","6","U","-21.7","U,0226,","34.4","U,0801,","0.0","U,1013","-2.2","U,1021","-5.0","U,1122","-8.3","U,1205","-12.2","U,1208","0.0","U,0507","-4.4","U,0428","-4.4","U,0428","-10.6","U,0320","-10.6","U,0320","3684.9","","3684.9","U","8.68","U","13.68","U","3.68","U"
"USR0000VESS","2007","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","270.6","","270.6","U","27","U","148","U","63","U","128","U","11","U","-27.8","U,0307,","35.6","U,0626,","-0.6","U,1013","-2.8","U,1029","-6.1","U,1110","-6.7","U,1118","-13.3","U,1201","0.0","U,0505","-4.4","U,0411","-4.4","U,0411","-19.4","U,0321","-19.4","U,0321","4023.7","","4023.7","U","7.31","U","12.86","U","1.76","U"
"USR0000VESS","2008","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","234.3","","234.3","U","12","U","144","U","53","U","122","U","4","U","-23.3","U,0229,","34.4","U,0610,","0.0","U,1007","-2.2","U,1018","-5.0","U,1102","-7.2","U,1121","-10.0","U,1123","0.0","U,0502","-3.3","U,0415","-4.4","U,0403","-11.7","U,0330","-11.7","U,0330","3796.7","","3796.7","U","7.89","U","13.29","U","2.49","U"
"USR0000VESS","2009","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","","","","","19","U","145","U","57","U","114","U","6","U","-27.8","U,0116,","33.3","U,0817,","-1.7","U,1012","-2.2","U,1015","-4.4","U,1019","-7.2","U,1208","-8.9","U,1212","0.0","U,0526","-2.2","U,0420","-4.4","U,0415","-8.3","U,0324","-10.0","U,0323","","","","","7.47","U","12.94","U","2.00","U"
"USR0000VESS","2010","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","335.6","","335.6","U","11","U","143","U","55","U","119","U","16","U","-22.8","U,0110,","36.1","U,0708,+","-0.6","U,1010","-2.2","U,1023","-4.4","U,1103","-8.9","U,1125","-8.9","U,1125","-0.6","U,0513","-2.2","U,0430","-11.1","U,0327","-11.1","U,0327","-11.1","U,0327","3617.1","","3617.1","U","8.74","U","13.92","U","3.56","U"
"USR0000VESS","2011","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","330.2","","330.2","U","12","U","135","U","52","U","127","U","9","U","-31.7","U,0124,","36.1","U,0721,","-1.1","U,1006","-3.3","U,1028","-5.0","U,1105","-6.7","U,1121","-11.7","U,1217","-2.2","U,0422","-2.2","U,0422","-5.0","U,0407","-8.9","U,0329","-8.9","U,0329","4141.8","","4141.8","U","8.59","U","13.91","U","3.28","U"
"USR0000VESS","2012","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","359.5","","359.5","U","5","U","131","U","32","U","133","U","12","U","-22.2","U,0116,","36.1","U,0621,","-2.2","U,1012","-2.2","U,1012","-4.4","U,1106","-6.7","U,1107","-14.4","U,1130","-2.8","U,0430","-2.8","U,0430","-5.0","U,0403","-17.2","U,0306","-17.2","U,0306","3312.9","","3312.9","U","9.54","U","14.98","U","4.10","U"
"USR0000VESS","2013","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","310.2","","310.2","U","14","U","150","U","57","U","128","U","10","U","-25.0","U,0103,","35.6","U,0719,+","-1.1","U,1024","-4.4","U,1028","-4.4","U,1028","-7.8","U,1104","-10.0","U,1124","0.0","U,0514","-3.3","U,0422","-5.0","U,0406","-7.8","U,0322","-12.8","U,0318","3812.8","","3812.8","U","8.01","U","13.33","U","2.69","U"
"USR0000VESS","2015","44.5078","-73.1156","103.6","ESSEX JUNCTION VERMONT, VT US","","","","","35","U","139","U","63","U","134","U","8","U","-28.3","U,0224,","35.6","U,0729,","-1.7","U,1017","-3.3","U,1018","-5.6","U,1019","-6.7","U,1124","-9.4","U,1228","0.0","U,0523","-2.2","U,0416","-6.1","U,0408","-7.8","U,0401","-10.0","U,0329","4179.8","","4179.8","U","7.91","U","13.80","U","2.01","U"
