"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000WDEV","2002","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","337.4","","337.4","U","30","U","204","U","39","U","122","U","45","U","-27.8","U,0308,+","41.7","U,0715,+","-1.7","U,0817","-2.2","U,0921","-5.0","U,1012","-7.8","U,1022","-11.1","U,1026","-5.0","U,0524","-5.0","U,0524","-5.0","U,0524","-8.3","U,0425","-10.6","U,0404","4257.7","","4257.7","U","6.79","U","15.33","U","-1.75","U"
"USR0000WDEV","2005","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","293.8","","293.8","U","24","U","193","U","36","U","136","U","38","U","-33.3","U,1207,","40.0","U,0716,+","-0.6","U,0901","-5.6","U,1006","-5.6","U,1006","-7.8","U,1022","-10.0","U,1023","-1.1","U,0529","-2.2","U,0512","-7.8","U,0503","-7.8","U,0503","-8.9","U,0430","4074.8","","4074.8","U","7.64","U","15.90","U","-0.62","U"
"USR0000WDEV","2006","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","296.7","","296.7","U","12","U","204","U","20","U","141","U","46","U","-29.4","U,0218,","42.8","U,0728,","-0.6","U,0903","-2.2","U,0919","-6.1","U,1011","-11.1","U,1012","-11.1","U,1012","-0.6","U,0530","-2.2","U,0510","-5.0","U,0425","-7.8","U,0323","-8.9","U,0317","3952.3","","3952.3","U","7.89","U","16.39","U","-0.61","U"
"USR0000WDEV","2007","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","361.4","","361.4","U","28","U","193","U","45","U","139","U","47","U","-31.7","U,0214,","40.0","U,0723,","0.0","U,0909","-3.3","U,0913","-5.0","U,0914","-8.3","U,1027","-8.9","U,1102","-2.2","U,0524","-2.2","U,0524","-4.4","U,0414","-11.7","U,0408","-11.7","U,0408","4201.3","","4201.3","U","7.52","U","15.98","U","-0.93","U"
"USR0000WDEV","2008","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","186.6","","186.6","U","34","U","211","U","40","U","130","U","20","U","-32.8","U,1215,","36.7","U,0801,","-1.1","U,0903","-2.2","U,0923","-7.8","U,1013","-7.8","U,1013","-9.4","U,1023","-1.1","U,0511","-2.2","U,0510","-4.4","U,0504","-9.4","U,0503","-9.4","U,0503","4497.2","","4497.2","U","5.84","U","14.18","U","-2.51","U"
"USR0000WDEV","2009","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","124.9","","124.9","U","35","U","210","U","47","U","128","U","22","U","-28.9","U,1209,+","36.1","U,0719,","-1.7","U,0923","-5.6","U,0928","-5.6","U,0928","-7.2","U,1003","-13.9","U,1009","-3.3","U,0516","-3.3","U,0516","-5.6","U,0502","-6.7","U,0407","-16.7","U,0406","4528.5","","4528.5","U","5.88","U","14.20","U","-2.45","U"
"USR0000WDEV","2010","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","200.3","","200.3","U","33","U","200","U","38","U","139","U","33","U","-37.8","U,0107,","38.3","U,0822,","-1.1","U,0903","-5.0","U,1012","-5.0","U,1012","-7.2","U,1018","-9.4","U,1104","-2.2","U,0514","-2.2","U,0514","-6.7","U,0508","-6.7","U,0508","-11.1","U,0320","4725.8","","4725.8","U","6.45","U","15.24","U","-2.34","U"
"USR0000WDEV","2011","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","243.7","","243.7","U","27","U","201","U","36","U","119","U","38","U","-35.6","U,0201,","38.3","U,0825,+","-1.7","U,0904","-3.3","U,0921","-4.4","U,1018","-6.7","U,1019","-10.0","U,1102","-1.1","U,0528","-2.2","U,0513","-5.0","U,0424","-7.8","U,0420","-15.0","U,0309","4468.7","","4468.7","U","6.54","U","14.92","U","-1.83","U"
"USR0000WDEV","2012","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3912.5","","3912.5","U","","","","","",""
"USR0000WDEV","2013","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","267.9","","267.9","U","26","U","211","U","40","U","134","U","29","U","-32.2","U,1206,","36.7","U,0711,","-0.6","U,0920","-3.9","U,1005","-6.7","U,1006","-6.7","U,1006","-8.9","U,1116","-2.2","U,0511","-2.2","U,0511","-4.4","U,0506","-7.8","U,0502","-12.2","U,0423","","","","","6.78","U","15.05","U","-1.49","U"
"USR0000WDEV","2014","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","150.7","","150.7","U","37","U","199","U","49","U","131","U","21","U","-34.4","U,0206,","37.2","U,0724,","-0.6","U,0905","-2.2","U,0914","-5.0","U,1028","-6.7","U,1104","-22.2","U,1111","0.0","U,0609","-5.0","U,0515","-5.0","U,0515","-10.0","U,0414","-10.0","U,0414","4577.4","","4577.4","U","6.33","U","14.60","U","-1.94","U"
"USR0000WDEV","2015","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","246.0","","246.0","U","23","U","191","U","37","U","144","U","40","U","-30.0","U,0109,","38.3","U,0814,","-2.2","U,0823","-2.2","U,0823","-5.6","U,1016","-7.8","U,1028","-9.4","U,1029","-2.2","U,0521","-2.2","U,0521","-5.6","U,0511","-7.2","U,0420","-10.6","U,0403","4076.3","","4076.3","U","8.07","U","16.76","U","-0.62","U"
"USR0000WDEV","2016","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","333.0","","333.0","U","21","U","192","U","26","U","158","U","46","U","-36.7","U,1217,","40.6","U,0722,","-1.1","U,1005","-4.4","U,1006","-4.4","U,1006","-9.4","U,1012","-9.4","U,1012","-1.1","U,0601","-7.2","U,0514","-7.2","U,0514","-7.2","U,0514","-8.9","U,0324","3822.1","","3822.1","U","8.45","U","17.37","U","-0.48","U"
"USR0000WDEV","2017","44.5817","-104.7194","1188.7","DEVILS TOWER WYOMING, WY US","279.9","","279.9","U","26","U","197","U","39","U","136","U","48","U","-32.8","U,0104,","39.4","U,0705,","-2.8","U,0905","-2.8","U,0905","-5.0","U,1004","-7.2","U,1024","-8.9","U,1026","0.0","U,0624","-2.2","U,0502","-6.7","U,0430","-6.7","U,0430","-10.6","U,0313","4147.0","","4147.0","U","7.44","U","16.05","U","-1.17","U"
