"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0006K30S","1981","39.32","-106.61","2926.1","KILN, CO US","","","","","109","T","109","T","","","","","","","","","","","","","","","","","76.2",",T,1215,","","","","","","","","","","","","","","","","","","","","","","","","","","","716.9",",T","","","","","",""
"USS0006K30S","1982","39.32","-106.61","2926.1","KILN, CO US","","","","","111","T","111","T","","","","","","","","","","","","","","","","","25.4",",T,0512,","","","","","","","","","","","","","","","","","","","","","","","","","","","602.7",",T","","","","","",""
"USS0006K30S","1983","39.32","-106.61","2926.1","KILN, CO US","","","","","156","T","156","T","","","","","","","","","","","","","","","","","25.4",",T,0720,+","","","","","","","","","","","","","","","","","","","","","","","","","","","984.0",",T","","","","","",""
"USS0006K30S","1984","39.32","-106.61","2926.1","KILN, CO US","","","","","118","T","118","T","","","","","","","","","","","","","","","","","45.7",",T,0606,","","","","","","","","","","","","","","","","","","","","","","","","","","","791.2",",T","","","","","",""
"USS0006K30S","1985","39.32","-106.61","2926.1","KILN, CO US","","","","","104","T","104","T","","","","","","","","","","","","","","","","","33.0",",T,1007,","","","","","","","","","","","","","","","","","","","","","","","","","","","646.8",",T","","","","","",""
"USS0006K30S","1986","39.32","-106.61","2926.1","KILN, CO US","","","","","115","T","115","T","","","","","","","46","T","49","T","0","T","","","","","20.3",",T,0909,+","28.2","T,0818,","","","","","","","","","","","","","","","","","","","","","","","","","664.0",",T","","","10.09","T","",""
"USS0006K30S","1987","39.32","-106.61","2926.1","KILN, CO US","","","","","107","T","107","T","","","","","","","71","T","64","T","0","T","","","","","17.8",",T,0607,","29.9","T,0724,","","","","","","","","","","","","","","","","","","","","","","","","","508.4",",T","","","10.23","T","",""
"USS0006K30S","1988","39.32","-106.61","2926.1","KILN, CO US","","","","","99","T","99","T","","","","","","","85","T","85","T","0","T","","","","","20.3",",T,1107,","28.4","T,0815,","","","","","","","","","","","","","","","","","","","","","","","","","504.2",",T","","","9.95","T","",""
"USS0006K30S","1989","39.32","-106.61","2926.1","KILN, CO US","","","","","86","T","86","T","","","","","","","61","T","66","T","0","T","","","","","25.4",",T,0204,","30.8","T,0706,","","","","","","","","","","","","","","","","","","","","","","","","","527.4",",T","","","10.40","T","",""
"USS0006K30S","1990","39.32","-106.61","2926.1","KILN, CO US","","","","","101","T","101","T","","","","","","","","","","","","","","","","","17.8",",T,1105,","","","","","","","","","","","","","","","","","","","","","","","","","","","544.5",",T","","","","","",""
"USS0006K30S","1991","39.32","-106.61","2926.1","KILN, CO US","","","","","114","T","114","T","","","","","","","","","","","","","","","","","22.9",",T,1118,+","","","","","","","","","","","","","","","","","","","","","","","","","","","584.6",",T","","","","","",""
"USS0006K30S","1992","39.32","-106.61","2926.1","KILN, CO US","","","","","102","T","102","T","","","","","","","68","T","49","T","0","T","","","","","20.3",",T,1102,","26.8","T,0809,","","","","","","","","","","","","","","","","","","","","","","","","","544.2",",T","","","10.18","T","",""
"USS0006K30S","1993","39.32","-106.61","2926.1","KILN, CO US","","","","","143","T","143","T","","","","","","","","","","","","","","","","","43.2",",T,0327,","","","","","","","","","","","","","","","","","","","","","","","","","","","757.0",",T","","","","","",""
"USS0006K30S","1994","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","114","T","114","T","","","48","T","262","T","57","T","85","T","0","T","-30.8","T,0131,","","","22.9",",T,0404,","29.7","T,0722,","-0.2","T,0830","-3.2","T,0915","-4.4","T,0916","-6.7","T,1009","-9.3","T,1020","0.0","T,0728","-4.8","T,0727","-4.8","T,0727","-7.5","T,0504","-9.5","T,0501","","","","","444.2",",T","1.69","T","10.92","T","-7.54","T"
"USS0006K30S","1995","39.32","-106.61","2926.1","KILN, CO US","","","","","145","T","145","T","","","","","","","","","","","","","","","","","30.5",",T,0508,","","","","","","","","","","","","","","","","","","","","","","","6151.2","","6151.2","T","820.4",",T","","","","","",""
"USS0006K30S","1996","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","139","T","139","T","","","58","T","272","T","77","T","75","T","0","T","-30.9","T,1218,","","","30.5",",T,0220,","26.1","T,0813,+","-1.3","T,0805","-2.8","T,0908","-4.7","T,0918","-10.6","T,0927","-10.6","T,0927","-0.2","T,0629","-3.0","T,0607","-5.1","T,0505","-15.4","T,0429","-15.4","T,0429","","","","","798.0",",T","1.06","T","9.83","T","-7.70","T"
"USS0006K30S","1997","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","131","T","131","T","","","71","T","263","T","75","T","57","T","0","T","-28.8","T,0107,","","","17.8",",T,0522,+","28.5","T,0803,","-0.7","T,0812","-2.2","T,0923","-10.0","T,1008","-10.0","T,1008","-10.0","T,1008","-0.3","T,0714","-2.3","T,0702","-5.2","T,0510","-9.3","T,0502","-9.3","T,0502","6292.1","","6292.1","T","609.6",",T","0.88","T","9.74","T","-7.99","T"
"USS0006K30S","1998","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","134","T","134","T","","","58","T","276","T","66","T","63","T","0","T","-29.8","T,1221,","","","30.5",",T,0810,","28.9","T,0720,","0.0","T,0802","-2.3","T,0921","-4.4","T,0927","-13.8","T,1005","-13.8","T,1005","-1.3","T,0625","-2.2","T,0619","-5.0","T,0606","-7.0","T,0508","-9.9","T,0429","6302.4","","6302.4","T","716.7",",T","1.44","T","10.22","T","-7.35","T"
"USS0006K30S","1999","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","122","T","122","T","","","47","T","282","T","64","T","48","T","0","T","-27.9","T,0211,","","","15.2",",T,0730,+","28.3","T,0705,","0.0","T,0813","-2.4","T,0904","-5.1","T,0921","-6.7","T,0927","-11.9","T,1016","-0.7","T,0618","-2.2","T,0613","-5.6","T,0518","-8.0","T,0517","-14.7","T,0512","5991.1","","5991.1","T","607.4",",T","1.63","T","10.37","T","-7.12","T"
"USS0006K30S","2000","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","121","T","121","T","","","47","T","262","T","74","T","81","T","0","T","-26.6","T,1117,","","","33.0",",T,0422,","28.5","T,0809,","-0.9","T,0903","-2.2","T,0912","-6.9","T,0924","-6.9","T,0924","-9.0","T,0925","-0.4","T,0705","-2.3","T,0621","-10.0","T,0513","-10.0","T,0513","-10.0","T,0513","5835.2","","5835.2","T","653.3",",T","1.87","T","10.78","T","-7.05","T"
"USS0006K30S","2001","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","133","T","133","T","","","60","T","271","T","63","T","78","T","0","T","-27.4","T,0131,","","","25.4",",T,0422,","28.0","T,0706,+","0.0","T,0818","-2.4","T,0907","-5.9","T,0908","-7.3","T,0909","-9.7","T,1010","0.0","T,0619","-2.3","T,0616","-5.5","T,0615","-10.0","T,0521","-10.0","T,0521","6083.0","","6083.0","T","568.7",",T","1.93","T","10.93","T","-7.06","T"
"USS0006K30S","2002","39.32","-106.61","2926.1","KILN, CO US","0.0","","0.0","T","106","T","106","T","","","71","T","275","T","78","T","86","T","0","T","-29.5","T,0119,","","","25.4",",T,1109,+","29.5","T,0701,","-1.4","T,0810","-2.6","T,0914","-4.6","T,0927","-7.7","T,1012","-9.3","T,1013","-0.2","T,0729","-2.3","T,0613","-6.8","T,0525","-6.8","T,0525","-10.2","T,0509","5895.2","","5895.2","T","439.7",",T","1.33","T","10.67","T","-8.01","T"
