"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0011G05S","1981","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","99","T","99","T","","","","","","","","","","","","","","","","","33.0",",T,0521,","","","","","","","","","","","","","","","","","","","","","","","","","","","870.7",",T","","","","","",""
"USS0011G05S","1982","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","138","T","138","T","","","","","","","","","","","","","","","","","38.1",",T,0925,","","","","","","","","","","","","","","","","","","","","","","","","","","","1109.5",",T","","","","","",""
"USS0011G05S","1983","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","157","T","157","T","","","","","","","","","","","","","","","","","27.9",",T,1226,","","","","","","","","","","","","","","","","","","","","","","","","","","","1118.8",",T","","","","","",""
"USS0011G05S","1984","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","150","T","150","T","","","","","","","","","","","","","","","","","33.0",",T,0923,","","","","","","","","","","","","","","","","","","","","","","","","","","","844.3",",T","","","","","",""
"USS0011G05S","1985","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","113","T","113","T","","","","","","","","","","","","","","","","","38.1",",T,1107,","","","","","","","","","","","","","","","","","","","","","","","","","","","847.8",",T","","","","","",""
"USS0011G05S","1986","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","125","T","125","T","","","","","","","","","","","","","","","","","43.2",",T,0219,","","","","","","","","","","","","","","","","","","","","","","","","","","","981.5",",T","","","","","",""
"USS0011G05S","1987","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","103","T","103","T","","","","","","","","","","","","","","","","","17.8",",T,0517,","","","","","","","","","","","","","","","","","","","","","","","","","","","562.9",",T","","","","","",""
"USS0011G05S","1988","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","87","T","87","T","","","","","","","","","","","","","","","","","22.9",",T,0209,","","","","","","","","","","","","","","","","","","","","","","","","","","","566.0",",T","","","","","",""
"USS0011G05S","1989","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","93","T","93","T","","","","","","","","","","","","","","","","","33.0",",T,0302,","","","","","","","","","","","","","","","","","","","","","","","","","","","659.7",",T","","","","","",""
"USS0011G05S","1990","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","118","T","118","T","","","","","","","79","T","85","T","0","T","","","","","30.5",",T,0427,","31.5","T,0807,","","","","","","","","","","","","","","","","","","","","","","","","","683.3",",T","","","10.16","T","",""
"USS0011G05S","1991","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","155","T","155","T","","","","","","","79","T","76","T","0","T","","","","","30.5",",T,0304,","29.1","T,0731,","","","","","","","","","","","","","","","","","","","","","","","","","852.8",",T","","","9.78","T","",""
"USS0011G05S","1992","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","106","T","106","T","","","20","T","200","T","74","T","78","T","0","T","-23.6","T,1204,","","","25.4",",T,0417,","30.5","T,0813,","-3.8","T,0824","-3.8","T,0824","-5.0","T,0926","-8.8","T,1007","-15.6","T,1104","-0.5","T,0616","-2.6","T,0510","-7.3","T,0424","-7.3","T,0424","-9.9","T,0407","","","","","538.9",",T","4.02","T","11.04","T","-2.99","T"
"USS0011G05S","1993","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","","","","","141","T","141","T","","","","","","","","","","","","","","","","","38.1",",T,0505,","","","","","","","","","","","","","","","","","","","","","","","","","","","914.8",",T","","","","","",""
"USS0011G05S","1994","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","22.8","","22.8","T","123","T","123","T","","","18","T","219","T","74","T","101","T","0","T","-24.2","T,0131,","","","22.9",",T,1005,","31.5","T,0805,","-0.3","T,0914","-2.8","T,1003","-4.4","T,1019","-7.3","T,1028","-9.8","T,1029","-1.4","T,0706","-2.7","T,0521","-5.6","T,0502","-7.7","T,0429","-12.8","T,0408","","","","","707.4",",T","3.93","T","10.99","T","-3.14","T"
"USS0011G05S","1995","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","3.5","","3.5","T","147","T","147","T","","","14","T","242","T","61","T","69","T","0","T","-24.2","T,0101,","","","30.5",",T,1112,","29.5","T,0728,","0.0","T,0809","-6.6","T,0920","-6.6","T,0920","-7.9","T,0921","-8.9","T,1013","-0.9","T,0731","-5.2","T,0607","-5.2","T,0607","-7.2","T,0424","-9.8","T,0420","5451.8","","5451.8","T","1016.4",",T","3.48","T","10.16","T","-3.21","T"
"USS0011G05S","1996","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","11.3","","11.3","T","129","T","129","T","","","20","T","238","T","74","T","97","T","0","T","-27.5","T,1217,","","","35.6",",T,1221,+","30.9","T,0811,","-0.2","T,0807","-3.1","T,0905","-4.5","T,0906","-7.7","T,0923","-13.7","T,1017","-0.4","T,0629","-3.5","T,0619","-5.3","T,0504","-7.6","T,0429","-11.0","T,0428","5398.5","","5398.5","T","1078.2",",T","3.43","T","10.39","T","-3.54","T"
"USS0011G05S","1997","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","3.2","","3.2","T","137","T","137","T","","","25","T","231","T","88","T","74","T","0","T","-24.0","T,0112,","","","33.0",",T,0712,","28.8","T,0803,","-0.8","T,0915","-2.2","T,0927","-4.7","T,1006","-8.5","T,1012","-9.8","T,1013","-1.0","T,0704","-2.8","T,0624","-5.6","T,0503","-6.8","T,0501","-13.8","T,0413","5430.2","","5430.2","T","876.7",",T","3.03","T","9.89","T","-3.83","T"
"USS0011G05S","1998","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","14.0","","14.0","T","159","T","159","T","","","19","T","236","T","68","T","77","T","0","T","-29.3","T,1221,","","","33.0",",T,0111,","31.9","T,0718,","-1.6","T,0919","-5.6","T,1004","-5.6","T,1004","-7.6","T,1005","-9.7","T,1106","-0.9","T,0628","-2.5","T,0627","-4.4","T,0518","-6.9","T,0419","-13.2","T,0418","5517.7","","5517.7","T","948.2",",T","3.57","T","10.08","T","-2.94","T"
"USS0011G05S","1999","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","5.1","","5.1","T","120","T","120","T","","","12","T","236","T","74","T","80","T","0","T","-23.3","T,0211,","","","27.9",",T,0207,","30.9","T,0727,","-1.5","T,0907","-2.2","T,0908","-5.3","T,0926","-7.2","T,0927","-10.2","T,0928","-0.3","T,0705","-3.3","T,0609","-4.8","T,0517","-7.4","T,0516","-11.0","T,0511","5343.4","","5343.4","T","735.5",",T","3.72","T","10.88","T","-3.43","T"
"USS0011G05S","2000","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","41.9","","41.9","T","127","T","127","T","","","7","T","237","T","77","T","88","T","3","T","-20.0","T,1118,","","","22.9",",T,0214,+","33.7","T,0801,","-0.7","T,0903","-2.3","T,0907","-5.3","T,0923","-8.6","T,0924","-12.2","T,1102","-1.4","T,0620","-4.8","T,0601","-4.8","T,0601","-7.4","T,0512","-9.5","T,0403","5040.4","","5040.4","T","727.4",",T","3.95","T","11.07","T","-3.18","T"
"USS0011G05S","2001","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","30.1","","30.1","T","105","T","105","T","","","18","T","227","T","75","T","108","T","2","T","-25.2","T,0208,","","","22.9",",T,1206,","32.7","T,0704,","-0.4","T,0906","-3.3","T,0907","-4.9","T,0908","-9.1","T,1010","-9.1","T,1010","-0.9","T,0614","-6.2","T,0613","-6.2","T,0613","-6.8","T,0503","-9.2","T,0415","5417.5","","5417.5","T","539.2",",T","4.23","T","11.60","T","-3.15","T"
"USS0011G05S","2002","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","27.2","","27.2","T","122","T","122","T","","","25","T","237","T","68","T","91","T","3","T","-27.1","T,0226,","","","20.3",",T,0121,","34.0","T,0713,","-0.2","T,0919","-2.3","T,1003","-7.7","T,1012","-7.7","T,1012","-9.5","T,1030","-1.3","T,0612","-3.4","T,0611","-5.5","T,0610","-7.1","T,0523","-11.9","T,0508","5316.7","","5316.7","T","625.5",",T","3.64","T","10.52","T","-3.24","T"
"USS0011G05S","2003","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","70.7","","70.7","T","131","T","131","T","186","","8","T","207","T","44","T","93","T","0","T","-21.9","T,0207,","1194",",T,0307,+","25.4",",T,0130,","32.0","T,0719,","-0.6","T,0909","-3.2","T,0913","-4.5","T,0918","-7.0","T,1025","-10.0","T,1030","-1.0","T,0607","-6.8","T,0519","-6.8","T,0519","-6.8","T,0519","-9.2","T,0408","4886.9","","4886.9","T","718.8",",T","5.28","T","11.89","T","-1.34","T"
"USS0011G05S","2004","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","4.4","","4.4","T","120","T","120","T","173","","8","T","202","T","46","T","65","T","0","T","-23.6","T,1223,","1219",",T,0305,+","40.6",",T,0528,","28.8","T,0714,","0.0","T,0827","-2.4","T,0915","-6.6","T,1024","-12.2","T,1031","-12.2","T,1031","-0.6","T,0531","-2.3","T,0525","-7.9","T,0329","-7.9","T,0329","-9.9","T,0303","4848.2","","4848.2","T","849.3",",T","4.60","T","11.05","T","-1.86","T"
"USS0011G05S","2005","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","16.4","","16.4","T","122","T","122","T","192","","9","T","217","T","37","T","78","T","0","T","-26.3","T,1207,","1143",",T,0220,","27.9",",T,0108,","30.9","T,0713,","-0.5","T,0831","-2.6","T,0926","-6.1","T,1030","-6.8","T,1031","-14.3","T,1114","-1.9","T,0613","-3.9","T,0608","-5.8","T,0501","-8.3","T,0415","-10.6","T,0401","5041.9","","5041.9","T","875.1",",T","4.66","T","11.49","T","-2.18","T"
"USS0011G05S","2006","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","39.7","","39.7","T","136","T","136","T","183","","16","T","212","T","48","T","95","T","1","T","-23.3","T,1130,+","1473",",T,0222,+","20.3",",T,1113,+","32.2","T,0728,","-1.1","T,0831","-2.8","T,0918","-6.6","T,1018","-8.9","T,1026","-8.9","T,1026","-2.0","T,0531","-3.1","T,0511","-5.8","T,0503","-8.6","T,0420","-10.4","T,0419","4980.5","","4980.5","T","846.0",",T","4.76","T","11.80","T","-2.29","T"
"USS0011G05S","2007","42.56","-111.3","2202.2","SLUG CREEK DIVIDE, ID US","65.7","","65.7","T","122","T","122","T","157","","18","T","213","T","51","T","101","T","2","T","-26.1","T,0114,","1448",",T,0301,","22.9",",T,0904,+","33.7","T,0723,","-0.1","T,0909","-2.2","T,0926","-7.3","T,1021","-7.3","T,1021","-9.0","T,1114","-0.9","T,0618","-2.6","T,0529","-5.4","T,0504","-6.9","T,0420","-12.8","T,0411","4851.7","","4851.7","T","650.1",",T","5.47","T","12.72","T","-1.77","T"
