"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0016A10S","1985","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","","","","","115","T","115","T","","","","","","","","","","","","","","","","","45.7",",T,1024,","","","","","","","","","","","","","","","","","","","","","","","","","","","1002.0",",T","","","","","",""
"USS0016A10S","1986","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","","","","","145","T","145","T","","","","","","","","","","","","","","","","","63.5",",T,1123,","","","","","","","","","","","","","","","","","","","","","","","","","","","1296.5",",T","","","","","",""
"USS0016A10S","1987","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","","","","","123","T","123","T","","","","","","","","","","","","","","","","","66.0",",T,0303,","","","","","","","","","","","","","","","","","","","","","","","","","","","1330.0",",T","","","","","",""
"USS0016A10S","1990","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","","","","","152","T","152","T","","","14","T","204","T","127","T","25","T","0","T","-32.2","T,1229,","","","58.4",",T,1124,","26.7","T,0711,","-2.6","T,1002","-2.6","T,1002","-4.4","T,1005","-7.2","T,1007","-9.8","T,1101","-0.3","T,0613","-2.5","T,0612","-4.6","T,0508","-6.9","T,0507","-9.6","T,0429","","","","","1532.3",",T","1.90","T","5.41","T","-1.61","T"
"USS0016A10S","1991","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","1.8","","1.8","T","148","T","148","T","","","5","T","198","T","137","T","17","T","0","T","-20.7","T,0128,","","","43.2",",T,1116,+","26.1","T,0809,","-0.8","T,0921","-6.4","T,1017","-6.4","T,1017","-6.9","T,1023","-9.2","T,1026","-1.1","T,0617","-2.9","T,0525","-4.6","T,0509","-8.9","T,0410","-8.9","T,0410","","","","","1354.9",",T","2.06","T","5.48","T","-1.38","T"
"USS0016A10S","1992","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","22.3","","22.3","T","143","T","143","T","","","2","T","200","T","114","T","26","T","0","T","-18.4","T,1218,","","","43.2",",T,0822,","25.8","T,0814,","-4.1","T,0822","-4.1","T,0822","-4.6","T,0823","-7.5","T,1014","-9.1","T,1109","-0.5","T,0614","-2.3","T,0516","-6.2","T,0511","-8.3","T,0408","-9.0","T,0407","4897.4","","4897.4","T","1206.6",",T","3.11","T","6.50","T","-0.28","T"
"USS0016A10S","1993","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","","","","","153","T","153","T","","","","","","","","","","","","","","","","","61.0",",T,1121,","","","","","","","","","","","","","","","","","","","","","","","5845.5","","5845.5","T","1197.0",",T","","","","","",""
"USS0016A10S","1994","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","38.9","","38.9","T","148","T","148","T","","","3","T","196","T","125","T","32","T","0","T","-24.2","T,0207,","","","55.9",",T,1026,","29.3","T,0723,","-3.1","T,1002","-3.1","T,1002","-5.8","T,1022","-8.1","T,1029","-11.0","T,1102","-0.5","T,0615","-2.8","T,0614","-4.5","T,0428","-9.4","T,0325","-9.4","T,0325","","","","","1405.1",",T","2.61","T","6.05","T","-0.83","T"
"USS0016A10S","1995","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","0.1","","0.1","T","144","T","144","T","","","7","T","220","T","114","T","9","T","0","T","-23.9","T,0212,","","","58.4",",T,1212,","22.9","T,0709,","-0.3","T,0817","-2.8","T,1001","-5.8","T,1022","-9.2","T,1029","-9.2","T,1029","0.0","T,0620","-2.2","T,0606","-5.1","T,0429","-8.5","T,0420","-11.3","T,0307","5778.1","","5778.1","T","1600.8",",T","2.12","T","5.45","T","-1.22","T"
"USS0016A10S","1996","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","14.6","","14.6","T","173","T","173","T","","","15","T","220","T","147","T","25","T","0","T","-25.1","T,0129,","","","83.8",",T,0423,","25.7","T,0728,","-0.3","T,0805","-2.2","T,0921","-8.7","T,1016","-8.7","T,1016","-9.1","T,1017","-1.2","T,0619","-3.2","T,0618","-6.1","T,0509","-6.8","T,0403","-9.1","T,0330","6202.3","","6202.3","T","1852.3",",T","1.07","T","4.33","T","-2.19","T"
