"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0016C01S","1983","46.95","-116.34","975.4","SHERWIN, ID US","","","","","155","T","155","T","","","","","","","","","","","","","","","","","53.3",",T,0910,","","","","","","","","","","","","","","","","","","","","","","","","","","","1365.1",",T","","","","","",""
"USS0016C01S","1984","46.95","-116.34","975.4","SHERWIN, ID US","","","","","169","T","169","T","","","","","","","","","","","","","","","","","35.6",",T,0831,","","","","","","","","","","","","","","","","","","","","","","","","","","","1250.5",",T","","","","","",""
"USS0016C01S","1985","46.95","-116.34","975.4","SHERWIN, ID US","","","","","112","T","112","T","","","","","","","","","","","","","","","","","35.6",",T,0606,","","","","","","","","","","","","","","","","","","","","","","","","","","","835.2",",T","","","","","",""
"USS0016C01S","1986","46.95","-116.34","975.4","SHERWIN, ID US","","","","","129","T","129","T","","","","","","","","","","","","","","","","","25.4",",T,1123,+","","","","","","","","","","","","","","","","","","","","","","","","","","","944.3",",T","","","","","",""
"USS0016C01S","1987","46.95","-116.34","975.4","SHERWIN, ID US","","","","","93","T","93","T","","","","","","","","","","","","","","","","","33.0",",T,0718,","","","","","","","","","","","","","","","","","","","","","","","","","","","746.4",",T","","","","","",""
"USS0016C01S","1988","46.95","-116.34","975.4","SHERWIN, ID US","","","","","134","T","134","T","","","","","","","","","","","","","","","","","40.6",",T,0114,","","","","","","","","","","","","","","","","","","","","","","","","","","","1034.7",",T","","","","","",""
"USS0016C01S","1989","46.95","-116.34","975.4","SHERWIN, ID US","","","","","128","T","128","T","","","","","","","","","","","","","","","","","45.7",",T,0115,","","","","","","","","","","","","","","","","","","","","","","","","","","","971.3",",T","","","","","",""
"USS0016C01S","1990","46.95","-116.34","975.4","SHERWIN, ID US","","","","","142","T","142","T","","","","","","","65","T","91","T","20","T","","","","","48.3",",T,0601,","37.1","T,0711,","","","","","","","","","","","","","","","","","","","","","","","","","1314.4",",T","","","11.98","T","",""
"USS0016C01S","1991","46.95","-116.34","975.4","SHERWIN, ID US","","","","","122","T","122","T","","","","","","","58","T","86","T","9","T","","","","","38.1",",T,0107,","34.8","T,0712,","","","","","","","","","","","","","","","","","","","","","","","","","1020.5",",T","","","11.80","T","",""
"USS0016C01S","1992","46.95","-116.34","975.4","SHERWIN, ID US","","","","","129","T","129","T","","","","","","","65","T","95","T","17","T","","","","","43.2",",T,0822,","36.4","T,0623,","","","","","","","","","","","","","","","","","","","","","","","","","897.6",",T","","","12.94","T","",""
"USS0016C01S","1993","46.95","-116.34","975.4","SHERWIN, ID US","","","","","130","T","130","T","","","","","","","","","","","","","","","","","33.0",",T,0124,","","","","","","","","","","","","","","","","","","","","","","","","","","","869.5",",T","","","","","",""
"USS0016C01S","1994","46.95","-116.34","975.4","SHERWIN, ID US","","","","","117","T","117","T","","","","","","","","","","","","","","","","","58.4",",T,1031,","","","","","","","","","","","","","","","","","","","","","","","","","","","910.4",",T","","","","","",""
"USS0016C01S","1995","46.95","-116.34","975.4","SHERWIN, ID US","21.0","","21.0","T","140","T","140","T","","","5","T","203","T","42","T","81","T","2","T","-22.0","T,0104,","","","40.6",",T,0219,","32.7","T,0805,","-1.6","T,0920","-3.3","T,0921","-4.6","T,1029","-8.3","T,1031","-10.6","T,1101","0.0","T,0606","-2.9","T,0514","-4.9","T,0417","-6.8","T,0328","-9.4","T,0303","4640.9","","4640.9","T","1212.0",",T","5.59","T","11.28","T","-0.10","T"
"USS0016C01S","1996","46.95","-116.34","975.4","SHERWIN, ID US","50.9","","50.9","T","143","T","143","T","","","6","T","208","T","70","T","78","T","19","T","-27.5","T,0202,","","","50.8",",T,0423,","36.4","T,0728,","0.0","T,0917","-3.7","T,0923","-6.3","T,1017","-7.2","T,1021","-8.9","T,1121","-0.5","T,0620","-4.0","T,0510","-4.6","T,0509","-8.5","T,0326","-11.8","T,0325","4835.4","","4835.4","T","1410.4",",T","5.15","T","11.01","T","-0.71","T"
"USS0016C01S","1997","46.95","-116.34","975.4","SHERWIN, ID US","36.0","","36.0","T","138","T","138","T","","","6","T","211","T","31","T","99","T","7","T","-23.6","T,0113,","","","38.1",",T,1030,","35.6","T,0803,","-1.1","T,1005","-3.4","T,1008","-5.0","T,1024","-7.9","T,1111","-8.9","T,1112","-0.4","T,0627","-2.3","T,0521","-4.9","T,0413","-9.8","T,0412","-9.8","T,0412","4746.9","","4746.9","T","1157.1",",T","5.98","T","12.45","T","-0.49","T"
"USS0016C01S","1998","46.95","-116.34","975.4","SHERWIN, ID US","113.9","","113.9","T","130","T","130","T","","","8","T","187","T","27","T","107","T","26","T","-27.0","T,1221,","","","38.1",",T,1120,","36.5","T,0805,","-0.6","T,0921","-2.6","T,1005","-4.4","T,1017","-6.8","T,1030","-14.4","T,1218","-0.4","T,0604","-2.6","T,0516","-4.4","T,0418","-7.6","T,0330","-12.4","T,0307","4269.3","","4269.3","T","1088.4",",T","7.00","T","13.50","T","0.51","T"
"USS0016C01S","1999","46.95","-116.34","975.4","SHERWIN, ID US","48.2","","48.2","T","122","T","122","T","","","0","T","230","T","24","T","88","T","8","T","-13.6","T,0306,","","","40.6",",T,1125,","36.5","T,0727,","-0.8","T,0831","-2.3","T,0901","-4.5","T,0927","-6.7","T,0928","-9.0","T,1204","-0.5","T,0703","-2.3","T,0610","-4.9","T,0511","-7.8","T,0415","-10.6","T,0402","4471.5","","4471.5","T","1060.6",",T","5.95","T","12.66","T","-0.76","T"
