"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0046M04S","2008","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","0.0","","0.0","T","180","T","180","T","233","","0","T","166","T","74","T","1","T","0","T","-17.3","T,0201,","2007",",T,0410,","66.0",",T,1010,","21.8","T,0729,","-0.8","T,1008","-7.2","T,1024","-7.2","T,1024","-7.2","T,1024","-9.4","T,1025","-0.9","T,0421","-3.3","T,0419","-6.1","T,0418","-7.4","T,0410","-11.6","T,0211","","","","","1867.5",",T","2.48","T","5.25","T","-0.28","T"
"USS0046M04S","2009","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","2.1","","2.1","T","166","T","166","T","197","","3","T","155","T","90","T","6","T","0","T","-20.3","T,0107,","1956",",T,1216,","73.7",",T,1215,","27.1","T,0706,","-1.5","T,1030","-3.2","T,1101","-5.6","T,1111","-8.9","T,1112","-8.9","T,1112","-1.1","T,0420","-3.5","T,0408","-7.8","T,0402","-7.8","T,0402","-9.6","T,0401","5649.7","","5649.7","T","1713.1",",T","3.35","T","6.21","T","0.48","T"
"USS0046M04S","2010","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","0.0","","0.0","T","169","T","169","T","218","","0","T","157","T","58","T","0","T","0","T","-14.8","T,1225,","2413",",T,0310,+","50.8",",T,1104,","21.0","T,0912,","-0.9","T,1016","-3.2","T,1110","-5.3","T,1116","-11.9","T,1201","-11.9","T,1201","-0.4","T,0501","-2.3","T,0424","-5.7","T,0410","-11.7","T,0313","-11.7","T,0313","5254.7","","5254.7","T","1654.0",",T","3.74","T","6.68","T","0.80","T"
"USS0046M04S","2011","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","0.0","","0.0","T","176","T","176","T","197","","2","T","154","T","83","T","0","T","0","T","-21.4","T,0117,+","1981",",T,1231,+","91.4",",T,1219,","20.8","T,0812,","-0.4","T,1028","-2.3","T,1102","-6.1","T,1103","-11.0","T,1114","-11.0","T,1114","-0.5","T,0427","-5.3","T,0412","-5.3","T,0412","-9.9","T,0321","-9.9","T,0321","5447.4","","5447.4","T","2052.7",",T","3.06","T","5.88","T","0.23","T"
"USS0046M04S","2012","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","0.0","","0.0","T","152","T","152","T","","","3","T","169","T","96","T","0","T","0","T","-18.5","T,1218,","","","88.9",",T,1005,","19.7","T,0623,","-0.1","T,1016","-4.4","T,1022","-4.4","T,1022","-8.2","T,1107","-9.9","T,1108","-0.5","T,0515","-4.4","T,0410","-4.4","T,0410","-8.0","T,0323","-10.7","T,0322","5769.0","","5769.0","T","1868.1",",T","2.07","T","4.93","T","-0.80","T"
"USS0046M04S","2013","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5803.1","","5803.1","","","","","","","","",""
"USS0046M04S","2014","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","0.0","","0.0","T","168","T","168","T","","","0","T","136","T","48","T","4","T","0","T","-15.3","T,0211,","","","83.8",",T,0124,","23.3","T,0628,","-0.2","T,1008","-2.5","T,1027","-4.9","T,1029","-7.0","T,1127","","","-0.4","T,0419","-3.5","T,0412","-9.2","T,0411","-9.2","T,0411","-9.2","T,0411","","","","","1820.1",",T","4.24","T","7.10","T","1.37","T"
"USS0046M04S","2015","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","","","","","157","T","157","T","200","","","","","","","","","","","","","","1270",",T,0316,","86.4",",T,1126,","","","","","","","","","","","","","","","","","","","","","","","4974.7","","4974.7","T","2056.3",",T","","","","","",""
"USS0046M04S","2016","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","5.0","","5.0","T","","","","","196","","0","T","128","T","48","T","16","T","0","T","-15.7","T,1205,","2007",",T,0328,+","","","27.5","T,0719,","-1.2","T,1016","-2.9","T,1027","-6.9","T,1119","-6.9","T,1119","-9.7","T,1122","-1.0","T,0404","-6.3","T,0314","-6.3","T,0314","-7.2","T,0310","-9.3","T,0220","","","","","","","5.05","T","8.00","T","2.10","T"
"USS0046M04S","2017","61.08","-146.3","167.6","SUGARLOAF MOUNTAIN, AK US","0.0","","0.0","T","159","T","159","T","201","","1","T","151","T","83","T","3","T","0","T","-18.1","T,0120,","1753",",T,0328,","114.3",",T,0829,","21.9","T,0713,","-0.7","T,1018","-3.4","T,1023","-6.3","T,1116","-7.9","T,1119","-9.8","T,1126","-0.2","T,0422","-2.9","T,0403","-6.1","T,0326","-8.6","T,0321","-10.6","T,0319","5288.4","","5288.4","T","2032.8",",T","3.57","T","6.24","T","0.90","T"
