"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003013","1997","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3021.9","","3021.9","M","","","","","","","","","","","","","","","","","",""
"USW00003013","1999","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.1","W","592.3","","592.3","W","67","W","31","W","","","0","W","178","W","2","W","196","W","70","W","-15.0","W,1222,+","","","49.8",",W,0804,","40.0","W,0702,","-1.1","W,0928","-2.8","W,0929","-4.4","W,1018","-8.9","W,1102","-8.9","W,1102","-0.6","W,0507","-5.6","W,0417","-5.6","W,0417","-12.8","W,0314","-12.8","W,0314","","","","","328.4",",W","","","12.32","W","21.80","W","2.84","W","320","W","360","W","23.7","W","65.7","W"
"USW00003013","2000","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","","","","","","","67","W","20","W","","","","","","","","","","","","","","","","","45.5",",W,0717,","","","","","","","","","","","","","","","","","","","","","","","","","","","297.7",",W","","","","","","","","","360","W","240","W","21.9","W","27.3","W"
"USW00003013","2001","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.1","W","705.5","","705.5","W","71","W","30","W","","","5","W","161","W","24","W","192","W","81","W","-21.7","W,0210,+","","","31.0",",W,0714,","41.7","W,0706,","-2.2","W,1005","-2.2","W,1005","-4.4","W,1006","-6.7","W,1016","-10.6","W,1120","0.0","W,0424","-4.4","W,0418","-4.4","W,0418","-8.3","W,0316","-11.1","W,0301","3262.4","","3262.4","W","321.9",",W","","","11.80","W","20.84","W","2.76","W","330","W","360","W","28.2","W","65.7","W"
"USW00003013","2002","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.6","W","822.4","","822.4","W","53","W","20","W","","","1","W","168","W","17","W","193","W","82","W","-18.3","W,0103,","","","32.0",",W,0909,","42.2","W,0618,+","-2.2","W,1013","-2.2","W,1013","-4.4","W,1017","-8.3","W,1125","-12.2","W,1126","-0.6","W,0513","-2.2","W,0422","-6.7","W,0327","-6.7","W,0327","-11.7","W,0326","2899.9","","2899.9","W","208.2",",W","","","12.18","W","21.25","W","3.11","W","350","W","240","W","26.8","W","32.2","W"
"USW00003013","2003","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.3","W","","","","","57","W","23","W","","","","","","","","","","","","","","","","","28.2",",W,0907,","","","","","","","","","","","","","","","","","","","","","","","","","","","301.2",",W","","","","","","","","","","","","","","","",""
"USW00003013","2004","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.1","W","479.6","","479.6","W","82","W","37","W","","","7","W","149","W","11","W","193","W","56","W","-26.1","W,1224,","","","55.6",",W,0423,","40.0","W,0607,","-1.1","W,1013","-2.2","W,1024","-5.0","W,1030","-8.3","W,1102","-11.1","W,1103","0.0","W,0423","-7.8","W,0413","-7.8","W,0413","-7.8","W,0413","-10.6","W,0226","2861.0","","2861.0","W","491.9",",W","","","11.68","W","20.65","W","2.71","W","320","W","360","W","21.5","W","65.7","W"
"USW00003013","2005","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.3","B","706.5","","706.5","B","71","B","31","B","","","4","B","168","B","15","B","200","B","90","B","-27.8","B,1208,","","","31.0",",B,0811,","42.8","B,0720,","-0.6","B,1006","-2.8","B,1007","-6.7","B,1024","-6.7","B,1024","-10.6","B,1115","0.0","W,0512","-2.2","W,0430","-4.4","W,0402","-8.9","W,0319","-8.9","W,0319","2946.6","","2946.6","B","346.1",",B","","","12.31","B","21.55","B","3.07","B","240","B","250","B","24.6","B","28.2","B"
"USW00003013","2006","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","","","","","","","75","W","38","W","","","","","","","","","","","","","","","","","46.5",",W,0622,","","","","","","","","","","","","","","","","","","","","","","","2751.8","","2751.8","W","477.7",",W","","","","","","","","","","","","","","","",""
"USW00003013","2007","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.1","W","680.1","","680.1","W","65","W","23","W","","","22","W","164","W","47","W","206","W","78","W","-26.6","W,0117,+","","","66.5",",W,0626,","40.0","W,0820,+","-0.5","W,1009","-4.3","W,1019","-7.7","W,1103","-7.7","W,1103","-12.7","W,1115","-1.0","W,0425","-7.7","W,0415","-7.7","W,0415","-7.7","W,0415","-11.0","W,0304","","","","","285.4",",W","","","10.51","W","19.20","W","1.82","W","350","W","350","W","24.6","W","28.6","W"
