"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003102","1999","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.8","W","800.7","","800.7","W","31","W","14","W","","","","","0","W","1","W","0","W","249","W","80","W","0.0","W,0212,","","","","","26.7",",W,0126,","40.6","W,0825,","","","0.0","W,0212","","","1097.1","","1097.1","W","136.2",",W","","","17.88","W","25.26","W","10.50","W","40","W","40","W","23.2","W","26.4","W"
"USW00003102","2000","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","","","889.5","","889.5","W","29","W","21","W","","","","","0","W","0","W","0","W","260","W","81","W","0.6","W,0108,+","","","","","30.0",",W,0220,","41.7","W,0916,","","","","","","","689.0","","689.0","W","260.1",",W","","","18.53","W","25.47","W","11.60","W","70","W","80","W","22.8","W","27.7","W"
"USW00003102","2001","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.6","W","925.4","","925.4","W","40","W","26","W","","","","","0","W","0","W","0","W","237","W","86","W","0.6","W,1216,+","","","","","74.7",",W,0212,","41.1","W,0930,","","","","","","","998.7","","998.7","W","359.2",",W","","","18.09","W","24.80","W","11.38","W","30","W","40","W","19.2","W","76.4","W"
"USW00003102","2002","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.8","W","828.7","","828.7","W","26","W","11","W","","","","","0","W","3","W","0","W","247","W","69","W","-0.6","W,0203,+","","","","","35.3",",W,1216,","43.3","W,0901,","","","-0.6","W,0203","","","888.6","","888.6","W","157.4",",W","","","18.25","W","25.37","W","11.14","W","40","W","60","W","19.2","W","23.7","W"
"USW00003102","2003","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.6","W","1044.5","","1044.5","W","24","W","15","W","","","","","0","W","2","W","0","W","244","W","100","W","-0.6","W,1228,","","","","","64.3",",W,0315,","40.6","W,0921,+","0.0","W,1227","","","","","773.9","","773.9","W","269.3",",W","","","18.91","W","25.81","W","12.01","W","30","W","30","W","30.4","W","40.2","W"
"USW00003102","2004","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.8","W","938.7","","938.7","W","35","W","21","W","","","","","0","W","3","W","0","W","248","W","89","W","-0.6","W,1202,","","","","","38.6",",W,0226,","39.4","W,0901,+","0.0","W,1130","","","","","791.5","","791.5","W","348.3",",W","","","18.59","W","25.51","W","11.66","W","50","W","50","W","18.3","W","25.0","W"
"USW00003102","2005","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.7","B","841.8","","841.8","B","46","B","28","B","","","","","0","B","0","B","0","B","254","B","79","B","2.2","B,1206,+","","","","","82.0",",B,0109,","38.9","B,0722,+","","","","","","","883.2","","883.2","B","539.0",",B","","","18.64","B","25.19","B","12.08","B","40","B","80","B","17.9","B","25.0","B"
"USW00003102","2006","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.5","W","1104.6","","1104.6","W","41","W","24","W","","","","","0","W","0","W","0","W","256","W","93","W","0.6","W,0312,+","","","","","31.0",",W,0404,","45.6","W,0722,","","","","","","","784.8","","784.8","W","262.6",",W","","","19.11","W","26.13","W","12.09","W","30","W","50","W","18.3","W","26.4","W"
"USW00003102","2007","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.9","W","1046.8","","1046.8","W","31","W","15","W","","","","","0","W","3","W","0","W","266","W","100","W","-3.8","W,0114,","","","","","40.9",",W,1130,","43.3","W,0903,+","","","0.0","W,0117","-3.8","W,0114","708.1","","708.1","W","167.1",",W","","","19.09","W","26.13","W","12.05","W","40","W","30","W","21.5","W","29.5","W"
"USW00003102","2008","34.05611","-117.60028","289.3","ONTARIO INTERNATIONAL AIRPORT, CA US","2.6","W","1221.6","","1221.6","W","40","W","20","W","","","","","0","W","1","W","0","W","260","W","125","W","0.0","W,1226,","","","","","43.2",",W,1215,","42.2","W,0620,","0.0","W,1226","","","","","850.1","","850.1","W","311.4",",W","","","19.47","W","26.52","W","12.43","W","60","W","70","W","20.1","W","28.6","W"
